step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,1,0.0,0.0,4.234785120732461,1,0.0,0.31432606511322375,1,0.0,-0.9
10.0,0,0.0,0.0,7.060427163337447,0,0.0,0.522801732826548,0,0.0,0.0
15.0,2,0.0,0.0,8.610730247688226,2,0.0,0.6334269739917828,2,0.0,-1.8
20.0,2,0.0,0.0,10.01099718404696,2,0.0,0.7406211066566109,2,0.0,-1.8
25.0,1,0.0,0.0,10.61905941900486,1,0.0,0.7785450617429708,1,0.0,-0.9
30.0,3,5.0,0.14285714285714285,8.774435114228229,3,5.0,0.630208477634098,3,5.0,-2.7
35.0,9,35.0,0.8536585365853658,8.042005790167366,9,35.0,0.5625709957562085,9,35.0,-8.1
40.0,15,85.0,1.8478260869565217,6.7403721125140486,15,85.0,0.44683378936258344,15,85.0,-13.5
45.0,19,168.0,3.36,6.598350951074749,19,168.0,0.42532142604288087,19,168.0,-17.1
50.0,24,266.0,4.75,5.640202561401645,24,266.0,0.3607886161576306,24,266.0,-21.6
55.0,25,385.0,6.311475409836065,5.800111784515047,25,385.0,0.3614024313251866,25,385.0,-22.5
60.0,32,528.0,7.880597014925373,5.4499547722967385,32,528.0,0.32747510444554284,32,528.0,-28.8
65.0,37,693.0,9.76056338028169,5.167816460780896,37,693.0,0.3130871939393237,37,693.0,-33.300000000000004
70.0,41,879.0,11.415584415584416,4.671107970447004,41,879.0,0.2704374951439471,41,879.0,-36.9
75.0,48,1098.0,13.725,4.005400435108486,48,1098.0,0.24433611038043418,48,1098.0,-43.2
80.0,55,1343.0,15.436781609195402,3.658477744138606,55,1343.0,0.20806379459278684,55,1343.0,-49.5
85.0,58,1621.0,18.011111111111113,3.4827490969361303,58,1621.0,0.21046963595895085,58,1621.0,-52.2
90.0,64,1923.0,20.03125,3.3110008903247645,64,1923.0,0.18782717521864828,64,1923.0,-57.6
95.0,70,2249.0,22.04901960784314,3.123392472019046,70,2249.0,0.17010249650937068,70,2249.0,-63.0
100.0,74,2606.0,25.057692307692307,2.9241175336130336,74,2606.0,0.16172104173991778,74,2606.0,-66.60000000000001
105.0,80,2995.0,27.227272727272727,2.811130602430525,80,2995.0,0.14498255510285168,80,2995.0,-72.0
110.0,88,3409.0,30.4375,2.3696750040844106,88,3409.0,0.12224091881782176,88,3409.0,-79.2
115.0,91,3850.0,34.375,1.9397565702920676,91,3850.0,0.09816297996604798,91,3850.0,-81.9
120.0,95,4317.0,38.544642857142854,1.5607868945168666,95,4317.0,0.07811423151190268,95,4317.0,-85.5
125.0,99,4797.0,41.71304347826087,1.4484663253703531,99,4797.0,0.07472489606763764,99,4797.0,-89.10000000000001
130.0,101,5289.0,44.445378151260506,1.6433968841940796,101,5289.0,0.07405556833106297,101,5289.0,-90.9
135.0,101,5789.0,48.24166666666667,1.7455040329815994,101,5789.0,0.07534790604321706,101,5789.0,-90.9
140.0,102,6295.0,52.02479338842975,1.5444336278751374,102,6295.0,0.07214269954013582,102,6295.0,-91.8
145.0,105,6812.0,55.38211382113821,1.6316727517973844,105,6812.0,0.056300054111086725,105,6812.0,-94.5
150.0,107,7340.0,61.166666666666664,1.367714609539976,107,7340.0,0.05708084933157744,107,7340.0,-96.3
155.0,107,7875.0,66.73728813559322,1.1865826134233588,107,7875.0,0.042818636844058004,107,7875.0,-96.3
160.0,107,8410.0,71.88034188034187,1.0465288737762348,107,8410.0,0.01738149654907767,107,8410.0,-96.3
165.0,107,8945.0,77.78260869565217,0.8443186525458876,107,8945.0,0.0072321300639490655,107,8945.0,-96.3
170.0,107,9480.0,83.15789473684211,0.7265276452233672,107,9480.0,0.0,107,9480.0,-96.3
175.0,101,9176.0,81.20353982300885,0.8331020028292229,101,9714.0,0.0050230053514649185,101,9714.0,-90.9
180.0,92,8570.0,77.9090909090909,1.2394115687633505,92,9652.0,0.02365234740321786,92,9652.0,-82.8
185.0,87,8104.0,75.03703703703704,1.1716565765897615,87,10095.0,0.025961047987643253,87,10095.0,-78.3
190.0,82,7775.0,72.66355140186916,1.058373680129847,82,10510.0,0.025127259033878878,82,10510.0,-73.8
195.0,79,7614.0,71.83018867924528,0.9417855916173157,79,10912.0,0.025259398121614957,79,10912.0,-71.10000000000001
200.0,82,7808.0,76.54901960784314,0.4177135437467163,82,11315.0,0.022189327482534507,82,11315.0,-73.8
205.0,88,8238.0,81.56435643564356,0.09370668470399947,88,11745.0,0.006911052143863096,88,11745.0,-79.2
210.0,97,8707.0,86.20792079207921,0.014607268197949096,97,12214.0,0.0010850429665077064,97,12214.0,-87.3
215.0,101,9205.0,91.13861386138613,0.0011711223268752653,101,12712.0,8.395224257882141e-05,101,12712.0,-90.9
220.0,101,9710.0,96.13861386138613,2.0081843812945654e-05,101,13217.0,1.5695905373212597e-06,101,13217.0,-90.9
