step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,1,0.0,0.0,3.668291240744294,1,0.0,0.26434813685587116,1,0.0,-0.6
10.0,0,0.0,0.0,7.168888867258968,0,0.0,0.5023536807181241,0,0.0,0.0
15.0,2,0.0,0.0,9.073188629490954,2,0.0,0.6441630717524665,2,0.0,-1.2
20.0,2,0.0,0.0,10.576259909773702,2,0.0,0.7628504373889977,2,0.0,-1.2
25.0,2,1.0,0.03571428571428571,10.228873598782583,2,1.0,0.748887405099729,2,1.0,-1.2
30.0,7,16.0,0.45714285714285713,8.131575477309926,7,16.0,0.5994874757807667,7,16.0,-4.2
35.0,10,52.0,1.2682926829268293,6.986152368582621,10,52.0,0.4928332886286728,10,52.0,-6.0
40.0,12,86.0,1.8297872340425532,7.326451220954055,12,88.0,0.5177728258669069,12,88.0,-7.199999999999999
45.0,16,147.0,2.826923076923077,7.474483202728947,16,147.0,0.46292379938970063,16,147.0,-9.6
50.0,21,219.0,3.7758620689655173,6.780937166326518,21,219.0,0.382677086122289,21,219.0,-12.6
55.0,22,322.0,5.278688524590164,6.933102409097258,22,322.0,0.393303401326404,22,322.0,-13.2
60.0,21,292.0,4.424242424242424,6.043879145413435,21,369.0,0.3401585897601552,21,369.0,-12.6
65.0,22,335.0,4.855072463768116,6.447695578450562,22,386.0,0.3704640969122781,22,386.0,-13.2
70.0,24,436.0,5.972602739726027,6.099033060328625,24,488.0,0.34105943514569026,24,488.0,-14.399999999999999
75.0,35,584.0,7.684210526315789,5.397496659309818,35,635.0,0.2952783853330448,35,635.0,-21.0
80.0,36,483.0,5.962962962962963,5.428076151990526,36,708.0,0.28337276244386517,36,708.0,-21.599999999999998
85.0,32,374.0,4.506024096385542,5.6759196738901645,32,697.0,0.3052019347959899,32,697.0,-19.2
90.0,29,300.0,3.4482758620689653,5.183585904487865,29,746.0,0.27686126104774555,29,746.0,-17.4
95.0,32,361.0,4.056179775280899,5.142200944250294,32,789.0,0.2766604919290095,32,789.0,-19.2
100.0,39,531.0,5.709677419354839,5.085655054963061,39,917.0,0.25321581425373435,39,917.0,-23.4
105.0,45,667.0,7.021052631578947,4.447755521696316,45,1092.0,0.2281563857715337,45,1092.0,-27.0
110.0,51,895.0,9.52127659574468,4.330620096949384,51,1296.0,0.20803823134192528,51,1296.0,-30.599999999999998
115.0,56,917.0,9.75531914893617,3.3225141908057276,56,1470.0,0.14905705304120304,56,1470.0,-33.6
120.0,55,829.0,8.913978494623656,3.2538022369718758,55,1558.0,0.14152623321266058,55,1558.0,-33.0
125.0,52,957.0,10.290322580645162,3.499761674640087,52,1612.0,0.14037150175327623,52,1612.0,-31.2
130.0,49,949.0,10.204301075268818,3.260282285737995,49,1718.0,0.13593691819070813,49,1718.0,-29.4
135.0,47,839.0,8.925531914893616,3.5192901745895253,47,1701.0,0.13580432771941228,47,1701.0,-28.2
140.0,43,775.0,8.24468085106383,3.4516992653941476,43,1773.0,0.13749942654757893,43,1773.0,-25.8
145.0,34,755.0,8.206521739130435,3.586205474965648,34,1823.0,0.14730750486402616,34,1823.0,-20.4
150.0,35,700.0,7.777777777777778,3.346124660458532,35,1914.0,0.1404364292839656,35,1914.0,-21.0
155.0,42,766.0,8.704545454545455,3.294916064402734,42,1960.0,0.1017219611262309,42,1960.0,-25.2
160.0,51,897.0,10.80722891566265,2.2232030976876813,51,2018.0,0.021574261619441,51,2018.0,-30.599999999999998
165.0,52,1010.0,12.784810126582279,2.3578036598021472,52,2023.0,0.03177979635763669,52,2023.0,-31.2
170.0,48,1166.0,15.342105263157896,2.913757865709295,48,2070.0,0.0649780257589738,48,2070.0,-28.799999999999997
175.0,36,1135.0,15.547945205479452,3.256737752325115,36,2111.0,0.09530883570267243,36,2111.0,-21.599999999999998
180.0,28,1038.0,14.82857142857143,3.861707085966916,28,2094.0,0.1205944782728746,28,2094.0,-16.8
185.0,27,1039.0,15.279411764705882,3.440203600853401,27,2124.0,0.08095749492365904,27,2124.0,-16.2
190.0,28,1111.0,17.359375,3.6054812297679555,28,2073.0,0.07268424545892131,28,2073.0,-16.8
195.0,28,1135.0,19.23728813559322,3.3072268894887897,28,2036.0,0.07007592761858498,28,2036.0,-16.8
