step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.443503295016126,1,0.0,0.07453061933222416,1,0.0,0.0991648431647924,0,0.0,0.2511369840636633,0,0.0,0.2884596384099505,2,0.0,-0.3
10.0,1,0.0,0.0,6.877889418126459,0,0.0,0.4218963168761595,0,0.0,0.5638346551304287,0,0.0,0.48507040713382693,1,0.0,0.5459377942591634,1,0.0,-0.15
15.0,1,0.0,0.0,9.106569699651141,0,0.0,0.6599201710355752,0,0.0,0.6219087455904162,0,0.0,0.7903489306258746,1,0.0,0.5678323114158077,1,0.0,-0.15
20.0,6,1.0,0.020833333333333332,9.085440220140299,2,0.0,0.6643002451555107,1,0.0,0.6518954007423793,1,1.0,0.6805588295845296,2,0.0,0.6056235166181462,6,1.0,-0.8999999999999999
25.0,5,13.0,0.23636363636363636,9.703825556857602,1,0.0,0.6745720562402403,1,5.0,0.7112206465590176,3,8.0,0.6379044395211341,0,0.0,0.7947718374687689,5,13.0,-0.75
30.0,8,24.0,0.39344262295081966,8.077980005408651,4,6.0,0.5822234695154641,3,16.0,0.4288260228691507,0,7.0,0.563961818362475,1,2.0,0.780846614189068,8,31.0,-1.2
35.0,21,87.0,1.2083333333333333,5.758654678866608,6,27.0,0.49848552867947915,8,45.0,0.3263169423532146,3,9.0,0.4095312362682487,4,8.0,0.375616057447711,21,89.0,-3.15
40.0,30,196.0,2.45,5.402954377246264,11,68.0,0.405733724076795,8,81.0,0.30842691844332276,4,24.0,0.4350361771858529,7,37.0,0.4031331537291838,30,210.0,-4.5
45.0,39,360.0,4.235294117647059,5.205996598220751,13,122.0,0.2961965988270012,10,126.0,0.279610119972708,5,38.0,0.5709714342006652,11,78.0,0.39015752103797585,39,364.0,-5.85
50.0,46,539.0,5.5,5.00799398216892,16,198.0,0.3399725961543339,14,187.0,0.23979094609505403,5,41.0,0.43053453458244323,11,126.0,0.4475397705931085,46,552.0,-6.9
55.0,52,770.0,6.936936936936937,4.717701199247385,19,283.0,0.3273131851927738,13,252.0,0.25415048587141326,8,60.0,0.39882298780464887,12,179.0,0.35821442725620606,52,774.0,-7.8
