step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.621759708513855,1,0.0,0.09242411237773726,1,0.0,0.07726150095314424,0,0.0,0.21846064305447357,0,0.0,0.3635114443531092,2,0.0,-0.3
10.0,1,0.0,0.0,7.189613662962429,0,0.0,0.4797317608321351,0,0.0,0.6005051904464213,0,0.0,0.4683029474453119,1,0.0,0.53745290615881,1,0.0,-0.15
15.0,1,0.0,0.0,9.136621613768675,0,0.0,0.6826771018984708,0,0.0,0.6458343231434807,0,0.0,0.8191904752641221,1,0.0,0.5012869024943618,1,0.0,-0.15
20.0,8,5.0,0.10204081632653061,8.90548566357829,2,0.0,0.7025560621526439,1,0.0,0.6740440882188787,1,1.0,0.7506304349151542,4,4.0,0.48615323778868663,8,5.0,-1.2
25.0,8,25.0,0.44642857142857145,9.211936894201768,1,2.0,0.6929902284648118,2,6.0,0.6885737545780724,2,1.0,0.6833896800473185,3,18.0,0.6214394677175276,8,27.0,-1.2
30.0,15,71.0,1.126984126984127,7.233985499265997,4,8.0,0.6098909141413695,4,19.0,0.4379840307931438,2,6.0,0.36966372263504776,5,40.0,0.5536706927222081,15,73.0,-2.25
35.0,29,177.0,2.4246575342465753,5.568860651514348,6,31.0,0.5059032247688563,8,48.0,0.3748712096474189,4,25.0,0.39498720042230495,11,75.0,0.2933238832884742,29,179.0,-4.35
40.0,38,341.0,4.209876543209877,5.2380720624354575,12,74.0,0.3480451527544359,9,88.0,0.32510820944694524,7,54.0,0.4302224359805689,10,125.0,0.31931584557296294,38,341.0,-5.699999999999999
45.0,46,499.0,5.735632183908046,4.953557773402302,13,133.0,0.25677746467376467,13,147.0,0.28535742664783076,8,91.0,0.47706455371897954,12,153.0,0.3832016126116387,46,524.0,-6.8999999999999995
50.0,50,630.0,6.363636363636363,4.627541787078182,16,208.0,0.29341690767238293,16,217.0,0.2227955204525998,11,135.0,0.3676243696304757,7,142.0,0.44104135102946584,50,702.0,-7.5
55.0,53,865.0,7.863636363636363,4.542574901176933,18,295.0,0.3478270443685672,15,292.0,0.26435260683794254,13,189.0,0.3311364162880958,7,170.0,0.34503532849123303,53,946.0,-7.949999999999999
60.0,64,1145.0,9.233870967741936,4.005739431224226,19,387.0,0.31546218046372776,18,373.0,0.2714688090328209,14,229.0,0.28799460286196227,13,221.0,0.28338177827327193,64,1210.0,-9.6
65.0,75,1491.0,11.833333333333334,3.92435699783136,24,498.0,0.17159049777769905,18,458.0,0.3438168737291706,16,306.0,0.33243362189863734,17,295.0,0.2666118178138194,75,1557.0,-11.25
70.0,83,1837.0,13.31159420289855,3.2168208567014935,29,632.0,0.06383246157945129,19,548.0,0.23444463998660503,18,390.0,0.3093917107476899,17,337.0,0.2397508735405723,83,1907.0,-12.45
75.0,95,2239.0,15.335616438356164,3.1308586024610325,32,784.0,0.10130350242292742,24,660.0,0.1280190659115085,22,488.0,0.26440022136669494,17,361.0,0.295092758798842,95,2293.0,-14.25
80.0,97,2593.0,16.411392405063292,2.9957914712497984,28,888.0,0.1672111265532488,28,791.0,0.045752758729192766,26,603.0,0.2568607915700756,15,430.0,0.2463620538161691,97,2712.0,-14.55
85.0,108,2999.0,17.851190476190474,2.7775272647853493,25,937.0,0.11618088721117886,30,934.0,0.14304643391987357,30,739.0,0.23057521207023185,23,525.0,0.1873710888588101,108,3135.0,-16.2
90.0,118,3532.0,19.731843575418996,2.8719296294758117,28,1067.0,0.11350546036339142,31,1080.0,0.17518961854021864,35,892.0,0.18205233289494663,24,640.0,0.20078059753030988,118,3679.0,-17.7
95.0,132,4147.0,22.05851063829787,2.4534355642514862,30,1213.0,0.10893994867317398,36,1241.0,0.15198260786886922,37,1065.0,0.19070614071392877,29,777.0,0.16195506598361992,132,4296.0,-19.799999999999997
100.0,146,4829.0,24.145,2.4027096938075974,35,1382.0,0.15890940156764113,38,1423.0,0.13054168466427085,40,1256.0,0.16825906238478208,33,933.0,0.14097717243578797,146,4994.0,-21.9
105.0,155,5578.0,27.89,2.234502965281097,36,1554.0,0.14424979209694397,43,1630.0,0.12585876684123756,42,1464.0,0.15371795524521886,34,1097.0,0.13089397158125393,155,5745.0,-23.25
