step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,4,0.0,0.0,2.102569376971224,0,0.0,0.12605266895754674,1,0.0,0.11698684545815333,1,0.0,0.20283153058269393,0,0.0,0.10751310433489457,0,0.0,0.24321889633819813,0,0.0,1.0,0,0.0,0.22017039913547404,1,0.0,0.049057831311329674,1,0.0,0.14001704808518642,4,0.0,-0.26666666666666666
10.0,7,0.0,0.0,5.528603306984544,1,0.0,0.3189164579379473,2,0.0,0.42257196101190225,0,0.0,0.6781474422768937,1,0.0,0.26135718397241336,0,0.0,0.6319687195965432,2,0.0,0.21112128725928836,0,0.0,0.5806063306376833,0,0.0,0.31772187131740537,1,0.0,0.37031757534754123,7,0.0,-0.4666666666666667
15.0,8,0.0,0.0,8.702488193164655,1,0.0,0.5775577060242962,1,0.0,0.6092613267529287,0,0.0,0.7373160882014457,2,0.0,0.5004361470603971,1,0.0,0.6431656862963165,2,0.0,0.47502559136963207,0,0.0,0.935919183744415,0,0.0,0.8639299788085045,1,0.0,0.657875409715706,8,0.0,-0.5333333333333333
20.0,11,10.0,0.10989010989010989,8.159621784589453,1,0.0,0.6824640608911506,2,5.0,0.5452620669209994,2,0.0,0.561759559467284,0,0.0,0.6684253964543682,4,4.0,0.46660023726295136,0,0.0,0.6187442164472687,0,0.0,0.26668547432539774,1,1.0,0.6514768522084601,1,0.0,0.6341186282916971,11,10.0,-0.7333333333333333
25.0,26,91.0,0.8272727272727273,6.8760925561564425,2,2.0,0.5451341671075874,5,25.0,0.4595928723450125,1,4.0,0.5556935581127614,2,7.0,0.4663303611089162,6,21.0,0.4120264377287069,2,5.0,0.5651098943540926,2,8.0,0.2801962357030722,3,11.0,0.44885206531829336,3,8.0,0.58800988649796,26,91.0,-1.7333333333333334
30.0,50,276.0,2.0,5.654876515470875,3,12.0,0.6330008821435487,8,60.0,0.34010899770577885,5,18.0,0.48042446564087815,6,33.0,0.3298525952912066,7,51.0,0.3885905928896116,9,32.0,0.44379399744782333,2,19.0,0.236946900849386,4,26.0,0.2835270649148448,6,27.0,0.4118920555476611,50,278.0,-3.3333333333333335
35.0,66,543.0,3.3518518518518516,5.305195753653857,5,28.0,0.5209644680717322,10,101.0,0.3356909334191069,4,37.0,0.5310175141028391,9,75.0,0.31647031730955993,10,90.0,0.2864484891694551,11,78.0,0.33256893479753236,3,33.0,0.41347958371826576,7,52.0,0.3391666472983461,7,56.0,0.4012017756748081,66,550.0,-4.4
40.0,83,889.0,4.7287234042553195,4.96264467442837,6,45.0,0.4235937647505882,11,147.0,0.3085344456494222,6,64.0,0.5630655442839434,12,128.0,0.3285509807290817,11,145.0,0.22781595888378234,17,148.0,0.18142573394521863,6,49.0,0.40197059604285756,7,82.0,0.44735638355411184,7,88.0,0.45229805227553455,83,896.0,-5.533333333333333
45.0,103,1297.0,6.265700483091788,4.414012538675093,9,81.0,0.23179659780615097,12,202.0,0.31973773282537754,10,98.0,0.43474525646600154,15,197.0,0.2297278941865692,12,188.0,0.3167265535452433,21,242.0,0.18638481897807915,6,71.0,0.3758529280500936,9,113.0,0.3689611601724618,9,124.0,0.40843076799721795,103,1316.0,-6.866666666666666
