step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,3,0.0,0.0,3.2642660862899255,0,0.0,0.303098276591776,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.1433402518278942,0,0.0,0.26944640854099083,0,0.0,0.2209840938211917,0,0.0,0.5543231473694127,0,0.0,0.44887433437025603,0,0.0,0.40013114331717653,1,0.0,0.17953877770885476,0,0.0,1.0,0,0.0,0.3338889491699885,0,0.0,0.2834912937715049,0,0.0,0.315473797924295,0,0.0,0.11972184276494939,3,0.0,-0.11249999999999999
10.0,11,0.0,0.0,6.183877184270443,0,0.0,0.38190659221395534,1,0.0,0.25140786513253843,1,0.0,0.0,2,0.0,0.345658427905015,2,0.0,0.4419191490908629,0,0.0,0.531711914887562,0,0.0,0.5594816346901853,0,0.0,0.6298310007070775,0,0.0,0.4898855353558324,1,0.0,0.42219641903756294,1,0.0,0.4639820144011965,0,0.0,1.0,1,0.0,0.42624901251452363,0,0.0,0.5944727954333902,2,0.0,0.30109181348662994,0,0.0,0.6552575598807185,11,0.0,-0.4125
15.0,8,0.0,0.0,8.602279429088606,2,0.0,0.3634512846882565,0,0.0,0.7185161816534489,1,0.0,0.2745370380407579,0,0.0,0.6805131878558787,0,0.0,0.7311179612528628,0,0.0,0.7205379310853498,1,0.0,0.6488853178916438,0,0.0,0.6930506250947867,0,0.0,0.594051418683968,0,0.0,0.603149851381818,0,0.0,0.6961793972897189,2,0.0,0.2073299281498265,0,0.0,0.6912281334455225,1,0.0,0.6835847252020708,1,0.0,0.6858215028820628,0,0.0,0.598047602413887,8,0.0,-0.3
20.0,15,16.0,0.125,8.075077327820392,1,2.0,0.5756497345076148,0,0.0,0.5672548903374296,2,0.0,0.5079513497103673,1,0.0,0.747125055455445,1,2.0,0.626347450986928,0,0.0,0.5959215949011767,3,3.0,0.466087733838545,1,0.0,0.6256029886040155,1,3.0,0.6079936126826766,1,2.0,0.4811767744304052,2,3.0,0.49864477452713557,0,0.0,0.6813384549666953,0,0.0,0.7789974178041424,1,1.0,0.4862033650014831,0,0.0,0.5147447685830496,1,0.0,0.4821842724242262,15,16.0,-0.5625
25.0,30,96.0,0.6153846153846154,7.454223103262294,0,0.0,0.7440332618599116,4,8.0,0.2837250481024452,0,0.0,0.751726529112611,0,0.0,0.6265147710489173,5,18.0,0.4509356520176172,2,2.0,0.5917169551266812,4,18.0,0.4003774997979715,1,0.0,0.7000956269605269,0,1.0,0.7753872510046831,4,11.0,0.4453174380003334,6,21.0,0.31492071221893647,0,0.0,0.769281875718264,1,4.0,0.5752064765374583,1,6.0,0.6909170584828651,2,8.0,0.3980671378408944,0,0.0,0.5254476464814519,30,97.0,-1.125
30.0,57,288.0,1.469387755102041,6.5620427859254535,0,0.0,0.6340428365585548,4,27.0,0.4521357471844716,2,5.0,0.6010799150791809,2,4.0,0.468646572275153,9,57.0,0.33928669191454525,4,8.0,0.43087447587008487,5,40.0,0.5189963520425227,0,0.0,0.6755015916784932,2,1.0,0.4181144362426423,5,32.0,0.47353654890335023,7,53.0,0.36221734245909415,3,4.0,0.367791997333052,5,19.0,0.42641058112976576,1,11.0,0.6824195742216476,5,27.0,0.3913646923523245,3,5.0,0.5811942099545742,57,293.0,-2.1374999999999997
35.0,72,521.0,2.2850877192982457,6.091674801211908,3,7.0,0.3509038684814882,2,36.0,0.49368826448530323,2,5.0,0.4303670401599053,3,13.0,0.48778449329605644,12,110.0,0.2082346289895421,5,20.0,0.5006042558228423,7,66.0,0.4101401576073006,3,6.0,0.5915041393109953,3,8.0,0.42508869862948945,7,58.0,0.4263884339698682,9,93.0,0.3730790272641615,3,17.0,0.43496270511513563,5,41.0,0.4422359436694117,2,19.0,0.5426975469529627,5,38.0,0.4534475199176728,1,10.0,0.6215036124998163,72,547.0,-2.6999999999999997
40.0,107,924.0,3.5267175572519083,5.33999112961467,6,37.0,0.30526594192817036,2,36.0,0.5709943181305245,3,20.0,0.5026690563899758,4,30.0,0.4143577542318329,17,178.0,0.1588756109125729,5,41.0,0.499650064509422,9,106.0,0.2578103919881426,5,18.0,0.4598583614804447,4,20.0,0.5443405605959006,12,104.0,0.274068576932441,13,144.0,0.2040190828733434,7,42.0,0.3899588567819243,6,58.0,0.44852955792587634,3,32.0,0.39663472772683195,8,71.0,0.296434311958721,3,20.0,0.6333385190295822,107,957.0,-4.0125
45.0,143,1497.0,5.327402135231317,4.373427975475844,9,75.0,0.18074445730755268,6,55.0,0.4172919535220875,3,29.0,0.4875689042046587,6,54.0,0.37293870164351567,16,250.0,0.17520349120621692,7,52.0,0.4307201639599749,12,163.0,0.13402385593606508,4,36.0,0.43286027777128033,5,40.0,0.49428744302632555,16,172.0,0.09651722714560869,18,224.0,0.09676866628033833,9,75.0,0.3032890512318915,8,82.0,0.41763828763801153,6,59.0,0.4518663336977483,13,125.0,0.23727860693935535,5,35.0,0.441205817945274,143,1526.0,-5.3625
