step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,4,0.0,0.0,2.9629449181506065,0,0.0,0.12032726041156507,1,0.0,0.22551914955568064,1,0.0,0.2853234892259505,0,0.0,0.12781194181294306,0,0.0,0.33090795660809924,0,0.0,1.0,0,0.0,0.3110338370281716,1,0.0,0.06666858230265739,1,0.0,0.20862773103779841,4,0.0,-0.2222222222222222
10.0,7,0.0,0.0,6.86935436955966,1,0.0,0.335395241105225,2,0.0,0.53998031448789,0,0.0,0.7682063572463296,1,0.0,0.33102856843531336,0,0.0,0.6696129990283346,2,0.0,0.21603493587880304,0,0.0,0.7315484720115333,0,0.0,0.5020434595373423,1,0.0,0.4723958438191231,7,0.0,-0.3888888888888889
15.0,7,0.0,0.0,8.995024022312155,1,0.0,0.5602544361243856,1,0.0,0.626431502572112,0,0.0,0.8020394984646566,1,0.0,0.5667293694311858,1,0.0,0.5462722207210182,2,0.0,0.5209574242184997,0,0.0,0.878314043254894,0,0.0,0.9256274394112748,1,0.0,0.707175586902411,7,0.0,-0.3888888888888889
20.0,12,9.0,0.1,8.087355235562404,2,2.0,0.6671286822196356,2,2.0,0.5539810666264257,3,1.0,0.49415493944699257,0,0.0,0.8700652924989943,3,2.0,0.4037645630131726,0,0.0,0.5895619836310265,0,0.0,0.13933701981642863,1,2.0,0.5830533716407628,1,0.0,0.7050333962091471,12,9.0,-0.6666666666666666
25.0,23,78.0,0.7090909090909091,7.2508602399059585,4,9.0,0.5313677664680422,3,14.0,0.5595919319979583,1,6.0,0.500205711952173,0,0.0,0.6512929241352287,7,23.0,0.3874836012837257,3,7.0,0.5799467527774049,2,9.0,0.30252537040123306,2,11.0,0.4399572199008925,1,1.0,0.7447530359208672,23,80.0,-1.2777777777777777
30.0,46,222.0,1.574468085106383,5.924618591415669,4,22.0,0.5581376711343701,5,31.0,0.38751693581539226,8,28.0,0.41192786999456055,4,12.0,0.3329115253732885,6,54.0,0.4380428416122827,8,26.0,0.4759492864887964,2,20.0,0.301471311357691,5,27.0,0.21373808068615438,4,7.0,0.5183967604533006,46,227.0,-2.5555555555555554
35.0,66,459.0,2.748502994011976,5.564467808157286,7,47.0,0.44852159756205995,8,63.0,0.4174249963231489,5,39.0,0.5498595744820102,5,35.0,0.4078743183770107,12,99.0,0.3466178122586705,13,71.0,0.3261778225354939,3,35.0,0.3901645738903704,7,53.0,0.2940104767318326,6,25.0,0.4371796401139149,66,467.0,-3.6666666666666665
40.0,89,809.0,4.28042328042328,4.959209752472398,12,95.0,0.2848612345848284,11,113.0,0.40700231753013355,7,65.0,0.4921354721709137,7,61.0,0.42545145421842684,15,162.0,0.19809483762943966,18,142.0,0.23576826834086423,5,52.0,0.502136128600969,8,83.0,0.3338079710584755,6,51.0,0.4523648791694131,89,824.0,-4.944444444444445
45.0,111,1200.0,5.687203791469194,3.911900683089235,15,164.0,0.18976470702266726,14,179.0,0.2986138946183118,7,72.0,0.38108110038896925,6,91.0,0.32195055479161755,18,227.0,0.14992169662644633,23,238.0,0.1609357066384956,8,77.0,0.3787263494699542,8,114.0,0.34997539051033766,12,95.0,0.39034565107478836,111,1257.0,-6.166666666666667
50.0,133,1734.0,7.378723404255319,3.762978270746037,19,247.0,0.20222139591356778,19,261.0,0.320455907833733,7,77.0,0.28580972507072927,12,134.0,0.23813113621618573,21,310.0,0.18252192022536332,25,360.0,0.21190982048963106,9,112.0,0.3836573796681604,9,152.0,0.2980994592118986,12,142.0,0.3335222179581614,133,1795.0,-7.388888888888889
55.0,147,2366.0,9.2421875,3.256541475428781,20,339.0,0.14152625407594907,22,361.0,0.23936449091546105,6,101.0,0.3030983167922078,12,185.0,0.24399839236652462,23,413.0,0.16743854959425197,27,493.0,0.1730056698571332,11,165.0,0.3223150164627743,13,206.0,0.19698000253274117,13,193.0,0.3213730180745842,147,2456.0,-8.166666666666666
60.0,179,3183.0,11.532608695652174,3.082668236800956,23,445.0,0.17488018812940623,27,476.0,0.2097679885908036,8,119.0,0.3419201134252305,13,247.0,0.27038387152707183,30,549.0,0.15332103839591002,33,653.0,0.1408827073015363,15,233.0,0.28831917976383753,13,269.0,0.17015514418940217,17,264.0,0.3007313928885857,179,3255.0,-9.944444444444445
