step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,4,0.0,0.0,2.573870901671762,0,0.0,0.09310540440533818,1,0.0,0.13720256105819686,1,0.0,0.23468199338338333,0,0.0,0.10038577584691755,0,0.0,0.24467856731026383,0,0.0,1.0,0,0.0,0.22564213370346642,1,0.0,0.06876865382954983,1,0.0,0.167053803526672,4,0.0,-0.2222222222222222
10.0,7,0.0,0.0,6.288761173810526,1,0.0,0.28395051979202507,2,0.0,0.47137326667094537,0,0.0,0.7123638963758845,1,0.0,0.2633641024212056,0,0.0,0.5945149605957823,2,0.0,0.20413660748137802,0,0.0,0.6113358789632333,0,0.0,0.4459191234955993,1,0.0,0.42168526354561653,7,0.0,-0.3888888888888889
15.0,7,0.0,0.0,8.889119760776126,1,0.0,0.5253790697083492,1,0.0,0.6296160005226674,0,0.0,0.7591608661291904,1,0.0,0.5634274823179286,1,0.0,0.6001786095075229,2,0.0,0.4793584511782114,0,0.0,0.9181015197746876,0,0.0,0.8877169636657047,1,0.0,0.666151130491794,7,0.0,-0.3888888888888889
20.0,7,5.0,0.056179775280898875,8.850718536105148,1,0.0,0.6654290540302773,1,2.0,0.642421872797812,2,0.0,0.5161884347429351,0,0.0,0.7460516099513893,2,3.0,0.5471205633295079,0,0.0,0.6256849171815988,0,0.0,0.5064157428838922,0,0.0,0.6017014072433244,1,0.0,0.7022752303959146,7,5.0,-0.3888888888888889
25.0,12,36.0,0.3302752293577982,7.839825446508499,1,2.0,0.5326514970675132,0,4.0,0.644970812640025,1,5.0,0.5228610020770167,1,1.0,0.6266931311162736,4,15.0,0.4093450212197227,1,2.0,0.6328842503080853,0,0.0,0.6024059009901673,4,13.0,0.46315922543077853,0,0.0,0.6652075339817648,12,42.0,-0.6666666666666666
30.0,34,123.0,0.8785714285714286,6.37359382236349,5,19.0,0.5154910086609745,3,10.0,0.5104910557458541,4,8.0,0.5619953384014701,2,8.0,0.37415657214043474,6,39.0,0.43207548985911703,4,14.0,0.4998467528019585,0,0.0,0.4046880939212544,5,29.0,0.24191340102652845,5,11.0,0.42709120979992515,34,138.0,-1.8888888888888888
35.0,43,217.0,1.3072289156626506,6.3262446128088925,4,35.0,0.4432695044691206,5,31.0,0.5209534262516613,2,11.0,0.6763425687943769,5,20.0,0.4154845281617502,5,50.0,0.47500773336055896,8,34.0,0.36845508126644827,0,1.0,0.5636564588028384,8,54.0,0.28687376879887866,6,30.0,0.4149081724012314,43,266.0,-2.388888888888889
40.0,57,411.0,2.1746031746031744,6.145550149621117,6,47.0,0.34350610044367086,8,63.0,0.33560177760541604,6,25.0,0.6049336029371639,5,49.0,0.5823834110787657,9,69.0,0.4094153984984812,8,61.0,0.34818852438612824,1,1.0,0.686717230218392,8,72.0,0.34853140054892584,6,57.0,0.44900562279999723,57,444.0,-3.1666666666666665
45.0,80,703.0,3.3798076923076925,5.209992196992461,10,89.0,0.27777794612220363,12,112.0,0.3228164217084314,8,52.0,0.3786579663067618,5,67.0,0.558650668092319,14,123.0,0.31996392583582983,12,105.0,0.2966138255111396,3,4.0,0.5579722979748416,9,109.0,0.32653320526395385,7,77.0,0.4058112825264405,80,738.0,-4.444444444444445
50.0,102,1022.0,4.443478260869565,4.360187874564394,18,155.0,0.13262250481038648,10,135.0,0.3094817935264181,8,91.0,0.3574468465998877,7,98.0,0.30023571726158743,16,171.0,0.24422448546706854,18,176.0,0.2981672117321732,5,21.0,0.5087602203688858,10,153.0,0.3273077523782165,10,115.0,0.35585156348523134,102,1115.0,-5.666666666666667
55.0,125,1409.0,5.525490196078431,4.275507478899068,17,217.0,0.17043308580452865,16,175.0,0.3177779033519121,9,135.0,0.4122641165107799,10,99.0,0.29872328768213113,16,217.0,0.3368281079824502,18,232.0,0.2467371682703553,8,53.0,0.3982465412751297,15,216.0,0.31015354238488196,16,175.0,0.3214681223946265,125,1519.0,-6.944444444444445
60.0,134,1858.0,6.781021897810219,4.297386304021441,18,294.0,0.21099140318824938,15,196.0,0.2644562351453433,9,170.0,0.3924711597145309,9,127.0,0.4637852607133208,17,288.0,0.33484263852543683,19,314.0,0.2255819471735874,13,106.0,0.3498594857739405,16,289.0,0.2783543431769486,18,220.0,0.2817744148450776,134,2004.0,-7.444444444444445
65.0,149,2246.0,7.718213058419244,3.5278379913687226,21,392.0,0.18367303607006968,16,214.0,0.25960042636960806,12,217.0,0.2823192579428674,12,172.0,0.3574264836047245,21,381.0,0.2517818254253883,24,428.0,0.22345706985861488,12,140.0,0.26759987296867016,16,306.0,0.20451142171220177,15,257.0,0.2661195356932786,149,2507.0,-8.277777777777779
70.0,165,2588.0,8.037267080745341,2.9684863632441205,21,457.0,0.20064828182332703,16,261.0,0.23800848011679007,17,287.0,0.19185305296539568,17,240.0,0.1840902796801001,20,438.0,0.18001837086427944,28,555.0,0.1681161654114313,11,153.0,0.1775814958105881,15,319.0,0.2513763040247486,20,322.0,0.26634345076445975,165,3032.0,-9.166666666666666
75.0,175,2857.0,8.23342939481268,3.137476559643674,18,506.0,0.21674624233565046,20,311.0,0.22476831461190047,20,380.0,0.195271901983985,16,293.0,0.26160035835476636,23,484.0,0.22169918037010566,33,708.0,0.13951576146997144,13,206.0,0.18998561991891416,13,365.0,0.23012781960422127,19,328.0,0.23259801724472604,175,3581.0,-9.722222222222221
80.0,186,3267.0,8.78225806451613,3.0232365125081433,23,589.0,0.21630545464755113,20,398.0,0.18698169537730747,18,459.0,0.23809237249448553,16,312.0,0.2919778245189462,24,589.0,0.13193599141274762,33,784.0,0.12127389029706848,14,269.0,0.23449262780993263,17,424.0,0.18824343166767607,21,369.0,0.23912221537129477,186,4193.0,-10.333333333333334
85.0,194,3407.0,8.581863979848867,3.3193311103378695,23,675.0,0.24455588256033448,28,517.0,0.1581935182211066,14,508.0,0.2831605699611823,15,282.0,0.25010704497899316,30,723.0,0.18005491001205082,30,802.0,0.17512281938054453,19,333.0,0.2552099126752778,15,386.0,0.24771968204545364,20,426.0,0.24218229037127334,194,4652.0,-10.777777777777779
90.0,226,3795.0,8.97163120567376,2.954206485905187,26,674.0,0.2577675936054529,36,682.0,0.15609623341580134,16,570.0,0.2693368974853865,20,280.0,0.18484572147801695,32,808.0,0.1599413043862239,32,953.0,0.14439276250800132,17,370.0,0.253109884702578,19,408.0,0.22932088320413785,27,524.0,0.19013311935116023,225,5269.0,-12.5
95.0,256,4279.0,9.572706935123042,2.539271995512998,23,634.0,0.2163857726280819,43,882.0,0.16221522013696946,22,669.0,0.2323042520898271,23,341.0,0.15826036115615308,32,846.0,0.1558110465922059,34,1121.0,0.11411908802916929,21,469.0,0.22469291350875237,24,464.0,0.16250318863808624,33,670.0,0.15370821934709403,255,6096.0,-14.166666666666666
100.0,284,4943.0,10.58458244111349,2.1924807234813266,26,738.0,0.1953432090495568,45,1042.0,0.11436728101050934,23,764.0,0.20626521589443184,30,439.0,0.1532099167191906,33,958.0,0.13793311501045072,36,1241.0,0.06499841123577318,24,543.0,0.14512611119867203,27,571.0,0.1576552089750501,40,851.0,0.0828361637935658,284,7147.0,-15.777777777777779
105.0,314,5807.0,12.276955602536997,1.9469130426342554,37,891.0,0.16079993459184946,51,1218.0,0.06240180996598855,24,852.0,0.1631351975066051,33,553.0,0.15590470332062337,35,1092.0,0.12590621081486347,38,1309.0,0.06719931379017861,28,602.0,0.1283515875033756,26,689.0,0.1498914909909118,42,1018.0,0.11076241007587315,314,8224.0,-17.444444444444443
110.0,328,6505.0,13.78177966101695,1.8594162920094095,44,1093.0,0.09842055806988168,49,1464.0,0.05467566241323697,30,981.0,0.18991145492231734,34,659.0,0.12341978971639174,38,1135.0,0.1628260044896705,34,1343.0,0.07008212918902973,30,731.0,0.10230988422237151,31,836.0,0.1326639989065205,38,1144.0,0.12877678856707345,328,9386.0,-18.22222222222222
115.0,322,6794.0,14.45531914893617,1.6021603614209483,43,1241.0,0.046950691562481744,51,1715.0,0.03464329472183575,24,987.0,0.17555557068302668,35,832.0,0.11119542629747907,33,1036.0,0.1675519817241683,29,1357.0,0.10619840914890342,38,893.0,0.052711987975784816,32,914.0,0.06700744124415157,37,1293.0,0.10310439769075874,322,10268.0,-17.88888888888889
120.0,329,6822.0,14.60813704496788,1.1758590238532582,48,1375.0,0.024898842785941278,53,1932.0,0.02058442926633101,24,931.0,0.0671384928712006,37,1012.0,0.07844540710717392,33,996.0,0.13296254538221172,24,1369.0,0.09229787319048445,35,958.0,0.02370994949556208,34,928.0,0.06368527763280034,41,1457.0,0.06829273918689434,329,10958.0,-18.27777777777778
125.0,305,6387.0,13.824675324675324,1.3522277962464457,39,1495.0,0.03627666020633562,55,2132.0,0.02058617102314868,20,867.0,0.10126168431546,41,1212.0,0.06095292041916025,32,979.0,0.14797844586870465,20,1246.0,0.07733015686984523,31,963.0,0.03491675979863166,26,986.0,0.05967865568361938,41,1599.0,0.06821207688088404,305,11479.0,-16.944444444444443
130.0,297,6410.0,13.934782608695652,1.4598775704204747,35,1557.0,0.04132891370641359,50,2294.0,0.08003115545163136,18,794.0,0.12846794813045687,50,1446.0,0.05459211648369874,33,1055.0,0.10706121775663476,18,1279.0,0.1361411637521619,27,1105.0,0.06121689034156993,28,1050.0,0.06447968758058889,38,1684.0,0.06760769838468413,297,12264.0,-16.5
135.0,307,6683.0,14.752759381898455,1.2938933458900117,39,1693.0,0.040168419336393014,44,2350.0,0.12242456103716691,22,778.0,0.03272240804357592,55,1707.0,0.06367520972439956,35,1135.0,0.10653425777805862,22,1259.0,0.11467396155082343,28,1246.0,0.046231840404354914,26,1170.0,0.02158433085924325,36,1708.0,0.05876310780542487,307,13046.0,-17.055555555555557
140.0,342,7614.0,16.957683741648108,1.0990904470786693,43,1866.0,0.02261355922164721,41,2453.0,0.07505327774121741,23,727.0,0.045226360865529835,60,1994.0,0.03854984855640635,49,1335.0,0.12736991475078627,33,1305.0,0.07251611634819446,31,1394.0,0.022863251868447333,29,1246.0,0.08542253538384707,33,1633.0,0.06326719825132057,342,13953.0,-19.0
145.0,331,8096.0,18.234234234234233,0.8348087749162774,45,2088.0,5.0246003950408536e-05,42,2585.0,0.040037311207124296,19,802.0,0.10440625488276901,57,2196.0,0.022993158061657366,47,1456.0,0.044308964102178446,39,1486.0,0.06447398830295091,33,1549.0,0.002258490095331572,25,1293.0,0.07980134659783701,24,1709.0,0.06432321594936148,331,15164.0,-18.38888888888889
150.0,323,8548.0,19.383219954648528,1.089572665239133,39,2145.0,0.04099526735646623,43,2801.0,0.051389657189878604,16,776.0,0.06787719616987284,56,2461.0,0.026821610999967205,45,1529.0,0.07395921728575121,43,1691.0,0.04631615127358909,37,1730.0,0.024282849021973456,20,1244.0,0.138726173911718,24,1704.0,0.06825750685290088,323,16081.0,-17.944444444444443
155.0,312,8871.0,20.161363636363635,1.221846181866261,34,2019.0,0.0506560816298999,41,2938.0,0.06275755904019009,15,762.0,0.04523406824817111,52,2651.0,0.018672589448249594,41,1676.0,0.08319031962344933,44,1864.0,0.016551031547448566,38,1919.0,0.046163697563940016,21,1242.0,0.2077109062402939,26,1696.0,0.03988319685723758,312,16767.0,-17.333333333333332
160.0,325,9703.0,22.152968036529682,1.262786821093353,34,2098.0,0.06993551540211099,42,2997.0,0.06693896048927767,19,800.0,0.06431591811019606,44,2744.0,0.038239312302258105,49,1902.0,0.07029015634328889,44,1937.0,0.031300507788261434,40,2122.0,0.08925178487414998,22,1268.0,0.10862347970115112,31,1840.0,0.010585996767886467,325,17708.0,-18.055555555555557
165.0,332,10219.0,23.65509259259259,1.0342579373063283,38,2278.0,0.08273225380629222,45,3032.0,0.05338067536951181,17,840.0,0.04737867936201857,44,2795.0,0.03852575545071392,53,2067.0,0.07486616306070058,37,2007.0,0.026294240876699418,39,2234.0,0.05461465367940731,28,1395.0,0.06462268511030134,31,1928.0,0.02159907487598394,332,18576.0,-18.444444444444443
170.0,318,10258.0,24.136470588235294,1.0958801521244428,38,2317.0,0.054013100046944484,46,3258.0,0.06966805137937879,18,883.0,0.09240798418403796,42,2913.0,0.062007019002626805,54,2220.0,0.06274522692620736,28,1932.0,0.06733076965163455,34,2268.0,0.026500089623750753,29,1506.0,0.07355443306230997,29,2076.0,0.061243391395318696,318,19373.0,-17.666666666666668
175.0,306,10237.0,24.25829383886256,1.310441935093369,34,2295.0,0.04762314400808917,52,3512.0,0.0633711722827267,16,878.0,0.15608997572382524,43,3043.0,0.06893017874210652,53,2363.0,0.04412892360376313,24,1815.0,0.10087918310788849,25,2203.0,0.06929079980830824,30,1478.0,0.06413500011918387,29,2176.0,0.09573980396384522,306,19763.0,-17.0
180.0,291,10076.0,24.163069544364507,1.2539068728472909,31,2293.0,0.0636672262672236,52,3718.0,0.04907972537584654,12,864.0,0.1692929388227011,41,3166.0,0.032658915481461985,49,2331.0,0.07524150041602604,27,1857.0,0.09112985151847672,23,2311.0,0.034529317968898555,26,1549.0,0.11382903046712897,30,2225.0,0.06684522774505214,291,20314.0,-16.166666666666668
185.0,286,10031.0,24.28813559322034,1.109988507359073,28,2377.0,0.05734265027844097,50,3866.0,0.04292845101449806,12,914.0,0.09655037590961318,43,3377.0,0.020970043742828785,42,2441.0,0.11062993609675534,31,1887.0,0.0786728450775334,27,2438.0,0.06917538954344195,23,1660.0,0.09171194983404779,30,2277.0,0.04953335548995164,286,21237.0,-15.88888888888889
190.0,299,10463.0,25.33414043583535,1.1729209912811998,30,2520.0,0.0642933231361581,50,3969.0,0.0864802212971634,14,970.0,0.04705626904950473,43,3389.0,0.038829206968159696,49,2668.0,0.09183690613401509,28,1804.0,0.07229609249678454,29,2579.0,0.05943220950158959,25,1722.0,0.05081284610353644,31,2298.0,0.02631048048110526,299,21919.0,-16.61111111111111
195.0,301,10837.0,26.496332518337407,0.9079380810010285,30,2501.0,0.032310269331235604,51,4221.0,0.04830356141052814,18,1052.0,0.00037364672823269143,44,3605.0,0.019402867096333463,50,2811.0,0.08938285758909559,19,1802.0,0.08599671115510242,35,2741.0,0.03434514850242942,24,1696.0,0.05877809826674355,30,2451.0,0.04394116128517757,301,22880.0,-16.72222222222222
200.0,314,11542.0,28.498765432098764,0.9159141208706176,29,2459.0,0.040683852314186905,56,4498.0,0.026471510702083857,14,993.0,0.11194755601684811,45,3828.0,0.03813299522012455,53,2898.0,0.030217971868611262,14,1681.0,0.1526013596449176,39,2930.0,0.001301170370653774,28,1737.0,0.10197294691585507,36,2615.0,0.054516185986181576,314,23639.0,-17.444444444444443
205.0,307,10941.0,27.148883374689827,0.8438335455817366,28,2452.0,0.03418991032932231,54,4464.0,0.02963907891529477,4,846.0,0.16686882191765093,40,3810.0,0.042257142335472675,54,3157.0,0.04937785708815744,18,1689.0,0.08489914927692517,42,3137.0,0.000122400363938845,30,1689.0,0.08681505410482195,37,2732.0,0.04252702071355926,307,23976.0,-17.055555555555557
210.0,316,10335.0,25.708955223880597,0.756402976551211,29,2593.0,0.04176388328854485,48,4396.0,0.032433566305900066,9,744.0,0.06475838552424702,36,3644.0,0.0590773205514643,60,3445.0,0.04409693002069804,23,1699.0,0.07980143092807845,41,3260.0,0.006649891933565807,32,1752.0,0.03832836792194008,38,2920.0,0.041515333677040946,316,24453.0,-17.555555555555557
215.0,317,10121.0,25.42964824120603,0.6496521999065951,28,2738.0,0.0374974274748569,43,4351.0,0.05785942239332889,11,781.0,0.14111929209905638,34,3819.0,0.039404903242389676,62,3670.0,0.04482055004578128,22,1675.0,0.056365893163093615,43,3471.0,5.13066678427104e-05,35,1922.0,0.034409888299536465,39,3113.0,0.00019274666202103265,317,25540.0,-17.61111111111111
220.0,301,9662.0,24.3989898989899,0.7765344510075024,30,2883.0,0.011592906701742713,33,4415.0,0.0826811175226207,11,811.0,0.2509917081824469,38,4000.0,0.04366673543466969,57,3805.0,0.030108823760613083,19,1732.0,0.06481413055255303,40,3557.0,0.006690960611831433,36,2074.0,0.016557372437956457,37,3169.0,0.005963395573696227,301,26446.0,-16.72222222222222
225.0,302,9708.0,24.702290076335878,0.9101964459696854,34,3044.0,0.0014246348361982198,31,4302.0,0.09037164493895258,10,721.0,0.18831861487431623,45,4209.0,0.017430029456183136,54,3859.0,0.07654947980341385,19,1608.0,0.08064873736804257,37,3747.0,0.05182853258621585,40,2253.0,0.024627533256253303,32,3089.0,0.023764391489767157,302,26832.0,-16.77777777777778
230.0,302,9797.0,24.992346938775512,0.8230708236923523,36,3218.0,6.105816308767892e-05,38,4487.0,0.0591210147050293,9,656.0,0.22755445505885422,50,4328.0,0.007485712565109695,49,3893.0,0.0657793529195641,19,1698.0,0.1360524473843547,29,3679.0,0.05804506851337109,41,2458.0,0.0003360122994918249,31,3242.0,0.033117758159951494,302,27659.0,-16.77777777777778
235.0,308,9830.0,25.205128205128204,0.7731521028051357,36,3400.0,0.011729169656531216,44,4641.0,0.03835410951080455,14,714.0,0.08257050193300872,48,4346.0,0.023624511453426318,51,4035.0,0.02628706769509984,23,1804.0,0.15085326569941063,23,3439.0,0.05429427406714067,42,2670.0,0.030656365222357294,27,3004.0,0.026409279746212933,308,28053.0,-17.11111111111111
