step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.4915687957342016,1,0.0,0.08422158733999184,1,0.0,0.08118573622623275,0,0.0,0.20169868190470458,0,0.0,0.348625302245382,2,0.0
10.0,1,0.0,0.0,7.1928798330871615,0,0.0,0.5010188586886399,0,0.0,0.6257649849885069,0,0.0,0.4603808347149894,1,0.0,0.5726290418964731,1,0.0
15.0,1,0.0,0.0,8.831729121593284,0,0.0,0.6763899068504161,0,0.0,0.6369759900233453,0,0.0,0.8161371525101048,1,0.0,0.4710715593008817,1,0.0
20.0,4,5.0,0.1111111111111111,9.558726112768616,1,0.0,0.7493365070342484,1,0.0,0.6729878149732121,0,0.0,0.8221708919215881,2,5.0,0.5636627038705907,4,5.0
25.0,6,25.0,0.4716981132075472,9.516099842028584,0,0.0,0.7650312370391206,1,5.0,0.702685697160127,1,0.0,0.7292060410675505,4,20.0,0.582458275585238,6,25.0
30.0,15,66.0,1.1379310344827587,7.7794728312253465,2,1.0,0.6828966831905262,5,18.0,0.48790770728927485,4,7.0,0.4055415132974126,4,40.0,0.6165795031850289,15,66.0
35.0,26,151.0,2.0684931506849313,6.443419094368015,2,10.0,0.6552016758122495,9,47.0,0.373763219095881,5,26.0,0.47158967085624615,10,68.0,0.35804395227769986,26,151.0
40.0,33,283.0,3.5375,5.799897382206086,8,30.0,0.4975880752199385,8,85.0,0.40039123359921786,6,53.0,0.4395289242262994,11,115.0,0.31010406516216815,33,283.0
45.0,42,467.0,5.306818181818182,4.9954267419232625,9,68.0,0.35256720056087865,11,136.0,0.27460370997626177,8,88.0,0.4711668229258703,14,175.0,0.34241246605285214,42,467.0
50.0,56,706.0,6.99009900990099,4.66708147088666,12,123.0,0.38051594745112327,18,215.0,0.22945161020779817,12,131.0,0.3841586680730833,14,237.0,0.3535149421098533,56,706.0
55.0,57,980.0,8.672566371681416,4.24315786131122,14,189.0,0.3913048964405494,17,300.0,0.24650099745556103,12,185.0,0.27464351969348927,14,306.0,0.25953452652373177,57,980.0
60.0,71,1293.0,10.512195121951219,4.079504100143123,15,260.0,0.37236285093189164,21,393.0,0.2507660338368892,16,236.0,0.30682846779421885,19,390.0,0.2122954457693546,71,1279.0
65.0,80,1667.0,13.0234375,3.5303412516726493,20,348.0,0.1451317476067213,21,494.0,0.2764563134225637,19,325.0,0.30135820138659525,20,486.0,0.2638550994441264,80,1653.0
70.0,95,2104.0,15.136690647482014,2.861589330008982,26,465.0,0.10995988097213061,25,607.0,0.18505277915441742,20,421.0,0.273163355028665,24,597.0,0.2104268073162343,95,2090.0
75.0,107,2606.0,17.60810810810811,2.5986364949344454,26,592.0,0.1352490577283903,27,735.0,0.09179686172210856,25,531.0,0.24951201531701445,29,734.0,0.2038841026762401,107,2592.0
80.0,113,2966.0,18.422360248447205,2.3616574032347084,28,731.0,0.17334487146177063,24,779.0,0.09319437792050526,28,659.0,0.19916038381185905,33,888.0,0.16440883543893942,113,3057.0
85.0,125,3396.0,19.405714285714286,2.2049434106991885,26,793.0,0.15719778007117613,27,815.0,0.1155593045911902,33,806.0,0.18707540063455466,39,1068.0,0.14157169531560096,125,3482.0
90.0,127,3859.0,21.08743169398907,2.4996541619719506,25,826.0,0.1425399190344118,26,938.0,0.21630492345555336,36,972.0,0.19918536850738275,40,1261.0,0.14143749990991067,127,3997.0
95.0,134,4484.0,23.23316062176166,2.4390030255111763,24,930.0,0.19018743431324994,29,1075.0,0.17937328467680666,39,1155.0,0.16784426613520043,42,1469.0,0.14243347392536493,134,4629.0
100.0,152,5204.0,25.635467980295566,2.33946863006217,28,1053.0,0.1816303506988952,35,1240.0,0.14245457442972123,44,1363.0,0.18197459662923424,45,1691.0,0.11109172338642807,152,5347.0
105.0,166,5996.0,29.106796116504853,1.807476068758184,31,1198.0,0.1089880770687496,40,1429.0,0.1016474726288274,48,1591.0,0.10586351921956993,47,1922.0,0.10795843339399964,166,6140.0
