step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.7293147707678145,1,0.0,0.06675272260031555,1,0.0,0.07422784530456634,0,0.0,0.22917115369900845,0,0.0,0.4429562516313999,2,0.0,-0.09999999999999998
10.0,1,0.0,0.0,7.479918385751461,0,0.0,0.4634945641930798,0,0.0,0.5884679012850605,0,0.0,0.47870803207699764,1,0.0,0.5609855941369739,1,0.0,-0.04999999999999999
15.0,1,0.0,0.0,9.34414471201454,0,0.0,0.6772246550335984,0,0.0,0.6369252176041456,0,0.0,0.7590385090190928,1,0.0,0.532670970457133,1,0.0,-0.04999999999999999
20.0,9,9.0,0.1836734693877551,8.854432575105289,2,0.0,0.6708691419004403,2,2.0,0.6808275731986891,1,2.0,0.7418150326620666,4,5.0,0.47383382422225323,9,9.0,-0.4499999999999999
25.0,6,27.0,0.4909090909090909,9.08850673050022,1,4.0,0.6488716706685822,1,7.0,0.6623647097542664,1,1.0,0.6952417374925729,3,19.0,0.6261054891915653,6,31.0,-0.29999999999999993
30.0,18,84.0,1.3770491803278688,6.959456638622728,4,17.0,0.5789732246489774,6,24.0,0.3930717274239737,4,8.0,0.4227507448472254,4,38.0,0.5577703512895301,18,87.0,-0.8999999999999998
35.0,21,121.0,1.6575342465753424,5.487172042800386,4,28.0,0.47227307123553214,7,48.0,0.3590742089431918,4,30.0,0.40126108328858384,6,45.0,0.3122789267794623,21,151.0,-1.0499999999999998
40.0,29,203.0,2.5375,5.7405348079013,11,64.0,0.3986054696311022,7,79.0,0.41588489554228253,5,45.0,0.5028405820391844,6,41.0,0.3807119693691254,29,229.0,-1.4499999999999997
45.0,34,301.0,3.3820224719101124,5.475434261219194,10,88.0,0.3542183737961778,7,103.0,0.3903768879595314,6,71.0,0.48493315420250815,11,71.0,0.3935588371600706,34,333.0,-1.6999999999999995
50.0,43,481.0,4.715686274509804,5.3343045968850165,13,144.0,0.356155761937604,10,147.0,0.3148832351185025,9,100.0,0.3473452693319152,11,125.0,0.45957056601836127,43,516.0,-2.1499999999999995
55.0,41,602.0,5.375,5.540530061784034,13,197.0,0.3594550708658308,9,171.0,0.34604692445548074,8,140.0,0.4369750045201121,11,177.0,0.36985310061006094,41,685.0,-2.0499999999999994
60.0,51,758.0,6.064,4.9175675114743065,17,255.0,0.322935132325453,9,180.0,0.3549868566647717,11,174.0,0.3724144295107686,14,210.0,0.24233847508429307,51,819.0,-2.5499999999999994
65.0,57,990.0,7.7952755905511815,4.775233289432608,17,327.0,0.23142492805301823,12,229.0,0.4106374874415359,14,238.0,0.3587573983338181,14,239.0,0.29565129229097586,57,1033.0,-2.8499999999999996
70.0,71,1222.0,9.051851851851852,4.065808358682175,22,404.0,0.10302230191444715,18,297.0,0.22438843456870408,17,321.0,0.3261224476429661,14,278.0,0.3550271285754608,71,1300.0,-3.549999999999999
75.0,69,1351.0,9.381944444444445,3.823183611046722,21,475.0,0.15292127038446834,18,380.0,0.19904524617072558,15,371.0,0.3148154863618391,15,302.0,0.28849542868513117,69,1528.0,-3.4499999999999993
80.0,79,1448.0,9.402597402597403,3.8560493716093984,18,504.0,0.18126527170128084,19,457.0,0.16664830470080086,20,409.0,0.2846298036120672,22,296.0,0.2921472045745851,79,1666.0,-3.949999999999999
85.0,86,1450.0,8.734939759036145,3.3552030636620036,14,480.0,0.13864774660672155,25,552.0,0.16888614429935375,24,488.0,0.26273918924082024,23,334.0,0.20846703224456894,86,1854.0,-4.299999999999999
90.0,94,1646.0,9.352272727272727,3.4794698471071386,15,387.0,0.19172147866939288,25,672.0,0.21168041220402592,23,562.0,0.22497173477817287,31,395.0,0.18703350510506433,94,2016.0,-4.699999999999999
95.0,99,1984.0,10.666666666666666,3.404442291353855,14,425.0,0.24016211088964326,30,811.0,0.224363118220356,24,611.0,0.19659116658673392,31,512.0,0.17897694460526606,99,2359.0,-4.949999999999998
100.0,103,1825.0,9.407216494845361,3.4167029694906255,18,453.0,0.28473516877570776,26,806.0,0.21221006221497654,25,600.0,0.22415852755450527,34,636.0,0.16021739789064585,103,2495.0,-5.1499999999999995
105.0,109,1729.0,9.005208333333334,3.1882358031836175,18,543.0,0.25940322511500513,31,902.0,0.15391037407074243,27,558.0,0.2068257046743603,33,744.0,0.15904186039780466,109,2747.0,-5.449999999999998
110.0,111,1749.0,9.205263157894738,2.7398716592151002,19,544.0,0.19586363623187142,34,1067.0,0.10298099897240848,27,663.0,0.14608991377875513,31,785.0,0.1409522602810711,111,3059.0,-5.549999999999999
115.0,104,1789.0,9.566844919786096,2.5022636639880607,18,556.0,0.18172791433011207,32,1232.0,0.09932789629121674,24,735.0,0.11793887868109247,30,847.0,0.0856326321777346,104,3370.0,-5.199999999999998
120.0,110,1962.0,10.721311475409836,2.098361827521257,17,513.0,0.15158565437523194,40,1417.0,0.06258993975057574,25,782.0,0.12750616568562678,28,908.0,0.048115452251245715,110,3620.0,-5.499999999999999
