step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,1,0.0,0.0,3.658200516287858,1,0.0,0.2513217987792429,1,0.0,-0.09999999999999998
10.0,1,0.0,0.0,6.972077021404749,1,0.0,0.4832659901558857,1,0.0,-0.09999999999999998
15.0,2,0.0,0.0,8.743892299696558,2,1.0,0.6049552368570037,2,1.0,-0.19999999999999996
20.0,2,0.0,0.0,10.133999382802312,2,0.0,0.7126426027321656,2,0.0,-0.19999999999999996
25.0,1,0.0,0.0,10.523132468791271,1,0.0,0.7569751527512788,1,0.0,-0.09999999999999998
30.0,5,9.0,0.2571428571428571,8.777862442852172,5,9.0,0.6154638454361244,5,9.0,-0.4999999999999999
35.0,11,39.0,0.9512195121951219,7.957457119215268,11,39.0,0.5517895205689286,11,39.0,-1.0999999999999996
40.0,15,95.0,2.0652173913043477,6.876771894396079,15,95.0,0.4684895016861451,15,95.0,-1.4999999999999996
45.0,19,177.0,3.4705882352941178,6.270905829496078,19,177.0,0.4148678058286358,19,177.0,-1.8999999999999995
50.0,26,282.0,4.947368421052632,5.8005473641433944,26,282.0,0.36948794757755443,26,282.0,-2.5999999999999996
55.0,26,405.0,6.75,5.6213463938013035,26,405.0,0.3600838647425372,26,405.0,-2.5999999999999996
60.0,31,547.0,8.164179104477611,5.487996620318407,31,547.0,0.3253159566824199,31,547.0,-3.099999999999999
65.0,36,703.0,9.76388888888889,5.07914613226963,36,704.0,0.31028937396351375,36,704.0,-3.599999999999999
70.0,40,889.0,11.853333333333333,4.535874467139951,40,890.0,0.28208459142481124,40,890.0,-3.999999999999999
75.0,47,1104.0,13.62962962962963,4.1542907419027815,47,1105.0,0.24928452196320067,47,1105.0,-4.699999999999999
80.0,53,1349.0,16.05952380952381,3.668519841093372,53,1350.0,0.226754658739525,53,1350.0,-5.299999999999999
85.0,58,1622.0,18.022222222222222,3.458829104731157,58,1623.0,0.19465163835957885,58,1623.0,-5.799999999999999
90.0,65,1932.0,20.33684210526316,3.021009528461263,65,1933.0,0.17809573321533462,65,1933.0,-6.499999999999998
95.0,71,2263.0,22.186274509803923,3.066735138348297,71,2264.0,0.17076656937737014,71,2264.0,-7.099999999999999
100.0,73,2620.0,24.71698113207547,3.049270089777726,73,2621.0,0.16828828425288866,73,2621.0,-7.299999999999998
105.0,81,3006.0,27.327272727272728,2.7061864851780015,81,3007.0,0.14373369823545668,81,3007.0,-8.099999999999998
110.0,87,3418.0,30.792792792792792,2.272152161319509,87,3419.0,0.12543358636482657,87,3419.0,-8.699999999999998
115.0,89,3857.0,34.4375,1.9422816214815362,89,3858.0,0.09852563807210099,89,3858.0,-8.899999999999999
120.0,94,4320.0,38.230088495575224,1.608455291044113,94,4321.0,0.07524912793682306,94,4321.0,-9.399999999999999
125.0,99,4800.0,41.02564102564103,1.6638822635632504,99,4801.0,0.07171932537147126,99,4801.0,-9.899999999999999
130.0,99,5290.0,44.83050847457627,1.6695294153961167,99,5291.0,0.07100365691231024,99,5291.0,-9.899999999999999
135.0,102,5789.0,47.84297520661157,1.774383050058926,102,5790.0,0.08172414603498739,102,5790.0,-10.199999999999998
140.0,99,5671.0,46.48360655737705,1.5432460768750202,99,6070.0,0.07152506746505444,99,6070.0,-9.899999999999999
145.0,92,5316.0,43.93388429752066,1.8562381769951204,92,6065.0,0.07227942903114074,92,6065.0,-9.199999999999998
150.0,86,5218.0,43.483333333333334,1.9135684149306165,86,6488.0,0.08147133867186335,86,6488.0,-8.599999999999998
155.0,82,5218.0,43.84873949579832,2.292380567483945,82,6895.0,0.08103041983796398,82,6895.0,-8.199999999999998
160.0,79,5364.0,46.241379310344826,2.0314253037899292,79,7298.0,0.06240291734378631,79,7298.0,-7.899999999999999
165.0,82,5693.0,50.38053097345133,1.690335439629534,82,7699.0,0.04058061561171617,82,7699.0,-8.199999999999998
170.0,88,6119.0,55.126126126126124,1.2231559835068195,88,8126.0,0.007727264490544183,88,8126.0,-8.799999999999997
175.0,89,5739.0,53.138888888888886,1.069108731790793,89,8286.0,0.006781500247905732,89,8286.0,-8.899999999999999
180.0,83,5048.0,49.00970873786408,1.3256340223132292,83,8177.0,0.027466869750807834,83,8177.0,-8.299999999999999
185.0,79,4645.0,45.09708737864078,1.503652269021533,79,8579.0,0.028141980177199273,79,8579.0,-7.899999999999999
190.0,77,4583.0,45.37623762376238,1.2749686468409647,77,8966.0,0.024240285844884597,77,8966.0,-7.699999999999998
195.0,84,4992.0,50.93877551020408,0.686730042811213,84,9304.0,0.00988352821528387,84,9304.0,-8.399999999999999
200.0,91,5433.0,57.797872340425535,0.009963038664096363,91,9745.0,0.0006706753740184009,91,9745.0,-9.099999999999998
205.0,94,5900.0,62.765957446808514,0.0004255907011843196,94,10212.0,2.7515886633051934e-05,94,10212.0,-9.399999999999999
210.0,94,6370.0,67.76595744680851,3.178115008548176e-06,94,10682.0,2.0911691461284177e-07,94,10682.0,-9.399999999999999
215.0,94,6840.0,72.76595744680851,1.110549854671892e-06,94,11152.0,7.053033987377712e-08,94,11152.0,-9.399999999999999
220.0,94,7310.0,77.76595744680851,1.2371971124773968e-06,94,11622.0,9.05561878945298e-08,94,11622.0,-9.399999999999999
225.0,94,7780.0,82.76595744680851,0.0,94,12092.0,0.0,94,12092.0,-9.399999999999999
230.0,94,8250.0,87.76595744680851,0.0,94,12562.0,0.0,94,12562.0,-9.399999999999999
235.0,94,8720.0,92.76595744680851,0.0,94,13032.0,0.0,94,13032.0,-9.399999999999999
240.0,94,9190.0,97.76595744680851,0.0,94,13502.0,0.0,94,13502.0,-9.399999999999999
245.0,94,9660.0,102.76595744680851,0.0,94,13972.0,0.0,94,13972.0,-9.399999999999999
250.0,94,10130.0,107.76595744680851,0.0,94,14442.0,0.0,94,14442.0,-9.399999999999999
255.0,94,10600.0,112.76595744680851,0.0,94,14912.0,0.0,94,14912.0,-9.399999999999999
260.0,94,11070.0,117.76595744680851,0.0,94,15382.0,0.0,94,15382.0,-9.399999999999999
265.0,94,11540.0,122.76595744680851,0.0,94,15852.0,0.0,94,15852.0,-9.399999999999999
270.0,94,12010.0,127.76595744680851,0.0,94,16322.0,0.0,94,16322.0,-9.399999999999999
275.0,94,12480.0,132.7659574468085,0.0,94,16792.0,0.0,94,16792.0,-9.399999999999999
280.0,94,12950.0,137.7659574468085,0.0,94,17262.0,0.0,94,17262.0,-9.399999999999999
285.0,88,11923.0,126.84042553191489,0.18858215722364352,88,17217.0,0.005159805315781514,88,17217.0,-8.799999999999997
290.0,79,10307.0,109.64893617021276,1.0915371376265675,79,16646.0,0.027080831396092377,79,16646.0,-7.899999999999999
295.0,72,8836.0,94.0,1.2208910598768121,72,17020.0,0.026278084998879403,72,17020.0,-7.199999999999998
300.0,72,8058.0,85.72340425531915,1.2355405064578626,72,17379.0,0.02892003732942243,72,17379.0,-7.199999999999998
305.0,80,8443.0,91.77173913043478,0.7030770658214985,80,17764.0,0.010115129744813321,80,17764.0,-7.999999999999998
310.0,85,8857.0,100.64772727272727,0.00924186887207721,85,18180.0,0.0007348937414531962,85,18180.0,-8.499999999999998
315.0,82,9173.0,104.23863636363636,0.22246702161027063,82,18096.0,0.007102137507758873,82,18096.0,-8.199999999999998
320.0,72,9395.0,106.76136363636364,1.0729075113175464,72,17496.0,0.026233484934767348,72,17496.0,-7.199999999999998
325.0,61,8782.0,99.79545454545455,1.5026782064612327,61,17302.0,0.038682733194152906,61,17302.0,-6.099999999999999
330.0,57,7713.0,87.64772727272727,2.031387454526524,57,16576.0,0.04406487934497516,57,16576.0,-5.699999999999998
335.0,59,6925.0,80.52325581395348,1.8191013431836758,59,16858.0,0.032402723194267444,59,16858.0,-5.899999999999999
340.0,66,7107.0,86.67073170731707,1.1467915539585105,66,17173.0,0.020538318138019453,66,17173.0,-6.599999999999999
345.0,73,7455.0,92.03703703703704,0.7680120893218689,73,17521.0,0.0016512934640647182,73,17521.0,-7.299999999999998
350.0,76,7830.0,99.11392405063292,0.3995921898447472,76,17896.0,3.112400699038383e-05,76,17896.0,-7.599999999999998
355.0,76,8210.0,108.02631578947368,2.4289872162448938e-05,76,18276.0,1.5810350211915572e-06,76,18276.0,-7.599999999999998
360.0,76,8590.0,113.02631578947368,1.3646977878405599e-06,76,18656.0,9.368778553834727e-08,76,18656.0,-7.599999999999998
365.0,76,8970.0,118.02631578947368,1.3193470683348627e-06,76,19036.0,1.0272022287109658e-07,76,19036.0,-7.599999999999998
