step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,1,0.0,0.0,3.066311767728378,1,0.0,0.2169564407196681,1,0.0,-0.09999999999999998
10.0,0,0.0,0.0,6.826981639872518,0,0.0,0.4860220672970628,0,0.0,0.0
15.0,2,0.0,0.0,8.856210592756796,2,0.0,0.6484834554964775,2,0.0,-0.19999999999999996
20.0,2,0.0,0.0,10.212895197982089,2,0.0,0.7543366051510105,2,0.0,-0.19999999999999996
25.0,1,0.0,0.0,9.981110784227882,1,0.0,0.7445013782847706,1,0.0,-0.09999999999999998
30.0,8,15.0,0.42857142857142855,8.301423660944057,8,15.0,0.6200592780810233,8,15.0,-0.7999999999999998
35.0,10,49.0,1.1951219512195121,7.318012754625069,10,49.0,0.5288442315836571,10,49.0,-0.9999999999999998
40.0,16,105.0,2.282608695652174,6.596965085991375,16,105.0,0.4599433235109908,16,105.0,-1.5999999999999996
45.0,20,166.0,3.1923076923076925,5.68561454931251,20,166.0,0.39310039341830916,20,166.0,-1.9999999999999996
50.0,22,235.0,4.12280701754386,5.723776878682499,22,240.0,0.36574082458223856,22,240.0,-2.1999999999999993
55.0,25,352.0,5.67741935483871,6.054433584203662,25,352.0,0.3562977718536913,25,352.0,-2.4999999999999996
60.0,32,491.0,7.220588235294118,5.424749537928046,32,491.0,0.30629837054997094,32,491.0,-3.1999999999999993
65.0,39,663.0,8.95945945945946,5.386568676861868,39,663.0,0.3114600420400172,39,663.0,-3.899999999999999
70.0,38,661.0,8.697368421052632,4.273547552534327,38,773.0,0.26691628722940614,38,773.0,-3.799999999999999
75.0,37,690.0,8.414634146341463,4.621246228136419,37,842.0,0.2849515668787963,37,842.0,-3.6999999999999993
80.0,40,864.0,10.16470588235294,4.739405302830331,40,934.0,0.2769433522668692,40,934.0,-3.999999999999999
85.0,44,1068.0,11.736263736263735,4.7153536824582645,44,1129.0,0.2545828602801252,44,1129.0,-4.399999999999999
90.0,56,1321.0,13.479591836734693,3.7752280984820343,56,1382.0,0.1961616336231053,56,1382.0,-5.599999999999999
95.0,58,1056.0,10.352941176470589,3.6901561906260256,58,1417.0,0.20360595840887,58,1417.0,-5.799999999999999
100.0,55,1032.0,10.019417475728156,3.7207743916918683,55,1477.0,0.20471004482732832,55,1477.0,-5.499999999999999
105.0,54,1193.0,11.361904761904762,3.9971203508557016,54,1615.0,0.22018333166262627,54,1615.0,-5.399999999999999
110.0,62,1469.0,13.477064220183486,3.4466541318925614,62,1898.0,0.17066152129783468,62,1898.0,-6.199999999999998
115.0,66,1321.0,12.119266055045872,2.763027044395438,66,2020.0,0.13270919813460197,66,2020.0,-6.599999999999999
120.0,68,1334.0,12.238532110091743,2.573904667136809,68,2132.0,0.11366250202652779,68,2132.0,-6.799999999999999
125.0,67,1503.0,13.916666666666666,2.847438091371965,67,2237.0,0.12470966813965405,67,2237.0,-6.699999999999998
130.0,74,1857.0,16.72972972972973,2.8619880180681534,74,2561.0,0.10568882842398397,74,2561.0,-7.399999999999999
135.0,83,2116.0,18.56140350877193,2.230135991792286,83,2820.0,0.0643705492064527,83,2820.0,-8.299999999999999
140.0,83,1981.0,17.6875,2.1624616938303984,83,3105.0,0.07386414090395353,83,3105.0,-8.299999999999999
145.0,77,2065.0,19.12037037037037,2.293875565681943,77,3219.0,0.08657182108189072,77,3219.0,-7.699999999999998
150.0,80,2432.0,22.72897196261682,2.5095882556899327,80,3383.0,0.07022443671621739,80,3383.0,-7.999999999999998
155.0,86,2845.0,26.588785046728972,1.9275092262051154,86,3796.0,0.01569414349710212,86,3796.0,-8.599999999999998
160.0,87,2855.0,27.718446601941746,1.5071629215429276,87,4062.0,0.0072464161300669055,87,4062.0,-8.699999999999998
165.0,77,2604.0,26.303030303030305,1.8305616595663308,77,4152.0,0.030235028274655698,77,4152.0,-7.699999999999998
170.0,69,2581.0,27.752688172043012,2.1203484815515767,69,4102.0,0.04971449033366265,69,4102.0,-6.899999999999999
175.0,60,2610.0,28.06451612903226,2.8111724520163226,60,4292.0,0.07801059561592348,60,4292.0,-5.999999999999998
180.0,64,2898.0,31.5,2.621914856388545,64,4601.0,0.06258188152666395,64,4601.0,-6.399999999999999
185.0,59,2482.0,29.2,1.6430533196432173,59,4471.0,0.03034456045814686,59,4471.0,-5.899999999999999
190.0,57,2156.0,25.97590361445783,2.1219586009862432,57,4377.0,0.043778891136900616,57,4377.0,-5.699999999999998
195.0,51,1832.0,23.189873417721518,2.4919010946906113,51,4379.0,0.07289340516005609,51,4379.0,-5.099999999999999
200.0,48,1635.0,20.696202531645568,2.62847417701747,48,4623.0,0.06925892606006512,48,4623.0,-4.799999999999999
205.0,43,1207.0,16.093333333333334,2.3277247303551905,43,4405.0,0.06822465273827483,43,4405.0,-4.299999999999999
210.0,45,1078.0,14.972222222222221,2.3551019533839317,45,4341.0,0.05359668320839203,45,4341.0,-4.499999999999999
215.0,50,1319.0,19.397058823529413,2.0806547963290787,50,4237.0,0.01891282909638379,50,4237.0,-4.999999999999999
220.0,55,1585.0,23.308823529411764,2.2687426880100916,55,4422.0,0.0003193451972088285,55,4422.0,-5.499999999999999
225.0,54,1722.0,25.70149253731343,2.2016925224249726,54,4485.0,9.055541053476857e-07,54,4485.0,-5.399999999999999
230.0,48,1553.0,24.650793650793652,2.4248813095114974,48,4524.0,0.025571884227425092,48,4524.0,-4.799999999999999
235.0,48,1793.0,31.45614035087719,2.1039870140890353,48,4383.0,0.0,48,4383.0,-4.799999999999999
240.0,48,2033.0,36.30357142857143,1.8566817816989836,48,4623.0,0.0,48,4623.0,-4.799999999999999
245.0,48,2273.0,41.32727272727273,1.662564592078365,48,4863.0,0.0,48,4863.0,-4.799999999999999
250.0,42,2079.0,39.22641509433962,1.5496958156075809,42,4826.0,0.01728490679396189,42,4826.0,-4.199999999999999
255.0,33,1653.0,34.4375,1.7378818151924718,33,4523.0,0.04818739787331956,33,4523.0,-3.2999999999999994
260.0,28,1469.0,30.604166666666668,3.409399210333073,28,4120.0,0.08529133979999964,28,4120.0,-2.7999999999999994
265.0,28,1609.0,33.520833333333336,3.955027340530416,28,4056.0,0.05690702931654246,28,4056.0,-2.7999999999999994
270.0,31,1758.0,36.625,3.4559725725547277,31,4205.0,0.0060760945307462184,31,4205.0,-3.099999999999999
275.0,25,1173.0,27.27906976744186,3.676691530879569,25,3719.0,0.03825711573204655,25,3719.0,-2.4999999999999996
280.0,15,581.0,15.289473684210526,4.444260819074312,15,3241.0,0.13385110873790712,15,3241.0,-1.4999999999999996
285.0,9,172.0,4.914285714285715,5.317761878639314,9,2882.0,0.1697751820429352,9,2882.0,-0.8999999999999998
290.0,13,226.0,6.457142857142857,5.079576091983142,13,2936.0,0.11450127527729874,13,2936.0,-1.2999999999999998
295.0,18,233.0,6.852941176470588,3.884086530874025,18,2863.0,0.008794894118130933,18,2863.0,-1.7999999999999996
300.0,23,337.0,12.481481481481481,1.929378931157367,23,2967.0,0.00025614942040642495,23,2967.0,-2.2999999999999994
305.0,23,452.0,18.833333333333332,0.6256860834698812,23,3082.0,1.5878824466794487e-06,23,3082.0,-2.2999999999999994
310.0,23,567.0,23.625,0.5834902019798325,23,3197.0,0.0,23,3197.0,-2.2999999999999994
315.0,23,682.0,29.652173913043477,0.0,23,3312.0,0.0,23,3312.0,-2.2999999999999994
320.0,23,797.0,34.65217391304348,0.0,23,3427.0,0.0,23,3427.0,-2.2999999999999994
325.0,23,912.0,39.65217391304348,0.0,23,3542.0,0.0,23,3542.0,-2.2999999999999994
330.0,23,1027.0,44.65217391304348,0.0,23,3657.0,0.0,23,3657.0,-2.2999999999999994
335.0,23,1142.0,49.65217391304348,0.0,23,3772.0,0.0,23,3772.0,-2.2999999999999994
340.0,18,899.0,39.08695652173913,0.7779285536141943,18,3536.0,0.02372329164143005,18,3536.0,-1.7999999999999996
345.0,16,846.0,36.78260869565217,2.858042124528712,16,3114.0,0.04820405933385896,16,3114.0,-1.5999999999999996
350.0,16,926.0,40.26086956521739,3.522219536213789,16,2883.0,0.0,16,2883.0,-1.5999999999999996
355.0,16,1006.0,43.73913043478261,3.9444370410830656,16,2963.0,0.0,16,2963.0,-1.5999999999999996
360.0,16,1086.0,49.36363636363637,3.6745504514020855,16,3043.0,0.0,16,3043.0,-1.5999999999999996
365.0,6,410.0,22.77777777777778,4.175274753428163,6,2259.0,0.08621788142759586,6,2259.0,-0.5999999999999999
370.0,0,0.0,0.0,8.11719904849929,0,1459.0,0.3320934398844661,0,1459.0,0.0
375.0,0,0.0,0.0,10.891275167607844,0,691.0,0.4162570928256215,0,691.0,0.0
380.0,3,7.0,0.4375,9.750742519296198,3,698.0,0.014150927971099353,3,698.0,-0.29999999999999993
385.0,4,26.0,1.8571428571428572,9.18231027658341,4,717.0,2.1286499418278227e-06,4,717.0,-0.3999999999999999
390.0,4,46.0,6.571428571428571,5.502066141644924,4,737.0,2.5447373750009386e-06,4,737.0,-0.3999999999999999
395.0,4,66.0,16.5,0.0,4,757.0,0.0,4,757.0,-0.3999999999999999
400.0,4,86.0,21.5,0.0,4,777.0,0.0,4,777.0,-0.3999999999999999
405.0,4,106.0,26.5,0.0,4,797.0,0.0,4,797.0,-0.3999999999999999
410.0,4,126.0,31.5,0.0,4,817.0,0.0,4,817.0,-0.3999999999999999
415.0,4,146.0,36.5,0.0,4,837.0,0.0,4,837.0,-0.3999999999999999
420.0,4,166.0,41.5,0.0,4,857.0,0.0,4,857.0,-0.3999999999999999
425.0,4,186.0,46.5,0.0,4,877.0,0.0,4,877.0,-0.3999999999999999
430.0,4,206.0,51.5,0.0,4,897.0,0.0,4,897.0,-0.3999999999999999
435.0,4,226.0,56.5,0.0,4,917.0,0.0,4,917.0,-0.3999999999999999
440.0,4,246.0,61.5,0.0,4,937.0,0.0,4,937.0,-0.3999999999999999
445.0,4,266.0,66.5,0.0,4,957.0,0.0,4,957.0,-0.3999999999999999
450.0,4,286.0,71.5,0.0,4,977.0,0.0,4,977.0,-0.3999999999999999
455.0,0,0.0,0.0,7.3798469995897245,0,249.0,0.24175629004023647,0,249.0,0.0
460.0,0,0.0,0.0,12.294693792135645,0,0.0,1.0,0,0.0,0.0
465.0,0,0.0,0.0,13.444628150333473,0,0.0,1.0,0,0.0,0.0
470.0,0,0.0,0.0,14.090304978988868,0,0.0,1.0,0,0.0,0.0
475.0,0,0.0,0.0,13.958107342115163,0,0.0,1.0,0,0.0,0.0
480.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
485.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
490.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
495.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
500.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
505.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
510.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
515.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
520.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
525.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
530.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
535.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
540.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
545.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
550.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
555.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
560.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
565.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
570.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
575.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
580.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
585.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
590.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
595.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
600.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
605.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
610.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
615.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
620.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
625.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
630.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
635.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
640.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
645.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
650.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
655.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
660.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
665.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
670.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
675.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
680.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
685.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
690.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
695.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
700.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
705.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
710.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
715.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
720.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
725.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
730.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
735.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
740.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
745.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
750.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
755.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
760.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
765.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
770.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
775.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
780.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
785.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
790.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
795.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
800.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
805.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
