step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.7418678549962348,1,0.0,0.08397605879993496,1,0.0,0.110984858711464,0,0.0,0.27228367530816466,0,0.0,0.3895067077571085,2,0.0,-0.04999999999999999
10.0,1,0.0,0.0,7.130811291514661,0,0.0,0.49600135459203126,0,0.0,0.6406173586556776,0,0.0,0.4862579646820433,1,0.0,0.5135724052068341,1,0.0,-0.024999999999999994
15.0,1,0.0,0.0,8.869239545247323,0,0.0,0.6631719346819156,0,0.0,0.6371995143906296,0,0.0,0.7523338113756696,1,0.0,0.5176955905307074,1,0.0,-0.024999999999999994
20.0,8,7.0,0.14285714285714285,8.664011617180723,2,0.0,0.6748654990663857,1,0.0,0.6741975303879331,1,2.0,0.7613002219000083,4,5.0,0.4644371445691697,8,7.0,-0.19999999999999996
25.0,8,34.0,0.6181818181818182,9.07031251597721,1,3.0,0.6675574150745195,1,5.0,0.7196701209960873,3,8.0,0.6727857545196775,3,18.0,0.5905634851312833,8,34.0,-0.19999999999999996
30.0,16,85.0,1.3709677419354838,6.900148268624585,5,13.0,0.5523573780108695,3,16.0,0.47204988786280844,3,18.0,0.3972668309083844,5,38.0,0.5462390568730328,16,85.0,-0.3999999999999999
35.0,29,187.0,2.6338028169014085,5.7448611183932865,7,39.0,0.4843978856344428,8,43.0,0.4110290365935586,4,35.0,0.43175331225474767,10,70.0,0.32993650790002793,29,187.0,-0.7249999999999999
40.0,36,337.0,4.109756097560975,5.0523477641495695,13,83.0,0.3227847038979134,8,78.0,0.3545925597345784,5,60.0,0.44288986110126904,10,116.0,0.36392266255850464,36,337.0,-0.8999999999999998
45.0,47,460.0,5.054945054945055,4.258665436342305,17,141.0,0.2516387070717115,10,83.0,0.3101567335997949,7,76.0,0.4364546084937015,13,160.0,0.3175394161127315,47,460.0,-1.1749999999999998
50.0,46,584.0,5.669902912621359,5.074872169101832,15,208.0,0.3303135336183703,10,115.0,0.3588256853108423,8,92.0,0.36180035132714616,13,224.0,0.3521588700731899,46,639.0,-1.1499999999999997
55.0,45,799.0,7.070796460176991,5.27651822497225,15,256.0,0.34697472739434954,9,154.0,0.39445383864360894,8,129.0,0.38063338707370475,13,288.0,0.37348798320405785,45,827.0,-1.1249999999999998
60.0,62,1061.0,8.556451612903226,4.587909355234208,17,328.0,0.31873186035842566,12,203.0,0.3490396590021923,11,175.0,0.3576756262963297,22,372.0,0.2687182364376035,62,1078.0,-1.5499999999999996
65.0,75,1399.0,11.015748031496063,3.6512200977980123,23,430.0,0.1442490212827161,14,268.0,0.3587766128751367,13,234.0,0.35453062994717865,25,484.0,0.20606740141123356,75,1416.0,-1.8749999999999996
70.0,78,1326.0,9.75,3.028363144894739,24,486.0,0.07962475137975236,16,279.0,0.20405763132381263,12,298.0,0.3468714215158274,26,559.0,0.2041432560744004,78,1622.0,-1.9499999999999997
75.0,77,1482.0,10.51063829787234,3.8649735533502576,21,492.0,0.17226119611729815,19,293.0,0.1616514058101769,14,356.0,0.3694840392409357,23,582.0,0.25331945305568937,77,1723.0,-1.9249999999999996
80.0,86,1845.0,12.138157894736842,3.7436196446925734,22,548.0,0.16489804928281498,21,386.0,0.1712227268742804,19,436.0,0.309512705258335,24,607.0,0.2708875982156408,86,1977.0,-2.1499999999999995
85.0,98,2286.0,13.688622754491018,3.1791481214937227,23,658.0,0.14099583372744767,24,494.0,0.16133789259518208,25,542.0,0.2824589458268047,26,680.0,0.18642443850686627,98,2374.0,-2.4499999999999993
90.0,112,2781.0,15.711864406779661,2.8539544376586745,27,781.0,0.09997042862499608,22,605.0,0.20450257316342874,28,660.0,0.24504398231048,35,832.0,0.16500805436059898,112,2878.0,-2.7999999999999994
95.0,96,1906.0,10.415300546448087,3.0636512019713815,17,671.0,0.19723784488456525,23,599.0,0.20432648201571993,21,601.0,0.25901068900333113,35,803.0,0.14965099888464434,96,2674.0,-2.3999999999999995
