step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,3,0.0,0.0,3.5181654701996155,0,0.0,0.2810439596531019,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.14804723306614617,0,0.0,0.22876330227204172,0,0.0,0.2607865610325493,0,0.0,0.46418318481648485,0,0.0,0.5105564541007093,0,0.0,0.46738293923840424,1,0.0,0.2549298497405089,0,0.0,1.0,0,0.0,0.3386328344263668,0,0.0,0.3399150112016538,0,0.0,0.2794559959696523,0,0.0,0.13317484479197542,-0.056,3,3,0.0
10.0,11,0.0,0.0,6.865345532930977,0,0.0,0.444607088546408,1,0.0,0.3110123784716425,1,0.0,0.0,2,0.0,0.41644870914060506,2,0.0,0.5010703580785592,0,0.0,0.5532079671198573,0,0.0,0.6336816624922802,0,0.0,0.7624226904348037,0,0.0,0.5014432197665707,1,0.0,0.45096052676771325,1,0.0,0.450785008606422,0,0.0,1.0,1,0.0,0.4704304513684237,0,0.0,0.6924174986723952,2,0.0,0.3164950387277424,0,0.0,0.8460764763185143,-0.206,11,11,0.0
15.0,9,0.0,0.0,8.477779958945982,2,0.0,0.3609008436024981,0,0.0,0.7617418735894197,1,0.0,0.3540639312362568,0,0.0,0.7399836378547361,1,0.0,0.6480567275410317,0,0.0,0.7032709539268233,0,0.0,0.7070675606539075,0,0.0,0.6581091739933583,0,0.0,0.5969139417127952,1,0.0,0.5513526344219317,0,0.0,0.7057872450847844,2,0.0,0.24691934610062258,0,0.0,0.7493616909114839,1,0.0,0.6470130442418928,1,0.0,0.7089806488305305,0,0.0,0.6467398438696037,-0.169,9,9,0.0
20.0,20,38.0,0.296875,7.643767187653936,1,4.0,0.6089654811660243,0,0.0,0.4929837843510963,2,0.0,0.5089577364772166,1,0.0,0.767690531564399,2,4.0,0.6113972138181875,1,3.0,0.49699596370599214,4,10.0,0.38002340492822456,1,0.0,0.6021602760504343,1,5.0,0.548343830004542,1,4.0,0.5056988084800664,1,1.0,0.5764312884537739,0,0.0,0.7714129310898813,2,1.0,0.6566538135436226,1,2.0,0.46428554990469534,1,4.0,0.532995217481538,1,0.0,0.5117992442056813,-0.375,20,20,38.0
25.0,36,134.0,0.8481012658227848,6.825805974247648,2,12.0,0.6461579339394479,3,7.0,0.3362308361065652,0,0.0,0.8197547513480682,0,0.0,0.6095488611565669,4,20.0,0.4617440756861348,3,14.0,0.4929798670684422,5,26.0,0.33182831776489746,2,0.0,0.5306649449905669,0,0.0,0.8175513913951862,5,15.0,0.3980033207425073,4,11.0,0.20702703492759233,0,0.0,0.7069609789378921,2,7.0,0.5383882084736886,2,10.0,0.5093080147267591,4,14.0,0.41510290729124794,0,0.0,0.5919996754048279,-0.675,36,36,136.0
30.0,70,372.0,1.8979591836734695,5.939197195187111,5,30.0,0.46561935389475784,3,22.0,0.38796922674113116,3,4.0,0.640064272923723,3,8.0,0.5801956776512233,8,53.0,0.2985928108122587,5,30.0,0.5066333793346881,8,57.0,0.31173252713830263,1,4.0,0.5816031643329989,1,0.0,0.43973226886880484,6,37.0,0.46906990834254647,7,41.0,0.33261755427983825,4,8.0,0.3390426688459884,4,20.0,0.47344837772841064,2,20.0,0.49312885801705636,7,37.0,0.2971283583016492,3,4.0,0.5036178087433936,-1.313,70,70,375.0
35.0,91,718.0,3.1629955947136565,5.077052284974589,7,61.0,0.2139685844747342,5,40.0,0.4757818168336158,4,17.0,0.36517544554828546,4,24.0,0.35138557910028745,13,104.0,0.09397500004617854,6,51.0,0.3826336301631943,9,97.0,0.2079020949565155,4,15.0,0.39313369854042696,3,6.0,0.45407288425179887,7,69.0,0.4143227938687307,6,69.0,0.3505269071065921,5,31.0,0.36004165573693636,5,37.0,0.4219047921682569,4,38.0,0.2691710521092682,7,53.0,0.40449768992853413,2,13.0,0.6240848579750655,-1.706,91,91,725.0
40.0,131,1266.0,4.8320610687022905,4.411038908483429,10,107.0,0.1583686469414369,4,60.0,0.42187161527772166,4,30.0,0.4617832373514295,6,52.0,0.268058490364105,15,169.0,0.13812481343147076,10,87.0,0.3187420664553605,10,145.0,0.28778616473236585,7,38.0,0.3344015989854157,2,16.0,0.5817585483056543,15,129.0,0.2702717534947889,10,109.0,0.230514887181754,11,71.0,0.26737081609969165,7,70.0,0.36266695852150216,7,65.0,0.22161607318487878,10,95.0,0.28354832409914593,3,23.0,0.597902458181588,-2.456,131,131,1266.0
45.0,148,1663.0,5.855633802816901,3.654791476307838,9,136.0,0.19964641830629323,7,67.0,0.32934881233475555,4,43.0,0.49187814668066593,9,68.0,0.17029303477072658,14,210.0,0.18296929364714073,13,119.0,0.25662177276605175,10,173.0,0.2319535309626236,6,67.0,0.3853798968347139,3,19.0,0.4888503963685703,16,168.0,0.1558520598599647,12,148.0,0.1346927487371692,11,106.0,0.24288553237717098,9,97.0,0.2669279158575453,7,100.0,0.28986852614447095,13,125.0,0.171069197728624,5,36.0,0.436456013159492,-2.775,148,148,1682.0
