step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,3,0.0,0.0,3.2021034273274602,0,0.0,0.26731261025718145,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.15011047666675406,0,0.0,0.19639165497772948,0,0.0,0.24780747176706272,0,0.0,0.3212894721453006,0,0.0,0.4397352219705675,0,0.0,0.4133080462621515,1,0.0,0.2482432748713691,0,0.0,1.0,0,0.0,0.27947544596923674,0,0.0,0.3091808050641331,0,0.0,0.31137644245569246,0,0.0,0.13501450627008602,3,0.0,-0.018749999999999996
10.0,10,0.0,0.0,6.604766477972366,0,0.0,0.44857254741141844,1,0.0,0.237869376783063,1,0.0,0.0,2,0.0,0.3876731381789411,2,0.0,0.4744969827143317,0,0.0,0.5511854527978414,0,0.0,0.5867084446952252,0,0.0,0.6168912385731848,0,0.0,0.5079936627184557,1,0.0,0.4748632958390993,1,0.0,0.45609374314465606,0,0.0,1.0,1,0.0,0.418664463818968,0,0.0,0.6032630240389099,1,0.0,0.34337873340877695,0,0.0,0.9000525225391615,10,0.0,-0.062499999999999986
15.0,8,0.0,0.0,8.6609099590693,2,0.0,0.379605745071588,0,0.0,0.7255038974899144,1,0.0,0.4584825896481971,0,0.0,0.7119906535201137,1,0.0,0.6732797052745207,0,0.0,0.7086735557398114,0,0.0,0.7110203562045104,0,0.0,0.6929514568460101,0,0.0,0.6208845315928961,0,0.0,0.5510069612392458,0,0.0,0.6440026717016473,2,0.0,0.24665412549139037,0,0.0,0.7285507708695862,1,0.0,0.6545118571497733,1,0.0,0.7382915879981765,0,0.0,0.5959831975534936,8,0.0,-0.04999999999999999
20.0,20,27.0,0.20930232558139536,7.448647275259695,1,3.0,0.5968943585438224,0,0.0,0.5049156379668597,2,0.0,0.5423072462149497,1,0.0,0.7464280713461443,2,4.0,0.5787239848238185,1,2.0,0.45972520765919533,4,5.0,0.3852908659718318,1,0.0,0.5018320220323089,1,3.0,0.543971069074434,1,2.0,0.5348679809709226,2,4.0,0.4635318773925188,0,0.0,0.7397655632049722,1,0.0,0.6449675517224376,1,2.0,0.4229606786693281,1,2.0,0.45305841367763094,1,0.0,0.500234776156799,20,27.0,-0.12499999999999997
25.0,34,121.0,0.7658227848101266,6.787844728767958,2,10.0,0.673388591816228,3,5.0,0.33849742097226476,0,0.0,0.8096366611618785,1,1.0,0.595521354806392,3,16.0,0.5244935972969491,3,10.0,0.4268020057155189,4,20.0,0.2903757429994849,3,4.0,0.4645056574687408,0,0.0,0.8180599553958594,4,11.0,0.31695178248754036,5,18.0,0.20938605320868575,0,1.0,0.6530850786603734,2,6.0,0.5467298075647542,2,11.0,0.5412546349028535,2,10.0,0.37866320723476316,0,0.0,0.6040338239088466,34,123.0,-0.21249999999999997
30.0,66,356.0,1.8256410256410256,5.917966864897247,4,25.0,0.4316589534616212,3,18.0,0.41983127309718754,2,1.0,0.5990883801859557,3,9.0,0.4939772545188734,8,47.0,0.29275617640915114,4,26.0,0.4927307372724602,7,50.0,0.30221850211672063,1,9.0,0.5771230620164362,1,0.0,0.41048958010054437,5,33.0,0.49769242090897625,8,50.0,0.309275454686859,3,10.0,0.3579298776608985,5,22.0,0.3576174700742168,2,21.0,0.5882804606070744,7,36.0,0.34042368281045243,3,2.0,0.5238461282231036,66,359.0,-0.4124999999999999
35.0,88,699.0,3.0657894736842106,5.215003663194634,7,58.0,0.25638022195892113,6,35.0,0.4457307414342285,2,10.0,0.4828919042094416,4,25.0,0.393796404270049,12,96.0,0.1376821450138956,5,45.0,0.41577471561219786,9,89.0,0.26681328809435634,3,19.0,0.412409530898589,3,7.0,0.4921545346343861,7,63.0,0.42543101718967286,8,90.0,0.31847818580334974,5,31.0,0.43227331557327336,5,43.0,0.38798784028799266,4,36.0,0.2653771071252898,6,50.0,0.3922811276070205,2,9.0,0.5784068278215659,88,706.0,-0.5499999999999998
40.0,130,1226.0,4.679389312977099,4.4364753712172735,10,103.0,0.16542015448767217,4,55.0,0.4073747541572816,5,30.0,0.4172263471279636,6,51.0,0.24834513478856465,15,158.0,0.14553832923676094,8,76.0,0.360357608701261,10,138.0,0.3175812504198146,8,41.0,0.3246040476043027,2,13.0,0.5778554262585779,14,113.0,0.26797799247356796,12,139.0,0.22664918168544432,10,64.0,0.25927987029490085,7,76.0,0.42936613932698237,7,62.0,0.21043903039785974,9,91.0,0.2961322436393251,3,19.0,0.5247976042296504,130,1229.0,-0.8124999999999998
45.0,151,1634.0,5.773851590106007,3.6387257740286167,11,135.0,0.13125781520617605,8,60.0,0.28296896420336237,6,50.0,0.3673106238408447,8,64.0,0.2221121477443084,13,202.0,0.18520915354616074,11,97.0,0.26119353973741316,12,175.0,0.19894230183288036,6,70.0,0.4172438637396478,2,16.0,0.5020080595436508,16,146.0,0.20450151349620063,13,181.0,0.16193489230434688,12,101.0,0.23881341641882378,8,91.0,0.29672340950400106,7,97.0,0.2838499871477525,13,121.0,0.12161429172012547,5,38.0,0.42879815942320393,151,1644.0,-0.9437499999999998
50.0,152,2095.0,6.7799352750809065,3.9103509108422156,8,163.0,0.2578747644981736,8,103.0,0.28750423203128583,10,82.0,0.27365713559485055,5,90.0,0.3946369021450437,15,250.0,0.1614251587939888,11,151.0,0.2956503318341175,12,233.0,0.16324502980203012,7,106.0,0.33814211756985263,8,46.0,0.2739155359590532,11,179.0,0.22550929652486917,14,243.0,0.2170583986840426,10,137.0,0.24475433666030594,8,113.0,0.27751703741562395,7,136.0,0.3831959634874852,11,163.0,0.14809993369296673,7,78.0,0.44725779561270723,152,2273.0,-0.9499999999999997
55.0,175,2856.0,8.4,4.279401369608719,9,205.0,0.28255623463121754,9,148.0,0.3642259854528335,13,139.0,0.28787955097293083,5,102.0,0.42937489680824426,16,330.0,0.2614264703017075,13,211.0,0.31041779337047,12,288.0,0.30040005471176867,10,151.0,0.3631044205952039,11,89.0,0.14048143312398398,15,194.0,0.21344360584051045,15,313.0,0.35930427421732936,10,158.0,0.24750085057926596,8,152.0,0.32277383561103523,7,167.0,0.3845058427776838,11,197.0,0.15080644786726888,11,120.0,0.4213322502409957,175,2964.0,-1.0937499999999998
