step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,3,0.0,0.0,3.271435749414377,0,0.0,0.24624160082698018,0,0.0,1.0,0,0.0,1.0,2,0.0,0.0,0,0.0,0.1441738646951232,0,0.0,0.18068819113841694,0,0.0,0.3081799244074214,0,0.0,0.405315594844218,0,0.0,0.4224518178566252,0,0.0,0.4037002117516961,1,0.0,0.2597212258037376,0,0.0,1.0,0,0.0,0.20113264435441194,0,0.0,0.31716115075935375,0,0.0,0.30965399863320614,0,0.0,0.11410853201048676,3,0.0,-0.018749999999999996
10.0,11,0.0,0.0,6.549152111028466,0,0.0,0.3529310667944408,1,0.0,0.2851477136693683,1,0.0,0.0,2,0.0,0.3648688289939771,2,0.0,0.4896988297967574,0,0.0,0.5465728505769383,0,0.0,0.613068132761487,0,0.0,0.691312837618238,0,0.0,0.5191387925888854,1,0.0,0.4360869470815389,1,0.0,0.4675434537220764,0,0.0,1.0,1,0.0,0.3880360169262454,0,0.0,0.6526473081083826,2,0.0,0.30254279695994646,0,0.0,0.7814523544763936,11,0.0,-0.06874999999999998
15.0,7,0.0,0.0,8.93085654038854,1,0.0,0.3952768991210201,0,0.0,0.7926326141263782,1,0.0,0.3610961091621927,0,0.0,0.7312047768416875,0,0.0,0.7426401905939013,0,0.0,0.7531330541778292,1,0.0,0.7153557130604808,0,0.0,0.6738989153360672,0,0.0,0.5978471915219787,0,0.0,0.5475412588720733,0,0.0,0.7244971798589368,2,0.0,0.24159883097250537,0,0.0,0.775073953192721,1,0.0,0.6645912060661615,1,0.0,0.6701935979347334,0,0.0,0.6586547778326937,7,0.0,-0.04374999999999999
20.0,12,12.0,0.09448818897637795,8.504472451040577,0,0.0,0.6501818771242994,0,0.0,0.561185179652041,2,0.0,0.5396652539932442,1,0.0,0.7491008282312044,1,1.0,0.654857316121149,0,0.0,0.5460435167565414,1,2.0,0.5414514608724329,1,0.0,0.6128938624532914,1,3.0,0.5324596748932211,1,4.0,0.6633076693514625,1,0.0,0.668566630363347,0,0.0,0.7326648500352316,1,0.0,0.6975726690405024,0,0.0,0.5820842834253885,1,2.0,0.4768414701166876,1,0.0,0.5274837597508284,12,12.0,-0.07499999999999998
25.0,34,96.0,0.6274509803921569,7.8801249035669585,0,0.0,0.8456151544368423,3,4.0,0.44544560402889954,0,0.0,0.7463430487141126,0,0.0,0.6641544877822246,4,14.0,0.5602343106885734,3,5.0,0.5254912699350798,5,17.0,0.3450414841396818,2,0.0,0.5536944659886001,2,11.0,0.7188636191920676,4,14.0,0.4673417571443603,3,7.0,0.41015693328827,0,0.0,0.6747804314380909,3,7.0,0.5621327586139279,1,4.0,0.6147781291077814,4,13.0,0.4963618407045655,0,0.0,0.6572606056142237,34,96.0,-0.21249999999999997
30.0,50,259.0,1.3489583333333333,6.396643619231413,1,1.0,0.600969952026141,2,14.0,0.5610084525106058,2,5.0,0.5711171056287634,1,5.0,0.5407366461602966,8,45.0,0.34573730451974116,3,9.0,0.3905685696247438,5,39.0,0.43240650559912336,0,0.0,0.6934931690436089,4,22.0,0.3777788147192261,5,31.0,0.4535767248947266,4,21.0,0.40889352442919275,4,9.0,0.3090230243750283,4,22.0,0.4094888317802823,1,11.0,0.5593512067364841,4,20.0,0.41051920815059784,2,0.0,0.6405157993456262,50,254.0,-0.31249999999999994
35.0,78,543.0,2.424107142857143,5.7409131558167195,3,12.0,0.37960974867687,3,24.0,0.5970269945623932,5,22.0,0.31778058950197435,3,17.0,0.47977175410566286,14,103.0,0.18766352015850743,5,25.0,0.5358055417755465,6,64.0,0.3050566507514978,2,3.0,0.5088662492020868,7,49.0,0.36766351271828074,7,60.0,0.43849972075231697,6,45.0,0.3683710821251513,5,32.0,0.37710075823728023,4,42.0,0.46736912526401964,4,25.0,0.4261043244149963,3,32.0,0.42410185970575454,1,1.0,0.6226868936814901,78,556.0,-0.4874999999999999
40.0,114,996.0,3.86046511627907,5.102843440569836,6,39.0,0.18521804702183006,3,35.0,0.4915715544058621,6,50.0,0.3945024944554304,4,35.0,0.25308574274492207,18,182.0,0.1822866026683692,8,50.0,0.5003050883729842,8,98.0,0.22014681783785767,6,19.0,0.3309980396947652,8,85.0,0.4366168033700414,8,98.0,0.4278087070319744,10,85.0,0.3175957535344351,8,63.0,0.3863779487586363,6,70.0,0.452279202777189,6,51.0,0.3366187633748304,5,50.0,0.3805988343489154,4,11.0,0.5844570870750748,114,1021.0,-0.7124999999999998
45.0,145,1621.0,5.7686832740213525,4.00578666423083,9,76.0,0.2354929164168393,6,55.0,0.34004536128664076,6,83.0,0.44031916251947434,7,64.0,0.16443063180075487,19,269.0,0.14020191049685676,11,95.0,0.31959525467998223,10,144.0,0.15529563868427845,6,49.0,0.3673591147121741,11,128.0,0.3950325182726409,12,149.0,0.22191157977846615,13,142.0,0.2380208533864603,11,106.0,0.23182409675266138,8,105.0,0.291532547122181,7,85.0,0.32988836863247656,6,72.0,0.2984558900840911,3,26.0,0.5300014116644282,145,1648.0,-0.9062499999999998
