step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;0;0;0;0;1;-1.00;-1.00;-1.00;-1.00;0;0;0;0.00;0
0;0;36;0;8;8;667;0.00;0.00;-1.00;1.00;8;0;0;1.00;0
0;0;0;0;3;11;667;1.34;0.10;-1.00;1.00;11;0;0;2.00;2
0;0;0;0;4;15;667;2.34;0.17;-1.00;1.00;15;0;0;3.00;2
0;0;0;0;6;21;667;3.07;0.22;-1.00;1.14;21;0;0;4.00;0
0;0;0;0;3;24;667;4.49;0.32;-1.00;1.12;24;0;0;5.00;1
0;0;0;0;7;31;667;4.93;0.36;-1.00;1.13;31;0;0;6.00;0
0;0;1;0;6;37;667;5.78;0.42;-1.00;1.11;37;0;0;7.00;1
0;0;0;0;5;42;667;6.71;0.48;-1.00;1.10;42;0;0;8.00;4
0;0;0;0;9;51;667;6.76;0.49;-1.00;1.08;51;0;0;9.00;6
0;0;0;0;7;58;667;7.23;0.52;-1.00;1.16;58;0;0;10.00;5
0;0;1;0;7;65;667;7.62;0.55;-1.00;1.22;65;0;0;11.00;7
0;0;0;0;5;70;667;8.18;0.59;-1.00;1.26;70;0;0;12.00;8
0;0;0;0;4;74;667;8.70;0.63;-1.00;1.27;74;0;0;13.00;7
0;0;1;0;7;81;667;8.53;0.61;-1.00;1.25;81;0;0;14.00;7
0;0;0;0;6;87;667;8.31;0.60;-1.00;1.28;87;0;0;15.00;9
0;0;0;0;13;99;667;7.58;0.55;-1.00;1.36;99;0;0;16.00;7
0;0;1;0;12;104;667;7.68;0.55;-1.00;1.36;104;0;0;17.00;8
0;0;0;0;18;110;667;7.68;0.55;-1.00;1.40;110;0;0;18.00;7
0;0;1;0;23;118;667;7.53;0.54;-1.00;1.47;118;0;0;19.00;4
0;0;0;0;28;127;667;7.24;0.52;-1.00;1.44;127;0;0;20.00;8
0;0;1;0;22;134;667;7.18;0.52;-1.00;1.46;134;0;0;21.00;11
1;0;0;1;28;142;667;7.08;0.51;12.00;1.55;141;0;0;22.00;6
1;0;1;1;29;147;667;7.21;0.52;12.00;1.56;146;0;0;23.00;6
1;0;0;1;31;151;667;7.36;0.53;12.00;1.54;150;0;0;24.00;7
2;0;1;2;38;158;667;7.33;0.53;13.00;1.63;156;0;0;25.00;6
2;0;1;2;34;160;667;7.57;0.55;13.00;1.64;158;0;0;26.00;6
2;0;0;2;42;166;667;7.47;0.54;13.00;1.66;164;0;0;27.00;4
2;0;1;2;46;171;667;7.20;0.52;13.00;1.68;169;0;0;28.00;5
2;0;0;2;52;179;667;6.68;0.48;13.00;1.70;177;0;0;29.00;7
2;0;1;2;56;187;667;6.36;0.46;13.00;1.71;185;0;0;30.00;5
2;0;1;2;64;194;667;6.02;0.43;13.00;1.72;192;0;0;31.00;6
2;0;1;2;70;203;667;5.69;0.41;13.00;1.72;201;0;0;32.00;6
2;0;0;2;78;212;667;5.48;0.39;13.00;1.71;210;0;0;33.00;5
2;0;1;2;80;216;667;5.39;0.39;13.00;1.69;214;0;0;34.00;12
2;0;1;2;99;229;667;5.09;0.37;13.00;1.70;227;0;0;35.00;10
2;0;1;2;100;241;667;4.90;0.35;13.00;1.71;239;0;0;36.00;7
3;0;1;3;107;251;667;4.79;0.34;13.33;1.70;248;0;0;37.00;7
3;0;0;3;114;259;667;4.79;0.34;13.33;1.70;256;0;0;38.00;5
3;0;1;3;115;267;667;4.75;0.34;13.33;1.70;264;0;0;39.00;7
3;0;1;3;120;273;667;4.72;0.34;13.33;1.73;270;0;0;40.00;4
3;0;1;3;129;281;667;4.68;0.34;13.33;1.73;278;0;0;41.00;3
3;0;0;3;136;288;667;4.62;0.33;13.33;1.73;285;0;0;42.00;2
3;0;1;3;144;297;667;4.50;0.32;13.33;1.71;294;0;0;43.00;3
