step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
5.0,1,0.0,0.0,4.054149581895521,1,0.0,0.30175764586841763,-0.3,1,1,0.0
10.0,0,0.0,0.0,7.571982651526529,0,0.0,0.5573095609929687,0.0,0,0,0.0
15.0,2,0.0,0.0,8.664056462131203,2,0.0,0.6258006280974402,-0.6,2,2,0.0
20.0,1,0.0,0.0,10.172905506510883,1,0.0,0.7406605021882712,-0.3,1,1,0.0
25.0,2,1.0,0.03571428571428571,10.366947146140616,2,1.0,0.7446558195285817,-0.6,2,2,1.0
30.0,4,9.0,0.2571428571428571,8.550363148202337,4,9.0,0.6012605555594057,-1.2,4,4,9.0
35.0,8,39.0,0.975,7.824361189089556,8,39.0,0.5396926186801941,-2.4,8,8,39.0
40.0,15,97.0,2.108695652173913,6.327180252785718,15,97.0,0.4160230839277465,-4.5,15,15,97.0
45.0,21,185.0,3.627450980392157,5.846277788892941,21,185.0,0.39952730070448733,-6.3,21,21,185.0
50.0,25,288.0,5.236363636363636,4.999577444706032,25,288.0,0.3509852004050281,-7.5,25,25,288.0
55.0,28,421.0,6.901639344262295,4.960733271477042,28,421.0,0.3307838129287694,-8.4,28,28,421.0
60.0,36,582.0,8.558823529411764,4.827700118582188,36,582.0,0.2993763722663217,-10.8,36,36,582.0
65.0,40,765.0,10.479452054794521,4.757324936099475,40,765.0,0.2802578071363957,-12.0,40,40,765.0
70.0,44,976.0,12.2,4.6244080409540045,44,976.0,0.26616156533778673,-13.2,44,44,976.0
75.0,52,1209.0,14.223529411764705,3.723448028536133,52,1209.0,0.22013018974048434,-15.6,52,52,1209.0
80.0,54,1472.0,16.919540229885058,3.6061667092130016,54,1472.0,0.21663843260233484,-16.2,54,54,1472.0
85.0,59,1763.0,19.16304347826087,3.3236304647237565,59,1763.0,0.20591150755300153,-17.7,59,59,1763.0
90.0,68,2080.0,21.01010101010101,2.8108319653556757,68,2080.0,0.16112336217370657,-20.4,68,68,2080.0
95.0,72,2429.0,23.35576923076923,2.979472212049048,72,2429.0,0.15609452381474712,-21.6,72,72,2429.0
100.0,77,2805.0,25.73394495412844,2.926942938533235,77,2805.0,0.15166397781342664,-23.1,77,77,2805.0
105.0,85,3205.0,28.114035087719298,2.7464905847789995,85,3205.0,0.14087728004660044,-25.5,85,85,3205.0
110.0,87,3632.0,31.859649122807017,2.261592643057639,87,3632.0,0.11355674848687912,-26.1,87,87,3632.0
115.0,95,4085.0,35.52173913043478,1.7151571951369655,95,4085.0,0.08468007245434007,-28.5,95,95,4085.0
120.0,100,4568.0,39.042735042735046,1.3335038678322033,100,4568.0,0.04874202432549255,-30.0,100,100,4568.0
125.0,104,5078.0,42.67226890756302,1.136412650178331,104,5078.0,0.03664199767807518,-31.2,104,104,5078.0
130.0,108,5610.0,46.75,0.9262776405112294,108,5610.0,0.03990184611778482,-32.4,108,108,5610.0
135.0,113,6160.0,50.08130081300813,0.73742687166962,113,6160.0,0.03585904207518056,-33.9,113,113,6160.0
140.0,116,6727.0,54.25,0.48556381128660714,116,6727.0,0.03308938625710608,-34.8,116,116,6727.0
145.0,118,7312.0,58.03174603174603,0.33321240249423906,118,7312.0,0.024250052022233487,-35.4,118,118,7312.0
150.0,123,7920.0,62.857142857142854,0.11680344760027084,123,7920.0,0.00914521874668009,-36.9,123,123,7920.0
