step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0
5.0,1,0.0,0.0,3.0802234935884676,1,0.0,0.22437914263641148,-0.3,1,1,0.0
10.0,0,0.0,0.0,6.803895357478947,0,0.0,0.48641878869053357,0.0,0,0,0.0
15.0,2,0.0,0.0,8.981372538240642,2,0.0,0.648584960157943,-0.6,2,2,0.0
20.0,2,0.0,0.0,10.417986153383492,2,0.0,0.7653861087627074,-0.6,2,2,0.0
25.0,2,1.0,0.03571428571428571,10.2578767940872,2,1.0,0.7605619054186653,-0.6,2,2,1.0
30.0,4,8.0,0.22857142857142856,8.658949287026475,4,8.0,0.6277559652240882,-1.2,4,4,8.0
35.0,9,37.0,0.9024390243902439,7.684995727642066,9,37.0,0.5286254481308645,-2.7,9,9,37.0
40.0,14,92.0,2.0,7.36009729597526,14,92.0,0.4937006925408446,-4.2,14,14,92.0
45.0,19,170.0,3.269230769230769,6.479746903113364,19,170.0,0.40384190247778473,-5.7,19,19,170.0
50.0,24,274.0,4.892857142857143,5.43759284973546,24,274.0,0.3481538534930007,-7.2,24,24,274.0
55.0,26,400.0,6.557377049180328,5.8211378215579845,26,400.0,0.3638386009459521,-7.8,26,26,400.0
60.0,32,543.0,8.104477611940299,5.41826117666205,32,543.0,0.3280523312440022,-9.6,32,32,543.0
65.0,37,706.0,9.805555555555555,4.992511792749036,37,706.0,0.3001113767902435,-11.1,37,37,706.0
70.0,40,898.0,11.81578947368421,4.8772877175429725,40,898.0,0.2874495104409672,-12.0,40,40,898.0
75.0,47,1116.0,13.777777777777779,4.089297030498577,47,1116.0,0.2416374266166131,-14.1,47,47,1116.0
80.0,55,1364.0,15.86046511627907,3.7006813727571903,55,1364.0,0.20835808213690704,-16.5,55,55,1364.0
85.0,59,1642.0,18.244444444444444,3.5918871057074773,59,1642.0,0.20823632842177014,-17.7,59,59,1642.0
90.0,64,1950.0,20.103092783505154,3.292718572688788,64,1950.0,0.17829332379323948,-19.2,64,64,1950.0
95.0,71,2285.0,22.401960784313726,2.9612746370819623,71,2285.0,0.16423985057064436,-21.3,71,71,2285.0
100.0,73,2645.0,25.19047619047619,2.927376317269425,73,2645.0,0.1559751563085498,-21.9,73,73,2645.0
105.0,80,3026.0,27.509090909090908,2.768642615031868,80,3026.0,0.1492882737814058,-24.0,80,80,3026.0
110.0,88,3441.0,30.723214285714285,2.384513112279163,88,3441.0,0.12308693799449223,-26.4,88,88,3441.0
115.0,90,3880.0,34.642857142857146,1.888418605166885,90,3880.0,0.08223024185020132,-27.0,90,90,3880.0
120.0,94,4342.0,38.424778761061944,1.6338895659197608,94,4342.0,0.08585565907325604,-28.2,94,94,4342.0
125.0,99,4821.0,41.205128205128204,1.6383710505321374,99,4821.0,0.07323240614001722,-29.7,99,99,4821.0
130.0,99,5309.0,44.99152542372882,1.6721300035748417,99,5309.0,0.07390708956791393,-29.7,99,99,5309.0
135.0,101,5807.0,49.21186440677966,1.5688844155556325,101,5807.0,0.08257503800565758,-30.3,101,101,5807.0
140.0,103,6313.0,51.74590163934426,1.5645104481379724,103,6313.0,0.06921015459603745,-30.9,103,103,6313.0
145.0,104,6829.0,55.97540983606557,1.5998035057875672,104,6829.0,0.059369087760180746,-31.2,104,104,6829.0
150.0,106,7359.0,61.325,1.353878430399341,106,7359.0,0.047192406197154674,-31.8,106,106,7359.0
155.0,107,7894.0,66.33613445378151,1.2678034031009378,107,7894.0,0.03407477245040745,-32.1,107,107,7894.0
160.0,107,8429.0,71.4322033898305,1.210643242765884,107,8429.0,0.025940768086762357,-32.1,107,107,8429.0
165.0,107,8964.0,77.94782608695652,0.89389039269827,107,8964.0,0.006377724601782027,-32.1,107,107,8964.0
170.0,107,9499.0,84.06194690265487,0.6768436788114013,107,9499.0,0.0,-32.1,107,107,9499.0
175.0,107,10034.0,90.3963963963964,0.4790479046662597,107,10034.0,0.0,-32.1,107,107,10034.0
180.0,101,9708.0,88.25454545454545,0.527084153446618,101,10263.0,0.005792751560348821,-30.3,101,101,10263.0
185.0,91,9010.0,83.42592592592592,1.042324943220495,91,10183.0,0.025789383526867563,-27.3,91,91,10183.0
190.0,85,8679.0,81.11214953271028,1.1970468614335565,85,10493.0,0.026898471120865318,-25.5,85,85,10493.0
195.0,84,8531.0,79.72897196261682,1.2299626958955052,84,10910.0,0.029303564047672762,-25.2,84,84,10910.0
200.0,84,7988.0,75.35849056603773,1.0312837573797846,84,10930.0,0.01860955455146596,-25.2,84,84,10930.0
205.0,80,7131.0,69.91176470588235,1.2377717705410873,80,10698.0,0.02930338129465181,-24.0,80,80,10698.0
