step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,2,0.0,0.0,3.049821408824278,1,0.0,0.08686844382718285,1,0.0,0.09702681047004644,0,0.0,0.2996290105273358,0,0.0,0.4218462722693029,-0.15,2,2,0.0
10.0,3,0.0,0.0,7.1709091286073035,1,0.0,0.4448240410345818,0,0.0,0.6691219770944918,1,0.0,0.46888310292500124,1,0.0,0.5680554742248707,-0.225,3,3,0.0
15.0,3,0.0,0.0,8.646806468287256,0,0.0,0.728803787118407,1,0.0,0.5630375037720114,0,0.0,0.7753889528975064,2,0.0,0.4869437561946926,-0.225,3,3,0.0
20.0,8,7.0,0.14285714285714285,8.505114462901565,1,0.0,0.6678057838709363,2,1.0,0.6645575138641223,1,1.0,0.6990806118743745,4,5.0,0.48934865877364103,-0.6,8,8,7.0
25.0,7,29.0,0.5272727272727272,8.921751134343616,1,3.0,0.6418118755940592,0,0.0,0.7727931781810693,3,7.0,0.5968823681560379,3,21.0,0.5841451223927012,-0.525,7,7,31.0
30.0,14,67.0,1.0806451612903225,7.024144488664789,4,18.0,0.5441733841756949,3,7.0,0.46033190650298966,2,9.0,0.4185528863800831,5,41.0,0.5180789540122817,-1.05,14,14,75.0
35.0,22,140.0,1.917808219178082,5.988902342010399,3,29.0,0.539763946395813,5,21.0,0.4065789487254815,5,22.0,0.3475945643922026,9,73.0,0.329242735422078,-1.65,22,22,145.0
40.0,34,272.0,3.2771084337349397,5.714430438925629,10,58.0,0.4348079500042357,7,46.0,0.4259761124381992,6,52.0,0.3682674535898448,11,124.0,0.3384902668631801,-2.55,34,34,280.0
45.0,39,402.0,4.466666666666667,5.171258318601342,8,70.0,0.3119472603381304,7,78.0,0.4852141250793982,9,88.0,0.33108285488042266,15,175.0,0.3235053469760807,-2.925,39,39,411.0
50.0,47,595.0,5.891089108910891,5.197113464122336,11,117.0,0.39071797690380117,9,118.0,0.415730146208581,10,121.0,0.36840774731137343,17,250.0,0.3037829112514114,-3.525,47,47,606.0
55.0,45,771.0,7.073394495412844,5.24256714926448,11,156.0,0.3730539348548866,8,158.0,0.385187805680187,8,141.0,0.43757867469462963,18,334.0,0.3154268393942884,-3.375,45,45,789.0
60.0,60,1004.0,8.366666666666667,4.662247296992529,12,198.0,0.40751546166397773,11,204.0,0.4122503254983728,12,182.0,0.33036431326683086,25,435.0,0.21228419347182184,-4.5,60,60,1019.0
65.0,58,1065.0,8.52,4.5582964599510785,11,205.0,0.3154350971429215,10,253.0,0.45178251173020206,13,239.0,0.30115987810695494,24,504.0,0.2563946365857953,-4.35,58,58,1201.0
70.0,66,1221.0,9.111940298507463,4.095835838601715,14,203.0,0.08992648559695528,14,317.0,0.36202003563043234,14,306.0,0.33383586466696924,24,562.0,0.26088880892697286,-4.95,66,66,1388.0
