step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,2,0.0,0.0,2.179886481162975,1,0.0,0.0446210848792966,1,0.0,0.043848224657952586,0,0.0,0.1786376040904604,0,0.0,0.33902492443205645,2,0.0,-0.3
10.0,1,0.0,0.0,7.164665574631665,0,0.0,0.47246566441046695,0,0.0,0.5816117949075155,0,0.0,0.4872931958374311,1,0.0,0.5553951251444594,1,0.0,-0.15
15.0,1,0.0,0.0,9.040322174476273,0,0.0,0.6882478566499313,0,0.0,0.6496528157959687,0,0.0,0.8024038903774662,1,0.0,0.5313151542879129,1,0.0,-0.15
20.0,5,5.0,0.10638297872340426,9.090639097828628,1,0.0,0.7591052928062587,1,0.0,0.6649000185997518,0,0.0,0.8339065710611092,3,5.0,0.4786945956735717,5,5.0,-0.75
25.0,5,24.0,0.4528301886792453,9.430501787975519,0,0.0,0.7179067752150722,1,5.0,0.677561886483587,1,0.0,0.7944237473068682,3,19.0,0.6120972070518312,5,24.0,-0.75
30.0,14,70.0,1.1290322580645162,6.750448407166496,2,4.0,0.5920976510778659,4,21.0,0.37344603511809177,2,4.0,0.41988100411976137,6,41.0,0.5104413262694952,14,70.0,-2.0999999999999996
35.0,29,176.0,2.4444444444444446,5.686670008455707,5,21.0,0.5173580588170389,9,55.0,0.32436826291295573,5,24.0,0.3979642617486016,10,76.0,0.34954194975569125,29,176.0,-4.35
40.0,35,315.0,3.7951807228915664,5.05750536760503,11,57.0,0.3957272433743575,9,93.0,0.2609783773506211,7,54.0,0.3983567032760073,8,111.0,0.3458877319515582,35,315.0,-5.25
45.0,44,504.0,5.6,5.202180681566934,13,112.0,0.31176425122341966,11,147.0,0.3606956867675475,8,89.0,0.4014705598929855,12,158.0,0.3518759880300436,44,506.0,-6.6
50.0,53,725.0,7.038834951456311,4.83672314658398,15,183.0,0.3084174805954683,13,203.0,0.2752515841431915,12,130.0,0.39163292401577404,13,211.0,0.36176235781910626,53,727.0,-7.949999999999999
55.0,56,986.0,8.725663716814159,4.715474569676644,18,269.0,0.3593440841257015,14,268.0,0.2975947550949166,11,178.0,0.35051469889802833,13,273.0,0.2859357484604423,56,988.0,-8.4
60.0,68,1275.0,10.450819672131148,3.790506166327185,19,361.0,0.2792213706809582,19,348.0,0.24682190093537051,14,216.0,0.2833391120997955,16,334.0,0.2483829781943891,68,1259.0,-10.2
65.0,78,1631.0,12.84251968503937,3.50701137964008,24,471.0,0.15178766019065587,20,443.0,0.2773500994859896,16,289.0,0.30001352016026567,18,412.0,0.2701080736305487,78,1615.0,-11.7
70.0,88,2049.0,14.956204379562044,3.094955901712461,28,603.0,0.09840044169651817,23,551.0,0.21589210608559584,18,376.0,0.3059053268618263,19,503.0,0.22461995189432404,88,2033.0,-13.2
75.0,102,2521.0,17.386206896551723,2.455004741810865,29,746.0,0.10222840041157126,28,674.0,0.10199764879450994,21,473.0,0.2401381805786096,24,612.0,0.2327007697252729,102,2505.0,-15.299999999999999
80.0,112,2839.0,18.0828025477707,2.364879064042493,32,899.0,0.14631822617191048,32,819.0,0.04527022828949352,27,593.0,0.19423442045124728,21,632.0,0.2853848116542172,112,2943.0,-16.8
85.0,120,3174.0,18.67058823529412,2.293078939969138,33,1060.0,0.10171189214939369,36,983.0,0.09185097662242395,31,738.0,0.22509818436981577,20,606.0,0.18987326467156676,120,3387.0,-18.0
90.0,125,3691.0,20.620111731843576,2.5684667000627877,35,1227.0,0.08851679651174241,35,1153.0,0.11943501322420648,36,896.0,0.19337709348744542,19,646.0,0.26913545408559586,125,3922.0,-18.75
95.0,130,4277.0,22.510526315789473,2.5422638363013617,36,1399.0,0.11102797389014096,38,1338.0,0.12772583980990443,38,1071.0,0.16844774009474292,18,729.0,0.23915614263443075,130,4537.0,-19.5
100.0,143,4959.0,24.795,2.5158120216947,38,1583.0,0.15023829177351716,39,1535.0,0.13388247985556304,43,1269.0,0.16098833015072714,23,834.0,0.21653740414366368,143,5221.0,-21.45
105.0,149,5620.0,27.960199004975124,1.9832569806226894,39,1776.0,0.09532625465550815,43,1742.0,0.10237962669562294,44,1481.0,0.14404349035197125,23,921.0,0.17317456215197166,149,5920.0,-22.349999999999998
110.0,163,6384.0,31.92,1.5237838866967632,43,1987.0,0.08342932857581825,44,1959.0,0.1023600142638545,48,1716.0,0.11951192803937956,28,1014.0,0.10160035988726707,163,6676.0,-24.45
115.0,177,7239.0,36.195,1.14420483275956,46,2213.0,0.06397433961864349,45,2181.0,0.09359875868432993,52,1968.0,0.05195753095816221,34,1169.0,0.036109221895609986,177,7531.0,-26.549999999999997
120.0,185,8154.0,41.18181818181818,0.5985222864784159,48,2450.0,0.04429324111788415,46,2409.0,0.001307163496790235,53,2229.0,0.010815956160416407,38,1354.0,0.0002490449845438585,185,8442.0,-27.75
125.0,184,9054.0,45.72727272727273,0.5948694904773202,48,2690.0,0.03638770846462153,48,2649.0,0.008827200230570638,53,2494.0,0.012638429093528391,35,1515.0,0.030338695551538675,184,9348.0,-27.599999999999998
130.0,185,9968.0,50.857142857142854,0.5669369547988383,49,2935.0,0.03620973767683575,48,2889.0,0.03532066657739082,54,2762.0,0.010735786300779784,34,1656.0,0.024505520151612916,185,10242.0,-27.75
135.0,190,10903.0,56.20103092783505,0.18455147151646986,50,3181.0,1.718035871588376e-05,49,3131.0,0.02243154518272501,55,3035.0,0.012884987411760146,36,1830.0,0.00015676857116098326,190,11177.0,-28.5
140.0,193,11861.0,61.4559585492228,0.0004329205096427256,50,3431.0,1.8518040724430136e-07,51,3381.0,0.00013134422478834813,56,3313.0,1.4549152191685075e-06,36,2010.0,0.0,193,12135.0,-28.95
145.0,192,12815.0,66.39896373056995,0.030962969785378068,50,3681.0,0.0,51,3638.0,0.007788230626600123,56,3593.0,1.9949201814458755e-07,35,2170.0,0.0,192,13082.0,-28.8
150.0,192,13775.0,71.37305699481865,0.03879268281431648,50,3931.0,0.0,51,3893.0,0.009757470349242335,56,3873.0,3.5911863753521045e-07,35,2345.0,0.0,192,14042.0,-28.8
155.0,193,14738.0,76.36269430051813,5.574187249967672e-05,50,4181.0,0.0,52,4151.0,1.3876618458031878e-05,56,4153.0,1.6606197225517537e-07,35,2520.0,0.0,193,15005.0,-28.95
160.0,193,15703.0,81.36269430051813,0.0,50,4431.0,0.0,52,4411.0,0.0,56,4433.0,0.0,35,2695.0,0.0,193,15970.0,-28.95
165.0,193,16668.0,86.36269430051813,0.0,50,4681.0,0.0,52,4671.0,0.0,56,4713.0,0.0,35,2870.0,0.0,193,16935.0,-28.95
170.0,193,17633.0,91.36269430051813,0.0,50,4931.0,0.0,52,4931.0,0.0,56,4993.0,0.0,35,3045.0,0.0,193,17900.0,-28.95
175.0,193,18598.0,96.36269430051813,0.0,50,5181.0,0.0,52,5191.0,0.0,56,5273.0,0.0,35,3220.0,0.0,193,18865.0,-28.95
180.0,193,19563.0,101.36269430051813,0.0,50,5431.0,0.0,52,5451.0,0.0,56,5553.0,0.0,35,3395.0,0.0,193,19830.0,-28.95
185.0,193,20528.0,106.36269430051813,0.0,50,5681.0,0.0,52,5711.0,0.0,56,5833.0,0.0,35,3570.0,0.0,193,20795.0,-28.95
190.0,193,21493.0,111.36269430051813,0.0,50,5931.0,0.0,52,5971.0,0.0,56,6113.0,0.0,35,3745.0,0.0,193,21760.0,-28.95
195.0,193,22458.0,116.36269430051813,0.0,50,6181.0,0.0,52,6231.0,0.0,56,6393.0,0.0,35,3920.0,0.0,193,22725.0,-28.95
200.0,193,23423.0,121.36269430051813,0.0,50,6431.0,0.0,52,6491.0,0.0,56,6673.0,0.0,35,4095.0,0.0,193,23690.0,-28.95
205.0,193,24388.0,126.36269430051813,0.0,50,6681.0,0.0,52,6751.0,0.0,56,6953.0,0.0,35,4270.0,0.0,193,24655.0,-28.95
