step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,3,0.0,0.0,3.2923513691435797,1,0.0,0.23488203180997402,1,0.0,0.24367832356615735,0,0.0,1.0,1,0.0,0.2873578812855657,-0.225,3,3,0.0
10.0,1,0.0,0.0,7.4298658546959935,0,0.0,0.5743040578728152,0,0.0,0.6626256261883514,1,0.0,0.31604815510541107,0,0.0,0.6073096258781059,-0.075,1,1,0.0
15.0,3,0.0,0.0,8.213960155284894,1,0.0,0.6256208490526443,1,0.0,0.5489773125964648,0,0.0,0.5756497844034578,1,0.0,0.6755121499469053,-0.225,3,3,0.0
20.0,4,8.0,0.17777777777777778,9.063904514686374,0,0.0,0.8312118552440617,1,5.0,0.623830458400469,0,0.0,0.7253514364523636,3,3.0,0.46129051945809674,-0.3,4,4,8.0
25.0,9,31.0,0.5636363636363636,7.879253672181337,2,2.0,0.587272678753303,2,14.0,0.5740625110837196,2,1.0,0.703513551774782,3,14.0,0.5042540263952386,-0.675,9,9,31.0
30.0,16,91.0,1.421875,7.7326707481442165,5,19.0,0.5254339918486196,4,32.0,0.5441356153093644,3,8.0,0.665308605971872,4,32.0,0.5860508567824447,-1.2,16,16,91.0
35.0,24,175.0,2.2435897435897436,6.440750522177972,9,51.0,0.4661775901693715,5,56.0,0.5251016589414055,5,25.0,0.501526166045782,5,43.0,0.3301925187874405,-1.8,24,24,175.0
40.0,38,309.0,3.358695652173913,5.759847886545069,14,100.0,0.38682357569620585,9,91.0,0.47625243701597747,7,53.0,0.4633357787329455,8,69.0,0.37118538836962306,-2.85,38,38,313.0
45.0,46,498.0,4.882352941176471,5.222058728957468,19,173.0,0.3404091050622531,11,142.0,0.32608091242822496,7,89.0,0.4334735915365903,9,100.0,0.39631439732852397,-3.45,46,46,504.0
50.0,59,738.0,6.648648648648648,4.660417164929248,24,274.0,0.22196229379398547,15,203.0,0.2746000121943958,11,128.0,0.3523644303534042,9,139.0,0.5200491366133655,-4.425,59,59,744.0
55.0,57,962.0,8.222222222222221,4.307594003381446,26,399.0,0.200306639776619,15,271.0,0.22316733677350326,8,143.0,0.31957816798496963,8,179.0,0.4791483906629407,-4.275,57,57,992.0
60.0,71,1278.0,9.681818181818182,4.004039352683938,30,539.0,0.14358024324945737,16,345.0,0.2031675625233593,11,169.0,0.3635729917302828,14,230.0,0.40018230759401124,-5.325,71,71,1283.0
65.0,80,1650.0,11.538461538461538,4.279240532143688,33,700.0,0.18679679943689448,21,437.0,0.2118170390380834,11,215.0,0.3424911895671104,15,301.0,0.39845958345883925,-6.0,80,80,1653.0
70.0,87,2055.0,13.431372549019608,4.015818416593889,34,863.0,0.22220488012700357,22,538.0,0.1598703881113867,14,274.0,0.36554212152950577,17,383.0,0.3379047505119567,-6.525,87,87,2058.0
75.0,93,2249.0,13.882716049382717,3.5832993642680244,28,933.0,0.21422619670685222,27,655.0,0.11877224981836504,14,335.0,0.3361891657802484,24,482.0,0.27725383923496677,-6.975,93,93,2405.0
80.0,97,2496.0,14.511627906976743,3.5711233356277208,30,933.0,0.20010948124517192,26,758.0,0.2234741273058518,15,392.0,0.30998251081206196,26,601.0,0.2745593775089145,-7.275,97,97,2684.0
85.0,100,2892.0,15.632432432432433,3.3218743407330638,30,1046.0,0.21046133112009988,25,875.0,0.19679364523922396,17,464.0,0.3082867875211204,28,736.0,0.24828626593924746,-7.5,100,100,3121.0
90.0,119,3430.0,17.5,3.046178863929109,33,1197.0,0.1900772835324014,31,1009.0,0.1818258143047875,21,553.0,0.28404811410553477,34,891.0,0.18122581297705023,-8.925,119,119,3650.0
95.0,141,4071.0,19.666666666666668,2.6871381473367664,39,1382.0,0.16329797494904125,37,1184.0,0.16340378781685622,28,660.0,0.2224591923942448,37,1066.0,0.15752926928634292,-10.575,141,141,4292.0
