step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,3,0.0,0.0,2.9469315014546735,1,0.0,0.20619259435201012,1,0.0,0.1835294885462703,0,0.0,1.0,1,0.0,0.24581733853964485,-0.225,3,3,0.0
10.0,1,0.0,0.0,7.230511699239037,0,0.0,0.5484480756631387,0,0.0,0.6148506439546609,1,0.0,0.25309312395268585,0,0.0,0.5766833050910433,-0.075,1,1,0.0
15.0,4,0.0,0.0,8.21777146760597,2,0.0,0.6243714628551146,1,0.0,0.5537627734341417,0,0.0,0.5783320729297446,1,0.0,0.6747940060233161,-0.3,4,4,0.0
20.0,5,8.0,0.17391304347826086,8.964096103980697,0,0.0,0.87570895553366,1,4.0,0.5903818325924989,1,0.0,0.650906534725458,3,4.0,0.5112419985527558,-0.375,5,5,8.0
25.0,9,30.0,0.5357142857142857,8.117286204325916,2,1.0,0.6119504278233254,2,14.0,0.6227925118720731,2,0.0,0.6915394769251111,3,15.0,0.47097224081669214,-0.675,9,9,30.0
30.0,20,91.0,1.4,7.128155627172943,6,16.0,0.4741841680966691,5,29.0,0.5476710750782297,4,6.0,0.65516358537892,5,40.0,0.43054319723035533,-1.5,20,20,91.0
35.0,29,204.0,2.5822784810126582,5.6999973466283,8,52.0,0.49570587683704936,6,55.0,0.455384135877505,6,25.0,0.453984486170674,9,72.0,0.2328850038264893,-2.175,29,29,204.0
40.0,43,370.0,3.978494623655914,4.959436061805964,15,101.0,0.39042662912492154,11,97.0,0.40141967880548035,7,55.0,0.3746771461715834,10,117.0,0.2727899704311225,-3.225,43,43,370.0
45.0,52,474.0,4.601941747572815,4.166092653829483,18,144.0,0.29775491379680524,13,120.0,0.2338947790649235,9,78.0,0.36063430943481983,12,133.0,0.3702507400683541,-3.9,52,52,475.0
50.0,48,498.0,4.446428571428571,4.740309550421096,19,198.0,0.252324253040352,12,165.0,0.261822827436777,8,103.0,0.3563954276303638,9,153.0,0.44143000643118346,-3.6,48,48,619.0
55.0,53,740.0,6.166666666666667,5.141168126014389,20,281.0,0.2731100749760773,12,194.0,0.3882276931092345,9,126.0,0.33524676796133684,12,186.0,0.4197675463626968,-3.975,53,53,787.0
60.0,67,1038.0,7.804511278195489,4.626726995686121,23,381.0,0.2112299230917924,13,245.0,0.37103066917256833,12,179.0,0.3503935116963381,19,255.0,0.339543054775939,-5.025,67,67,1060.0
65.0,86,1410.0,9.929577464788732,3.246704656991018,25,504.0,0.19827352471386753,22,327.0,0.20260888249599407,17,248.0,0.23711244225328973,22,353.0,0.2502697581949577,-6.45,86,86,1432.0
70.0,87,1390.0,9.205298013245033,2.96997280712325,25,572.0,0.21236329582840455,24,406.0,0.13845253168699906,14,274.0,0.270759904572447,24,393.0,0.19689436535685306,-6.525,87,87,1645.0
75.0,87,1640.0,10.123456790123457,4.0609515103820515,24,625.0,0.2749646834376477,27,486.0,0.16512870273040156,13,275.0,0.4146342358623765,23,428.0,0.25712951171655146,-6.525,87,87,1814.0
80.0,88,1858.0,10.617142857142857,4.121046974800597,29,745.0,0.16666516541838863,22,526.0,0.22918722957883594,15,330.0,0.4012774382050634,22,496.0,0.3131270566068843,-6.6,88,88,2097.0
85.0,102,2185.0,11.622340425531915,3.5519378194031956,34,903.0,0.1722590742038008,25,640.0,0.165141442513542,21,412.0,0.3113929400876856,22,588.0,0.29562223891849393,-7.65,102,102,2543.0
90.0,126,2757.0,13.99492385786802,2.7178004016100688,40,1083.0,0.10851203227188556,33,790.0,0.19501902867261486,24,524.0,0.22497194895243122,29,718.0,0.19878743428224765,-9.45,126,126,3115.0
95.0,128,2323.0,11.222222222222221,2.641176337344995,32,1027.0,0.1625355406172112,35,876.0,0.15816647415860852,27,449.0,0.2403616838985848,34,752.0,0.15179042611119414,-9.6,128,128,3104.0
100.0,123,2525.0,11.744186046511627,2.8473346892286493,30,981.0,0.16024300540650985,32,937.0,0.16078117770772427,26,527.0,0.2371883690489546,35,854.0,0.1688459670722456,-9.225,123,123,3299.0
