step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.2319093027792407,1,0.0,0.04974553352393971,1,0.0,0.05212757450203976,0,0.0,0.21882601734313362,0,0.0,0.3051424515112507,2,0.0
10.0,1,0.0,0.0,7.169225196012881,0,0.0,0.48434590427520063,0,0.0,0.5376158886862278,0,0.0,0.4958099083179568,1,0.0,0.5740335309458968,1,0.0
15.0,2,1.0,0.029411764705882353,8.832212368740766,0,0.0,0.6968399406815288,0,0.0,0.6265626046073698,0,0.0,0.8018724335400508,2,1.0,0.5012659889359752,2,1.0
20.0,7,10.0,0.2127659574468085,9.057497758619645,2,0.0,0.7009557945748142,2,1.0,0.6650991016365513,0,0.0,0.8490941796011819,3,9.0,0.5020290758921009,7,10.0
25.0,6,29.0,0.5272727272727272,9.440351787097399,1,3.0,0.6750611884967794,0,0.0,0.7919058450236992,2,2.0,0.743495164343331,3,26.0,0.5985056980267818,6,31.0
30.0,13,72.0,1.1612903225806452,7.886803648960277,3,12.0,0.7233022555845283,4,9.0,0.4702784260811334,2,7.0,0.48574750897547864,4,46.0,0.5670643618121401,13,74.0
35.0,22,140.0,1.9444444444444444,6.322781178470153,3,23.0,0.5756445331037123,5,24.0,0.45878095017560694,4,21.0,0.47216377925716446,10,76.0,0.3645684212715394,22,144.0
40.0,25,204.0,2.4878048780487805,6.138624469555442,8,39.0,0.4215464219295492,5,39.0,0.48723775795924607,2,22.0,0.5275994175880895,10,122.0,0.3765799187457094,25,222.0
45.0,31,300.0,3.3707865168539324,6.215318192048133,8,70.0,0.4191578392724561,5,53.0,0.43488236017178394,4,30.0,0.5626103640754069,14,172.0,0.358515731915722,31,325.0
50.0,37,390.0,3.823529411764706,5.891273897844752,8,81.0,0.3828562478545448,11,78.0,0.41017807860771877,4,22.0,0.4626065696423358,14,237.0,0.3776871179261137,37,418.0
55.0,38,429.0,3.9,6.00208876627462,12,117.0,0.42352678433939855,9,119.0,0.3598619878101275,5,42.0,0.4786121452722,12,253.0,0.370234115085861,38,531.0
60.0,43,467.0,3.9243697478991595,5.170790227770456,11,158.0,0.34327599375810497,13,159.0,0.29883028533807854,6,65.0,0.47744564740828044,13,241.0,0.27917242384832514,43,623.0
65.0,49,663.0,5.390243902439025,4.849076298935177,14,202.0,0.24296066753667325,11,212.0,0.34909691984717156,8,102.0,0.44292292872680866,16,305.0,0.24334931408613508,49,821.0
