step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,2,0.0,0.0,2.356604792678263,1,0.0,0.06970763285576567,1,0.0,0.06880727817240426,0,0.0,0.18430010367524668,0,0.0,0.40984451555242585,-0.15,2,2,0.0
10.0,1,0.0,0.0,7.288486441090642,0,0.0,0.5286182321944085,0,0.0,0.6555767434853785,0,0.0,0.4618316326485972,1,0.0,0.5802783431094897,-0.075,1,1,0.0
15.0,1,0.0,0.0,8.792473679394847,0,0.0,0.6800148086768557,0,0.0,0.6091084819811645,0,0.0,0.7307671854231264,1,0.0,0.6108700114570013,-0.075,1,1,0.0
20.0,5,3.0,0.06382978723404255,9.275796823261164,2,0.0,0.6905019588755766,1,0.0,0.6737378122930954,1,3.0,0.7436027938825004,1,0.0,0.6345905258352361,-0.375,5,5,3.0
25.0,5,12.0,0.21428571428571427,10.265066178986142,2,1.0,0.7247926911690723,0,0.0,0.852601106178716,3,11.0,0.6674342375371334,0,1.0,0.7806475748203499,-0.375,5,5,13.0
30.0,14,42.0,0.6666666666666666,7.946537457038096,4,8.0,0.6448493959971738,4,5.0,0.4827875874555255,4,24.0,0.43474738316581607,2,6.0,0.7286976139155221,-1.05,14,14,43.0
35.0,18,93.0,1.3098591549295775,6.450093270944938,1,11.0,0.5900536624578449,5,21.0,0.42770064465422414,6,49.0,0.39894817417066364,6,16.0,0.46223350484269304,-1.35,18,18,97.0
40.0,24,179.0,2.2098765432098766,6.447914275379617,7,32.0,0.4687297041930924,5,42.0,0.4260648745828237,5,70.0,0.5106703384207869,7,46.0,0.41150796206246537,-1.8,24,24,190.0
45.0,28,217.0,2.465909090909091,6.303833549046979,6,40.0,0.42426973117072664,5,55.0,0.5724762090795161,7,97.0,0.39473266710146687,10,67.0,0.42158960591160943,-2.1,28,28,259.0
50.0,31,265.0,2.704081632653061,6.137790854376726,6,69.0,0.49688388619488666,7,73.0,0.3646239025079011,9,106.0,0.33747541965854555,9,87.0,0.4575011967613635,-2.325,31,31,335.0
55.0,35,338.0,3.1296296296296298,5.948171804613789,9,93.0,0.47085189900186714,10,111.0,0.28854582074533563,6,92.0,0.4678036949656763,10,126.0,0.4192704005106912,-2.625,35,35,422.0
