step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,2,0.0,0.0,2.4152072239405245,1,0.0,0.06044810366226117,1,0.0,0.05761863997038568,0,0.0,0.22022620851623037,0,0.0,0.2964003262089911,-0.15,2,2,0.0
10.0,1,0.0,0.0,7.241940217183189,0,0.0,0.4214895527116524,0,0.0,0.5973708968845185,0,0.0,0.449172694332496,1,0.0,0.5709668383341359,-0.075,1,1,0.0
15.0,1,0.0,0.0,8.839041571634878,0,0.0,0.6337870943184193,0,0.0,0.6292573835997954,0,0.0,0.7680522998845185,1,0.0,0.5004922878844539,-0.075,1,1,0.0
20.0,6,4.0,0.0851063829787234,9.120675735727026,2,0.0,0.6880209388761159,2,1.0,0.6502136517872978,0,0.0,0.8130369135886046,2,3.0,0.504429034468084,-0.45,6,6,4.0
25.0,5,23.0,0.42592592592592593,9.698152030877624,0,0.0,0.6901535099210488,1,6.0,0.7058399251925643,1,0.0,0.8160132372839706,3,17.0,0.6209671580786027,-0.375,5,5,23.0
30.0,13,59.0,0.9672131147540983,7.7287350358782385,3,4.0,0.6025032911467816,4,17.0,0.5278166906140874,2,2.0,0.4513880911947914,4,36.0,0.5671064843169259,-0.975,13,13,59.0
35.0,24,141.0,1.9583333333333333,6.07070306914497,5,24.0,0.5650372708724632,7,39.0,0.34463034662927405,4,16.0,0.398235435086745,8,62.0,0.34307892823332053,-1.8,24,24,141.0
40.0,32,241.0,2.9753086419753085,4.9747588700509136,10,60.0,0.3176809296230103,5,41.0,0.35853971276405183,7,44.0,0.4441856846354675,10,108.0,0.2994457316861615,-2.4,32,32,253.0
45.0,43,419.0,4.816091954022989,5.122700529136672,15,122.0,0.23829686913433024,10,73.0,0.35542350656721394,8,79.0,0.44960590658884614,10,151.0,0.4092240811884364,-3.225,43,43,425.0
50.0,48,612.0,6.0594059405940595,5.229297333910942,17,198.0,0.32088007202980595,9,115.0,0.31142796258355865,10,110.0,0.41429316245723685,12,197.0,0.40351147663611514,-3.6,48,48,620.0
55.0,52,852.0,7.607142857142857,5.259197862094309,17,283.0,0.3380424327852411,10,165.0,0.4078933825868653,12,156.0,0.39636047924194234,13,258.0,0.33619260956342134,-3.9,52,52,862.0
60.0,68,1139.0,9.336065573770492,4.316550529914618,21,377.0,0.2951324988634614,13,218.0,0.3549116157611515,16,222.0,0.31253930502130045,18,332.0,0.2133088472396681,-5.1,68,68,1149.0
65.0,76,1495.0,11.865079365079366,3.887927213189597,25,492.0,0.22357083524598753,14,282.0,0.3344541591428554,16,302.0,0.2994311440593244,21,430.0,0.23067406777914715,-5.7,76,76,1506.0
70.0,90,1909.0,13.833333333333334,2.7791774480208513,29,624.0,0.08301128342784928,18,366.0,0.19548085276261154,18,386.0,0.25955479076351945,25,544.0,0.21021598588342277,-6.75,90,90,1920.0
75.0,107,2405.0,16.586206896551722,2.484072910695856,33,784.0,0.10231721253266758,23,468.0,0.1507192321663668,21,484.0,0.2496549854794861,30,680.0,0.17183986477328642,-8.025,107,107,2416.0
80.0,116,2965.0,19.129032258064516,2.130823425016052,34,954.0,0.09494522926801083,23,580.0,0.08472874667011059,26,604.0,0.21532320357273313,33,838.0,0.1372277124161761,-8.7,116,116,2976.0
85.0,130,3564.0,20.96470588235294,2.119134423313743,37,1130.0,0.07145528111541495,26,699.0,0.13776349507247737,30,739.0,0.19542811987810507,37,1008.0,0.1750524274148716,-9.75,130,130,3576.0
90.0,135,4201.0,23.60112359550562,2.1712004834882186,38,1312.0,0.08013768873743245,25,822.0,0.19130608175500213,35,892.0,0.19265614028663233,37,1188.0,0.16429570386440798,-10.125,135,135,4214.0
95.0,143,4883.0,25.835978835978835,2.0304388001697022,38,1499.0,0.11959551890802116,28,955.0,0.17066444976230022,37,1064.0,0.1691721463905322,40,1380.0,0.12737456834611474,-10.725,143,143,4898.0
100.0,157,5625.0,28.125,1.9959224553911055,42,1694.0,0.1256370139770787,33,1106.0,0.15229383347348976,40,1256.0,0.16245254214111945,42,1584.0,0.11438939334809929,-11.775,157,157,5640.0
105.0,163,6421.0,31.945273631840795,1.9538715291674138,44,1906.0,0.08440424685672346,35,1276.0,0.15149082925288046,43,1465.0,0.1456544386479124,41,1789.0,0.12475654377601121,-12.225,163,163,6436.0
110.0,174,7270.0,36.35,1.241157500505667,47,2135.0,0.05690637468052235,38,1461.0,0.10462431239545524,46,1689.0,0.037048592312314804,43,2000.0,0.08736148907003435,-13.05,174,174,7285.0
115.0,182,8168.0,40.84,0.7596249218487907,48,2375.0,0.04223459057320534,39,1653.0,0.04483097730280034,50,1934.0,0.011886540318091056,45,2221.0,0.04919145878205541,-13.65,182,182,8183.0
120.0,191,9110.0,45.778894472361806,0.39415223555884377,49,2618.0,0.039502539680474714,42,1863.0,0.015984808180086765,52,2190.0,1.78070739392402e-05,48,2454.0,9.508410161817499e-05,-14.325,191,191,9125.0
125.0,193,10073.0,51.131979695431475,0.19716009675322355,50,2866.0,0.01878602204818137,43,2078.0,0.009793273551140343,52,2450.0,0.007568674494709508,48,2694.0,0.0,-14.475,193,193,10088.0
130.0,195,11044.0,56.3469387755102,0.04755258006116222,50,3116.0,0.01318655360852457,44,2296.0,3.704765349938697e-07,53,2713.0,4.240003991810106e-07,48,2934.0,0.0,-14.625,195,195,11059.0
135.0,195,12019.0,61.32142857142857,0.0657188605375039,50,3366.0,0.0,44,2516.0,0.0,53,2978.0,0.0,48,3174.0,0.0,-14.625,195,195,12034.0
140.0,195,12994.0,66.29591836734694,0.06939936858720029,50,3616.0,0.0,44,2736.0,0.0,53,3243.0,0.0,48,3414.0,0.0,-14.625,195,195,13009.0
145.0,195,13969.0,71.2704081632653,0.06674760891596765,50,3866.0,0.0,44,2956.0,0.0,53,3508.0,0.0,48,3654.0,0.0,-14.625,195,195,13984.0
150.0,195,14944.0,76.24489795918367,0.06923652655860178,50,4116.0,0.0,44,3176.0,0.0,53,3773.0,0.0,48,3894.0,0.0,-14.625,195,195,14959.0
155.0,195,15919.0,81.63589743589743,0.0,50,4366.0,0.0,44,3396.0,0.0,53,4038.0,0.0,48,4134.0,0.0,-14.625,195,195,15934.0
160.0,195,16894.0,86.63589743589743,0.0,50,4616.0,0.0,44,3616.0,0.0,53,4303.0,0.0,48,4374.0,0.0,-14.625,195,195,16909.0
165.0,195,17869.0,91.63589743589743,0.0,50,4866.0,0.0,44,3836.0,0.0,53,4568.0,0.0,48,4614.0,0.0,-14.625,195,195,17884.0
170.0,195,18844.0,96.63589743589743,0.0,50,5116.0,0.0,44,4056.0,0.0,53,4833.0,0.0,48,4854.0,0.0,-14.625,195,195,18859.0
175.0,195,19819.0,101.63589743589743,0.0,50,5366.0,0.0,44,4276.0,0.0,53,5098.0,0.0,48,5094.0,0.0,-14.625,195,195,19834.0
180.0,195,20794.0,106.63589743589743,0.0,50,5616.0,0.0,44,4496.0,0.0,53,5363.0,0.0,48,5334.0,0.0,-14.625,195,195,20809.0
185.0,189,20911.0,107.23589743589744,0.11777677133417377,50,5866.0,0.0,44,4716.0,0.0,53,5630.0,0.006693789997620308,42,5272.0,0.016746482693100848,-14.175,189,189,21484.0
190.0,182,20885.0,107.65463917525773,0.4214158512404054,50,6116.0,0.0,44,4936.0,0.0,53,5895.0,0.03470356094286837,35,4791.0,0.04268132629698548,-13.65,182,182,21738.0
195.0,177,20806.0,107.24742268041237,0.49794151333535236,50,6368.0,0.008087155501945937,38,4835.0,0.013607084076939956,53,6158.0,0.031723994023558084,36,4757.0,0.012448387517549387,-13.275,177,177,22118.0
200.0,176,20914.0,107.80412371134021,0.6241488254367519,50,6618.0,0.027648576570891516,34,4737.0,0.023347323676506465,53,6423.0,0.02117045385397108,39,4948.0,0.018931038545554228,-13.2,176,176,22726.0
205.0,182,21630.0,112.65625,0.38208789760437073,51,6871.0,0.036809720120673455,36,4910.0,0.01021924373858671,53,6688.0,0.0,42,5152.0,0.008032168475211718,-13.65,182,182,23621.0
210.0,186,22551.0,118.68947368421053,0.12043317107037214,51,7124.0,0.003231368959871352,39,5099.0,0.0004217061389693531,53,6953.0,0.0,43,5251.0,7.171450301659054e-05,-13.95,186,186,24427.0
215.0,188,23490.0,123.63157894736842,0.07306990128606868,52,7383.0,0.0,40,5299.0,9.953964806880522e-07,53,7218.0,0.0009299167778637671,43,5466.0,2.477663517395785e-07,-14.1,188,188,25366.0
220.0,189,24434.0,129.2804232804233,7.160929849680939e-07,52,7643.0,0.0,40,5499.0,2.4481944307384606e-07,54,7487.0,0.0,43,5681.0,0.0,-14.175,189,189,26310.0
