step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,2,0.0,0.0,2.4599132848961744,1,0.0,0.07389496869925113,1,0.0,0.06425577318639417,0,0.0,0.19975002782088175,0,0.0,0.3941139997078692,2,0.0
10.0,1,0.0,0.0,7.717664750005291,0,0.0,0.5322251542812172,0,0.0,0.6840037709572784,0,0.0,0.5108607994633642,1,0.0,0.5809365438006734,1,0.0
15.0,1,0.0,0.0,9.372125585820735,0,0.0,0.6852481432646989,0,0.0,0.639741778966563,0,0.0,0.8211806383104835,1,0.0,0.5408816701526076,1,0.0
20.0,9,10.0,0.20408163265306123,8.857077908241234,2,0.0,0.6659669145743125,2,1.0,0.6955718027806469,1,2.0,0.7196184997266248,4,7.0,0.491134064858945,9,10.0
25.0,8,40.0,0.7272727272727273,9.245476932961546,1,3.0,0.7562320114703079,1,6.0,0.7136997714968367,3,9.0,0.6282985519911692,3,22.0,0.5932531599511089,8,40.0
30.0,16,95.0,1.532258064516129,6.91548953873541,3,10.0,0.6114172822676931,4,19.0,0.43127838002387525,4,21.0,0.3356288958020446,5,45.0,0.5738239237679108,16,95.0
35.0,28,196.0,2.684931506849315,6.069903966659284,5,28.0,0.5866147321921611,8,48.0,0.3796943573062606,5,43.0,0.43840366363565164,10,77.0,0.38599452246121774,28,196.0
40.0,29,288.0,3.5121951219512195,5.647893372170027,7,44.0,0.4060595227711537,5,74.0,0.44563241472943854,5,68.0,0.4597301724585469,12,127.0,0.30017254102535135,29,313.0
45.0,37,362.0,4.022222222222222,5.699182036455299,9,63.0,0.36623514864936285,9,102.0,0.40056899021318915,6,97.0,0.48912080818314185,13,159.0,0.3184530287819895,37,421.0
50.0,37,426.0,4.217821782178218,5.401314716767334,7,86.0,0.4487182622585395,13,158.0,0.2641512678998343,8,110.0,0.41037223573205955,9,156.0,0.3871248760645318,37,510.0
55.0,42,555.0,5.0,4.964677462161624,12,127.0,0.3889050182794177,13,187.0,0.2779882808907623,8,148.0,0.3591214038346393,9,165.0,0.3581429712623652,42,627.0
60.0,50,512.0,4.162601626016261,4.794940692790503,10,133.0,0.3624232856048459,16,225.0,0.300276175797303,13,165.0,0.33029734412580986,11,166.0,0.3469327165300578,50,689.0
65.0,42,506.0,3.984251968503937,5.564350217328916,10,140.0,0.3062881694834503,11,213.0,0.3784757982144499,9,156.0,0.45729931131999213,12,203.0,0.3706571587967205,42,712.0
70.0,49,526.0,3.8962962962962964,5.047528925141031,11,167.0,0.22572472274764338,13,193.0,0.31184064903922615,10,193.0,0.4397723566428182,15,238.0,0.2773665272553001,49,791.0
75.0,62,709.0,4.992957746478873,4.453038540471364,14,197.0,0.19377111636866473,13,254.0,0.1928376362937286,16,253.0,0.33517769159919214,19,298.0,0.31728797857599744,62,1002.0
80.0,72,811.0,5.300653594771242,3.729441717017959,15,258.0,0.2201839665940098,19,333.0,0.16617800240430408,20,306.0,0.2663058104149404,18,306.0,0.2673138984261892,72,1203.0
85.0,85,1143.0,7.012269938650307,3.377361430423362,18,333.0,0.17511723816096517,25,441.0,0.14373817930632532,22,371.0,0.27988892643337804,20,321.0,0.1951590713462323,85,1466.0
90.0,95,1361.0,7.732954545454546,3.2729543862942423,19,402.0,0.21963480700793941,26,524.0,0.19911405346252017,25,421.0,0.19758713377123358,25,414.0,0.23892404599731057,95,1761.0
95.0,97,1653.0,8.983695652173912,3.1017458546097068,19,491.0,0.23645787080487948,24,589.0,0.2079291547201176,27,517.0,0.19410691857344864,27,527.0,0.21925802344729137,97,2124.0
100.0,112,2059.0,10.66839378238342,2.7816603494803736,23,599.0,0.21034582071979332,30,684.0,0.1758349477081866,29,632.0,0.16473413074389,30,667.0,0.19815262626027771,112,2582.0
105.0,120,2374.0,12.364583333333334,2.842452087651221,24,718.0,0.19641253529705324,32,753.0,0.15226803028897282,32,757.0,0.20779230213693145,32,766.0,0.18443731713034875,120,2994.0
110.0,123,2558.0,13.322916666666666,2.4459158216722283,21,707.0,0.1669941844683679,30,878.0,0.13604034456235062,34,902.0,0.1339901556830177,38,870.0,0.1208509275568627,123,3357.0
115.0,127,2981.0,15.607329842931938,2.426931104984644,22,632.0,0.17703039746469734,28,968.0,0.1547314951489816,39,1074.0,0.10117242150496798,38,1039.0,0.09621510297819191,127,3713.0
120.0,131,3246.0,17.358288770053477,1.628200476774383,21,716.0,0.083555582772264,31,999.0,0.10809273408940281,39,1243.0,0.09503119823947358,40,1207.0,0.05602665550319319,131,4165.0
125.0,133,3262.0,17.72826086956522,1.4674635790910542,22,808.0,0.13280810616620362,31,896.0,0.06041747683329377,42,1397.0,0.030497607410667028,38,1273.0,0.03103033316080413,133,4374.0
130.0,123,3259.0,18.105555555555554,1.886801731863891,20,859.0,0.12330326136247446,29,1019.0,0.09656159209507503,43,1567.0,0.06318942767016954,31,1212.0,0.0876040164394952,123,4657.0
135.0,122,3607.0,20.494318181818183,1.9811970509323584,20,911.0,0.10690248111815054,31,1160.0,0.053924247897192544,43,1744.0,0.10139405819913304,28,1150.0,0.11961282170225952,122,4965.0
140.0,118,3469.0,19.936781609195403,1.6261390390443897,20,882.0,0.05235488587153371,33,1276.0,0.03637540787790576,40,1902.0,0.0565085144166819,25,1253.0,0.12010902549363678,118,5313.0
145.0,123,3690.0,21.83431952662722,1.74414684132349,18,721.0,0.15020923002398026,36,1412.0,0.039299395354630146,38,2028.0,0.07359026262186585,31,1341.0,0.04671148021317076,123,5502.0
150.0,122,3970.0,24.506172839506174,1.323357608513212,17,804.0,0.14477105231869983,36,1539.0,0.05861207224590187,39,2198.0,0.022806309937558857,30,1450.0,0.02099426415235386,122,5991.0
155.0,128,4444.0,27.949685534591193,1.2758312748843588,25,915.0,0.11685258059215033,31,1619.0,0.0623245374551656,43,2390.0,0.009553571984344748,29,1495.0,0.05619897573810471,128,6419.0
160.0,111,4058.0,25.52201257861635,1.8219887925437963,26,1033.0,0.09133703078616405,24,1621.0,0.057747545450042466,38,2362.0,0.0504900986280213,23,1393.0,0.110829605653621,111,6409.0
165.0,103,3770.0,24.012738853503183,1.8970370684002735,28,1172.0,0.08125409429946419,23,1674.0,0.0577508638859531,31,2137.0,0.0804471107534753,21,1409.0,0.09451670893263153,103,6392.0
170.0,106,3982.0,25.857142857142858,2.050399994598253,25,1198.0,0.12608622436326317,29,1817.0,0.05634631213837089,29,1944.0,0.10328050180061538,23,1424.0,0.13453344399184866,106,6383.0
175.0,101,4030.0,26.513157894736842,2.0635026696370797,21,1158.0,0.12300461675658417,30,1908.0,0.05828732176948829,26,2017.0,0.10553639061067109,24,1423.0,0.10025622489828655,101,6506.0
180.0,98,3995.0,27.551724137931036,1.9372421798940564,21,1199.0,0.1207156197242457,30,1999.0,0.051537145614800384,28,2059.0,0.054186559130927875,19,1382.0,0.0811830622663274,98,6639.0
185.0,95,4168.0,29.146853146853147,1.7751401124056367,25,1319.0,0.1047098376649519,25,2021.0,0.06616280835379415,30,2165.0,0.02452124938100643,15,1380.0,0.06468902654171649,95,6885.0
190.0,92,4455.0,31.595744680851062,1.8432899138300967,28,1447.0,0.09618110557032314,24,2144.0,0.0582044476993665,29,2231.0,0.07192077393143874,11,1219.0,0.07895077750525678,92,7041.0
195.0,97,4842.0,35.60294117647059,1.519059542552362,31,1599.0,0.05333319679739638,28,2272.0,0.02907871081918533,27,2213.0,0.09588242690605725,11,1179.0,0.05106807421795178,97,7263.0
200.0,94,5200.0,39.39393939393939,1.5784384085568792,29,1684.0,0.11216950837196177,27,2346.0,0.06380498178684961,27,2216.0,0.03374764270475219,11,980.0,0.06719749144492891,94,7226.0
205.0,88,5499.0,42.627906976744185,1.4768041652598851,26,1819.0,0.10560400578405854,24,2316.0,0.09440225502217155,29,2358.0,0.0011460602049211477,9,949.0,0.1038967363331018,88,7442.0
210.0,98,5951.0,46.85826771653543,1.0316832798606121,30,1961.0,0.0786770445804926,22,2353.0,0.07558625396835646,31,2514.0,0.030245730091962245,15,1014.0,0.025474935734562366,98,7842.0
215.0,102,5987.0,47.51587301587302,0.841062774374359,35,2126.0,0.03727081311446004,19,2313.0,0.09459888024104823,31,2671.0,0.0395590806874988,17,1055.0,0.04177802704903719,102,8165.0
220.0,100,5745.0,46.33064516129032,0.6736123393594027,39,2310.0,0.0009759822801245391,16,2169.0,0.03394577212042018,31,2824.0,0.051412714950533484,14,1002.0,0.09050935093563878,100,8305.0
225.0,96,5774.0,46.564516129032256,1.0212587531850983,40,2505.0,5.743093723757445e-05,14,2011.0,0.044605346368325964,31,2979.0,0.07982345749683273,11,937.0,0.18023298582303612,96,8432.0
230.0,94,5716.0,46.47154471544715,0.8728694945738942,40,2705.0,5.49195559131127e-07,12,2074.0,0.030027639636267915,33,3139.0,0.04866360748129634,9,985.0,0.15297046897871763,94,8903.0
235.0,97,5818.0,48.082644628099175,0.6751854114992556,34,2753.0,0.01840977240518271,17,2154.0,0.04408583661341998,34,3307.0,0.02314006208650638,12,1036.0,0.074496777669094,97,9250.0
240.0,94,5748.0,47.9,0.8103786507865431,29,2653.0,0.03094261328198534,16,2194.0,0.07380370339711928,35,3482.0,3.152246660487959e-07,14,1101.0,0.014815532101738355,94,9430.0
245.0,87,5359.0,45.03361344537815,1.1185115677090276,23,2619.0,0.08318187493164636,15,2201.0,0.09391248533986378,35,3657.0,0.0,14,1058.0,0.017376466256091114,87,9535.0
250.0,87,5230.0,43.94957983193277,1.5741239109373988,24,2588.0,0.07933178362986229,19,2245.0,0.20618191543445863,32,3753.0,0.013682805103070753,12,960.0,0.07240023816541101,87,9546.0
255.0,88,5537.0,46.92372881355932,1.3132915172269837,28,2722.0,0.0744037314150772,20,2325.0,0.17381910061116454,27,3806.0,0.03295542606920282,13,956.0,0.04002653222702345,88,9809.0
260.0,89,5842.0,50.36206896551724,1.0862207364962877,30,2869.0,0.09510916053018213,17,2138.0,0.08213229856410767,27,3870.0,0.03787221486046366,15,1027.0,0.024925724610683046,89,9904.0
265.0,89,6038.0,52.05172413793103,1.2353412616282347,35,3034.0,0.08667718576760902,14,2009.0,0.04615283188777371,28,4008.0,0.01909348777559514,12,972.0,0.09377859837396557,89,10023.0
270.0,85,6187.0,53.33620689655172,1.4161487485905975,37,3215.0,0.029696698056313024,11,2038.0,0.06262667982433763,30,4154.0,0.06264988924080656,7,882.0,0.19657921047084412,85,10289.0
275.0,73,6252.0,54.36521739130435,1.9342236815165117,36,3276.0,0.058327440596961024,7,2063.0,0.10076834727649156,27,4267.0,0.09961491800167714,3,662.0,0.2846873408155263,73,10268.0
280.0,73,6284.0,56.612612612612615,1.5185701486887828,33,3193.0,0.05045117914136271,9,1949.0,0.06396817918969647,27,4374.0,0.1015728732009703,4,680.0,0.13750545264558606,73,10196.0
285.0,84,6590.0,61.01851851851852,0.7976258821931629,34,3359.0,0.06707518816819252,13,1857.0,0.026087734802435536,30,4519.0,0.0007277838458456961,7,708.0,0.011916347492996283,84,10443.0
290.0,85,6906.0,63.94444444444444,0.8100645446346034,30,3509.0,0.06300572640595802,14,1910.0,0.017367673110822556,31,4674.0,0.0,10,752.0,0.00040794715783881285,85,10845.0
295.0,93,7361.0,68.79439252336448,0.401841160369324,35,3680.0,0.026947819962635504,17,1992.0,0.001165273797429531,31,4829.0,0.0,10,802.0,5.156539381078522e-06,93,11303.0
300.0,101,7854.0,74.09433962264151,0.16392569993870584,41,3874.0,0.005257239581205057,19,2086.0,7.018616185484901e-06,31,4984.0,0.0,10,852.0,0.0,101,11796.0
305.0,98,7021.0,66.86666666666666,0.18917983291732351,44,4087.0,0.0004765809919070551,19,2181.0,0.0,25,4680.0,0.0221024029990593,10,902.0,0.0,98,11850.0
310.0,89,5450.0,52.40384615384615,0.7945914583811011,45,4312.0,1.2313127816606273e-05,19,2276.0,0.0,15,3886.0,0.0916648370853368,10,954.0,0.1403523134834355,89,11428.0
315.0,86,4664.0,44.84615384615385,0.8708743746497253,45,4537.0,1.7692879525333123e-07,19,2371.0,0.0,12,3946.0,0.09435216780244575,10,1004.0,0.1697385229022571,86,11858.0
320.0,85,4382.0,42.13461538461539,0.5893364462433669,45,4762.0,2.1827726561015656e-07,19,2466.0,0.0,13,4011.0,0.0604518535243051,8,931.0,0.026957211087434485,85,12170.0
