step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,2,0.0,0.0,1.8677141800430204,1,0.0,0.049488887035512685,1,0.0,0.05255170041039619,0,0.0,0.1728577096029249,0,0.0,0.299094134331819,-0.15,2,2,0.0
10.0,1,0.0,0.0,5.964006558380765,0,0.0,0.38924100806726686,0,0.0,0.49667655853859805,0,0.0,0.42567420343231066,1,0.0,0.4708634404321197,-0.075,1,1,0.0
15.0,2,0.0,0.0,8.589519333749191,1,0.0,0.602910140606853,0,0.0,0.6168089393441385,0,0.0,0.7829614220592431,1,0.0,0.5420830155842086,-0.15,2,2,0.0
20.0,8,5.0,0.10416666666666667,8.462207221512505,2,0.0,0.6577539563545552,1,0.0,0.6229979267022958,1,1.0,0.7377128969660596,4,4.0,0.48402878733025584,-0.6,8,8,5.0
25.0,5,22.0,0.4,9.518083896334513,0,2.0,0.7461724749109884,1,5.0,0.7111783605045728,1,0.0,0.7911728942054032,3,17.0,0.5689175308190324,-0.375,5,5,24.0
30.0,11,58.0,0.9354838709677419,8.028301398392918,2,4.0,0.625947230674795,3,17.0,0.44902032815634524,2,2.0,0.6125582895852294,4,37.0,0.589852288212391,-0.825,11,11,60.0
35.0,22,125.0,1.7123287671232876,5.94756635968908,3,8.0,0.5466684985517839,6,36.0,0.4130084767294308,4,14.0,0.31551328664259826,9,68.0,0.39250919512076315,-1.65,22,22,126.0
40.0,33,251.0,3.0609756097560976,5.770523541693348,8,35.0,0.4421991904673992,6,60.0,0.5156013066962426,7,44.0,0.34926414104121595,12,116.0,0.2696006042451994,-2.475,33,33,255.0
45.0,34,364.0,4.136363636363637,5.6619354542240306,10,72.0,0.35192364883865934,8,93.0,0.4791969658818264,5,64.0,0.44098509802820623,11,151.0,0.35369966648748496,-2.55,34,34,380.0
50.0,47,548.0,5.372549019607843,5.47016060623566,13,130.0,0.3715728626520702,12,141.0,0.30263631244321354,10,92.0,0.4156619676734496,12,197.0,0.4457123380789411,-3.525,47,47,560.0
55.0,41,548.0,4.936936936936937,5.349656596614748,14,180.0,0.3739166687525959,14,207.0,0.3087238978168967,5,84.0,0.4929357442510586,8,213.0,0.3731683338119279,-3.075,41,41,684.0
60.0,43,513.0,4.204918032786885,4.707150722850946,15,228.0,0.3311428737729642,12,228.0,0.2999829821418129,8,69.0,0.3897927663762658,8,189.0,0.30702169730741,-3.225,43,43,714.0
65.0,57,744.0,5.904761904761905,4.433155830849058,21,322.0,0.22991067245652427,16,266.0,0.35906006425870957,13,102.0,0.2899888389669984,7,213.0,0.3666690200661738,-4.275,57,57,903.0
70.0,70,906.0,6.661764705882353,3.9782100758443724,26,438.0,0.10531380557322477,16,260.0,0.28370439829804706,14,165.0,0.3369619588341677,14,255.0,0.3467098237371097,-5.25,70,70,1118.0
75.0,73,998.0,6.882758620689655,3.654915184504319,22,524.0,0.11428977677877684,18,258.0,0.17634716380596385,16,221.0,0.28901661891094815,17,312.0,0.2846534236145654,-5.475,73,73,1315.0
80.0,74,1207.0,7.737179487179487,4.096377141092162,21,571.0,0.16908743596388537,12,279.0,0.17567935689785075,20,314.0,0.28916027330170696,21,387.0,0.2872465645073219,-5.55,74,74,1551.0
85.0,83,1507.0,8.91715976331361,3.812841675154936,23,668.0,0.15690298179397796,15,294.0,0.2388867496448948,21,409.0,0.30311638249004447,24,430.0,0.18367034781021838,-6.225,83,83,1801.0
90.0,90,1661.0,9.4375,3.4880885151586227,24,790.0,0.22719396933984567,18,345.0,0.23474153541491705,22,450.0,0.2169449687790114,26,457.0,0.17323521787509055,-6.75,90,90,2042.0
95.0,96,1879.0,10.156756756756756,3.5497084504393017,26,916.0,0.21486604439895743,23,442.0,0.1962302181820923,24,475.0,0.25840982000798596,23,564.0,0.216326242030014,-7.2,96,96,2397.0
100.0,102,2175.0,11.26943005181347,3.529651187023512,24,1007.0,0.19213778093623116,30,578.0,0.21272929496252704,23,562.0,0.24173030208596308,25,670.0,0.22482954827589563,-7.65,102,102,2817.0
105.0,102,2346.0,12.47872340425532,3.220161579572369,25,1113.0,0.17116784758373163,30,685.0,0.17923092903495633,26,659.0,0.20941622067725532,21,667.0,0.22268044816737131,-7.65,102,102,3124.0
110.0,117,2623.0,14.102150537634408,2.6292727152417767,29,1249.0,0.0899259089055465,32,756.0,0.14045578760587907,30,770.0,0.15032401091607578,26,682.0,0.19000555842022845,-8.775,117,117,3457.0
115.0,116,2555.0,13.96174863387978,1.8391086591464776,25,1251.0,0.03353507302408487,30,878.0,0.10145918000069583,37,897.0,0.07570730803322649,24,756.0,0.16512653295596785,-8.7,116,116,3782.0
120.0,116,2536.0,13.934065934065934,2.1404800021376293,22,1169.0,0.0964009989171497,29,970.0,0.13484934035604243,33,939.0,0.0984760767109238,32,893.0,0.09537428708028525,-8.7,116,116,3971.0
125.0,127,2774.0,15.67231638418079,1.6556198879964545,24,1281.0,0.07397075620131928,29,1005.0,0.13458809529214066,36,945.0,0.09090601376089782,38,1076.0,0.09549888182620803,-9.525,127,127,4307.0
130.0,136,3144.0,17.863636363636363,1.24905333405297,27,1414.0,0.10815137987217635,37,1158.0,0.029879313635550617,33,1029.0,0.08743931159471816,39,1246.0,0.1053157807144349,-10.2,136,136,4847.0
135.0,140,3132.0,17.795454545454547,1.0112101453121938,24,1357.0,0.10235883659902166,44,1364.0,0.013055183928548209,29,1005.0,0.05916803200965144,43,1409.0,0.03132101920711652,-10.5,140,140,5135.0
140.0,135,3109.0,17.867816091954023,1.2313905617013603,19,1194.0,0.11637179742730593,44,1529.0,0.07063921603280177,24,1096.0,0.08454159155239889,48,1640.0,6.486325892394967e-05,-10.125,135,135,5459.0
145.0,130,3212.0,18.45977011494253,1.135604704872193,15,1192.0,0.06067830151358284,43,1630.0,0.050338826315433106,24,1152.0,0.053877716992330085,48,1884.0,0.039102354338274165,-9.75,130,130,5858.0
150.0,139,3625.0,20.953757225433527,0.9170907864453418,16,1193.0,0.07378911149466934,48,1859.0,0.0200127061611524,26,1204.0,0.07008742549018632,49,2099.0,0.027528924661222316,-10.425,139,139,6355.0
155.0,146,4251.0,24.71511627906977,0.8174791737869974,16,1148.0,0.061489308090400596,51,2110.0,0.018760640228477524,26,1237.0,0.09664391383951525,53,2361.0,0.020834186068190243,-10.95,146,146,6856.0
160.0,140,4470.0,26.140350877192983,0.7770687502028819,15,1023.0,0.134622639323929,51,2365.0,0.00033134016989410926,25,1207.0,0.0937784601959625,49,2452.0,0.010512425982766907,-10.5,140,140,7047.0
165.0,128,4682.0,27.70414201183432,1.5752060759245567,12,902.0,0.18914608385143136,52,2625.0,0.0,20,1045.0,0.18827008690859018,44,2380.0,0.041489820626993294,-9.6,128,128,6952.0
170.0,122,4601.0,27.224852071005916,1.4358412247608745,15,800.0,0.16680226779075144,49,2811.0,0.009834983678005029,23,1137.0,0.11758939861747054,35,2403.0,0.0388292411303001,-9.15,122,122,7151.0
175.0,128,4727.0,28.136904761904763,1.2572919975274686,19,884.0,0.01354792901174664,51,2982.0,0.004932704042688277,29,1268.0,0.024484910652773938,29,2373.0,0.07479891879672325,-9.6,128,128,7507.0
180.0,131,4891.0,29.2874251497006,1.2114081639129948,22,987.0,0.040622675534280464,53,3245.0,4.009037051138331e-06,32,1354.0,0.009855118139810886,24,2367.0,0.06937585781935908,-9.825,131,131,7953.0
185.0,127,5205.0,31.73780487804878,1.2872894534682695,22,1099.0,0.05946768346618034,53,3510.0,0.0,31,1381.0,0.05926709638198742,21,2225.0,0.07657218235694763,-9.525,127,127,8215.0
190.0,127,5219.0,32.61875,1.2256584202856682,24,1214.0,0.03663394126659438,47,3558.0,0.01189560641348001,31,1480.0,0.06489497944930014,25,2184.0,0.07484387034995361,-9.525,127,127,8436.0
195.0,115,4594.0,29.638709677419357,1.4198466354924297,22,1265.0,0.06903129012138079,37,3371.0,0.058042703625617545,33,1641.0,0.047882889959004915,23,2237.0,0.08047255519219763,-8.625,115,115,8514.0
