step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,4,0.0,0.0,2.8942746827553494,0,0.0,0.13419364466022374,1,0.0,0.1768314900420731,1,0.0,0.25657673418632054,0,0.0,0.11359098811250169,0,0.0,0.35877868134210783,0,0.0,1.0,0,0.0,0.3301145602888108,1,0.0,0.06315734619080487,1,0.0,0.2316713087175443,-0.133,4,4,0.0
10.0,7,0.0,0.0,6.726836901550209,1,0.0,0.3855563503649611,2,0.0,0.5104698583485022,0,0.0,0.7652728976808216,1,0.0,0.33267187169734186,0,0.0,0.6610213951329128,2,0.0,0.23844061348547996,0,0.0,0.7218633232530272,0,0.0,0.5099200212225762,1,0.0,0.4589054704047997,-0.233,7,7,0.0
15.0,8,0.0,0.0,8.848541604551126,1,0.0,0.5534399488498317,1,0.0,0.597755160742493,0,0.0,0.7890261275977636,2,0.0,0.5253742091119572,1,0.0,0.6086850017829325,2,0.0,0.4967189532391598,0,0.0,0.9212974330189945,0,0.0,0.939915627397581,1,0.0,0.6727617453384862,-0.267,8,8,0.0
20.0,14,10.0,0.10989010989010989,7.947043550465805,3,1.0,0.5959828529406727,3,6.0,0.5547577686344037,2,0.0,0.4490083491213095,1,1.0,0.6598584390511308,3,1.0,0.42196571860124704,0,0.0,0.6228513119351563,1,1.0,0.1670972078603491,0,0.0,0.6398274652405719,1,0.0,0.6952115223639709,-0.467,14,14,10.0
25.0,28,96.0,0.8648648648648649,6.733091091786754,4,12.0,0.4592049323855255,5,25.0,0.4420892823956471,1,3.0,0.5285181252279277,3,11.0,0.5381645770706129,5,18.0,0.38383775940445203,3,7.0,0.5602068659352459,2,10.0,0.29992855972401405,4,9.0,0.39288271575881345,1,1.0,0.657396521273576,-0.933,28,28,96.0
30.0,46,270.0,1.9565217391304348,6.213914780758237,6,36.0,0.4732595198912396,8,60.0,0.3607283918782622,3,10.0,0.6345197922577979,4,29.0,0.26882434415125617,7,47.0,0.44638772620895917,5,26.0,0.5060486646032779,2,21.0,0.29080440641497407,6,32.0,0.31042377959447137,5,13.0,0.49308033282973235,-1.533,46,46,274.0
35.0,62,521.0,3.1575757575757577,5.449871641698933,8,69.0,0.4035705328776357,10,105.0,0.32386465418517074,4,26.0,0.5972333510343364,7,61.0,0.3590134568022158,9,88.0,0.395822570890588,11,61.0,0.3230255646709791,3,36.0,0.3951076565839103,7,61.0,0.24205909632779213,3,19.0,0.4550791578218105,-2.067,62,62,526.0
40.0,90,882.0,4.617801047120419,4.567307469568213,13,123.0,0.2045155304312212,12,157.0,0.32427015020468647,5,46.0,0.5117835740580304,9,101.0,0.35012183250447265,14,143.0,0.19108645702190152,16,125.0,0.2240243916784215,5,54.0,0.4325624834464731,11,102.0,0.2748398363086371,5,39.0,0.4746070372553036,-3.0,90,90,890.0
45.0,117,1385.0,6.626794258373206,3.962199439410325,18,204.0,0.1655665748906297,14,224.0,0.19504896209185868,10,82.0,0.3413173289842519,9,144.0,0.3232289725149179,17,223.0,0.21051919345896353,21,212.0,0.19286718465445343,7,78.0,0.3763822239306661,12,153.0,0.286674403167792,9,73.0,0.4427106414422177,-3.9,117,117,1393.0
