step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.0
5.0,4,0.0,0.0,2.719186182205158,0,0.0,0.09063305126876252,1,0.0,0.18212337197824177,1,0.0,0.34072545017006706,0,0.0,0.08999014208072156,0,0.0,0.36698961130139063,0,0.0,1.0,0,0.0,0.2510522649451062,1,0.0,0.04644014897596002,1,0.0,0.2079857081868655,4,0.0,-0.04444444444444443
10.0,7,0.0,0.0,6.334762160816698,1,0.0,0.36515394078886154,2,0.0,0.47854056636411924,0,0.0,0.7290429041368117,1,0.0,0.29375357410306974,0,0.0,0.6616503899635386,2,0.0,0.1992462469165232,0,0.0,0.6530338628295413,0,0.0,0.4516932742229201,1,0.0,0.44661673508072824,7,0.0,-0.07777777777777777
15.0,7,0.0,0.0,8.98468560898336,1,0.0,0.550805022837628,1,0.0,0.6349650981582784,0,0.0,0.7568727823689771,1,0.0,0.5357646493631726,1,0.0,0.6564181212906415,2,0.0,0.5041885689234319,0,0.0,0.7630171107983402,0,0.0,0.9182260863036991,1,0.0,0.7010107789230754,7,0.0,-0.07777777777777777
20.0,13,13.0,0.14285714285714285,7.561317004003541,2,1.0,0.6294996394151332,1,2.0,0.4969017010923854,2,0.0,0.5135512909638495,0,0.0,0.6810979728483761,5,5.0,0.32523040541169373,0,0.0,0.5907000554499972,1,3.0,0.23148884359167213,1,2.0,0.5610663664848452,1,0.0,0.6258220572124448,13,13.0,-0.14444444444444443
25.0,20,72.0,0.6545454545454545,7.172363853578758,2,7.0,0.5127086996572158,3,13.0,0.523027655012281,0,1.0,0.593893564563807,0,0.0,0.6016277980407547,4,16.0,0.3727021452236595,3,4.0,0.5706589174372042,2,11.0,0.3074268411959662,4,16.0,0.3414095589929199,2,7.0,0.6105552437715009,20,75.0,-0.22222222222222218
30.0,42,211.0,1.5071428571428571,6.420968909194588,5,25.0,0.5376524839742884,5,34.0,0.40406513063746424,5,6.0,0.5029813203683917,3,9.0,0.3707398788330607,5,37.0,0.4971005455692349,5,22.0,0.5487217768575909,3,21.0,0.3174384940199433,6,41.0,0.19537470689103226,5,20.0,0.42176549111296635,42,215.0,-0.46666666666666656
35.0,64,436.0,2.5952380952380953,5.787381689933642,8,51.0,0.43532603873512515,10,72.0,0.35671664622722654,4,24.0,0.5819981870795548,5,32.0,0.4179285518485004,7,63.0,0.4344985931212132,10,55.0,0.4252797323580054,4,34.0,0.42950590884350054,7,69.0,0.25124375285463096,9,44.0,0.33166922112061714,64,444.0,-0.7111111111111109
40.0,85,781.0,4.0890052356020945,4.7298901029374445,13,99.0,0.27551196620934354,12,126.0,0.27063797939990103,7,50.0,0.4977049454768938,8,63.0,0.45660368292930603,11,110.0,0.271166044974341,13,108.0,0.2757287501537141,5,50.0,0.3634402142083902,8,101.0,0.32385220221148286,8,82.0,0.3979590916502253,85,789.0,-0.9444444444444442
45.0,113,1092.0,5.1753554502369665,3.282461695387459,15,161.0,0.1478097222414162,17,179.0,0.18889140998700493,11,73.0,0.3464707468026558,10,90.0,0.253900250763273,13,146.0,0.20944944558495945,18,156.0,0.18613557288083374,9,80.0,0.2875095625567396,8,114.0,0.31530534903338536,12,109.0,0.3266683231288437,113,1108.0,-1.2555555555555553
50.0,121,1334.0,5.725321888412017,3.9596485330099283,20,246.0,0.14045567585536353,18,243.0,0.22280929532351115,10,111.0,0.3106982990553803,13,145.0,0.21738347463727548,17,194.0,0.21797257388517138,15,221.0,0.30616833679915884,10,122.0,0.3740983392312327,8,133.0,0.31660888702155066,10,118.0,0.3984581375828044,121,1533.0,-1.344444444444444
55.0,131,1841.0,7.276679841897233,4.168195073912302,20,345.0,0.14646359938913125,18,264.0,0.21336679544991533,14,148.0,0.3211465112555439,15,209.0,0.21857962756556162,16,269.0,0.32566291570477407,19,287.0,0.36047982883981144,13,178.0,0.31324472300875555,10,176.0,0.31426817269938034,6,105.0,0.4462147921703236,131,1981.0,-1.4555555555555553
60.0,152,2496.0,9.210332103321033,3.5160245429354413,24,458.0,0.1340651578589571,19,339.0,0.2272195498647683,15,212.0,0.2808176424639996,14,279.0,0.25281642057399345,18,339.0,0.27078153912700925,24,390.0,0.2191799444920063,16,248.0,0.28618818147387204,10,226.0,0.2834304036917331,12,140.0,0.3540303408729401,152,2631.0,-1.6888888888888884
65.0,197,3360.0,11.313131313131313,2.3407531672922866,28,589.0,0.14107949870654526,24,444.0,0.1667433163015202,20,298.0,0.17976525246994207,17,355.0,0.1907840453696615,27,450.0,0.13133834416933113,32,528.0,0.08515048166423898,18,330.0,0.21299597221225403,13,283.0,0.2442607217507844,18,220.0,0.25122261334623913,197,3497.0,-2.188888888888888
70.0,202,3261.0,9.972477064220184,2.2863670800198586,25,659.0,0.15806346331420124,27,503.0,0.15437334173492415,19,343.0,0.13718392428998982,14,367.0,0.18973608396306593,27,521.0,0.14261477560170574,37,614.0,0.08796251540892296,19,361.0,0.11581776250385187,12,262.0,0.2618153397813003,22,310.0,0.2017655669661454,202,3940.0,-2.244444444444444
75.0,207,3778.0,10.794285714285714,3.3166290368677283,26,731.0,0.201057453957251,33,545.0,0.14061377767887737,20,394.0,0.2150494248166343,13,341.0,0.30009999399788656,25,600.0,0.23755145582230017,32,679.0,0.2041339031038872,18,340.0,0.23922058639410967,15,312.0,0.3466390219089651,25,421.0,0.211619734656549,207,4363.0,-2.2999999999999994
80.0,219,4677.0,12.405835543766578,3.365705769763451,28,831.0,0.17219412078230495,36,701.0,0.11014912912746036,23,500.0,0.2688866637242104,15,377.0,0.2832546174247025,25,687.0,0.2111451742642228,31,728.0,0.18265944690315425,14,355.0,0.31439955881242904,16,388.0,0.332271754682087,31,556.0,0.23426084037488676,219,5123.0,-2.4333333333333327
85.0,251,5769.0,14.070731707317073,2.9722186487208972,33,984.0,0.16540091337546317,42,897.0,0.12607709331074302,25,621.0,0.2116185949459902,20,458.0,0.2678606315204396,29,817.0,0.16214480923680935,34,882.0,0.1427477390653201,15,397.0,0.28321404803520905,21,486.0,0.29350371437600364,32,705.0,0.1832644765528736,251,6247.0,-2.7888888888888883
90.0,302,7114.0,16.20501138952164,2.317691347783099,38,1159.0,0.20643116099115663,46,1114.0,0.1130397381358151,30,757.0,0.17732463157722,25,564.0,0.19764539657982974,39,984.0,0.12016256931635239,38,1059.0,0.10411477781154252,21,490.0,0.1940245195474623,29,611.0,0.1572397915545592,36,872.0,0.13537315691288546,302,7610.0,-3.3555555555555547
95.0,277,5694.0,12.405228758169935,2.3266187162933822,33,1175.0,0.19991924633545782,41,1162.0,0.14393189147839072,23,669.0,0.21715826131260157,22,515.0,0.15271982863306438,33,989.0,0.12154807328482013,39,1060.0,0.06912846382257999,22,516.0,0.19752889175623586,31,609.0,0.11847183212762945,33,889.0,0.12012268827962774,277,7584.0,-3.077777777777777
