step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,4,0.0,0.0,2.7422414945642233,0,0.0,0.13967787942003354,1,0.0,0.1538382176739584,1,0.0,0.2602511469751636,0,0.0,0.15335594858541776,0,0.0,0.33749661449350055,0,0.0,1.0,0,0.0,0.28332281085245076,1,0.0,0.06623539720968943,1,0.0,0.1632005280351313,-0.133,4,4,0.0
10.0,7,0.0,0.0,5.960879821817054,1,0.0,0.28533149065148117,2,0.0,0.45062875512183354,0,0.0,0.6791444046561707,1,0.0,0.28899815306646925,0,0.0,0.6036135479766532,2,0.0,0.18038121110009597,0,0.0,0.6185092206156735,0,0.0,0.4125591673372159,1,0.0,0.4076071139415598,-0.233,7,7,0.0
15.0,7,0.0,0.0,8.676376453340135,1,0.0,0.537274645406797,1,0.0,0.6089714339822128,0,0.0,0.7405493313978136,1,0.0,0.5105898455914619,1,0.0,0.6157543119424473,2,0.0,0.4811667434351977,0,0.0,0.9121700582893022,0,0.0,0.8695494964341027,1,0.0,0.668146337664895,-0.233,7,7,0.0
20.0,8,7.0,0.07865168539325842,8.609463399989327,2,0.0,0.6915595815426108,1,2.0,0.6288639752621816,2,0.0,0.5783606393458366,0,0.0,0.7635786612394069,2,5.0,0.5253136543936041,0,0.0,0.6363067798096413,0,0.0,0.21515248067940138,0,0.0,0.6305771192669557,1,0.0,0.6256484900089075,-0.267,8,8,7.0
25.0,18,54.0,0.5,7.42891059984371,1,1.0,0.5786498299164555,2,12.0,0.5654493859073806,0,0.0,0.5665198998554691,1,1.0,0.6680482935868085,5,14.0,0.4218551803504028,1,4.0,0.572446438646266,2,8.0,0.31746780092453175,3,9.0,0.40032578336477365,3,7.0,0.6092524044015362,-0.6,18,18,56.0
30.0,37,164.0,1.1884057971014492,6.195649618409598,5,18.0,0.5338928764245967,4,29.0,0.48980250373092304,4,7.0,0.5893729754871838,0,0.0,0.3110324414574758,7,39.0,0.4154585870798283,7,21.0,0.4444932948227468,2,19.0,0.3064759024716806,5,29.0,0.2541409432451179,3,14.0,0.5004596328492384,-1.233,37,37,176.0
35.0,47,297.0,1.8,6.095111123894425,4,34.0,0.4227907909846193,6,49.0,0.43547344670075155,3,11.0,0.6259886836629134,4,16.0,0.4955517350733111,8,80.0,0.4588848131266767,10,50.0,0.3730829187165503,0,18.0,0.543307262585762,6,50.0,0.2724333406223605,6,20.0,0.3870099456302381,-1.567,47,47,328.0
40.0,56,420.0,2.210526315789474,5.853446470488256,9,58.0,0.3567850912118397,9,82.0,0.34613550262696835,4,28.0,0.6144651909373998,6,33.0,0.5054707755461795,6,87.0,0.3806300084805614,10,97.0,0.3337564281173476,1,3.0,0.6549225197770026,6,59.0,0.37131300186765875,5,27.0,0.46211496805412783,-1.867,56,56,474.0
45.0,75,674.0,3.2403846153846154,5.48120929660441,8,91.0,0.2863707436715394,12,135.0,0.3406981580112071,7,52.0,0.46939886610418513,9,67.0,0.4626559403084551,10,107.0,0.26619467187293694,11,133.0,0.37933085269125916,2,3.0,0.4694895786233389,6,78.0,0.49865426759059955,10,63.0,0.41554767483960076,-2.5,75,75,729.0
50.0,92,908.0,3.8969957081545066,4.695632083568985,13,143.0,0.1678921435144595,9,136.0,0.3152989541959433,11,102.0,0.35854322043924314,10,97.0,0.3625784082254114,19,177.0,0.23860795808222557,12,161.0,0.32900988964766437,4,15.0,0.45988475552866065,5,102.0,0.42369896477179286,9,90.0,0.3678374808081699,-3.067,92,92,1023.0
55.0,112,1277.0,5.007843137254902,4.990257715157385,14,209.0,0.22058047256904845,14,142.0,0.3451970654626629,8,110.0,0.3955619114416508,12,136.0,0.22018545568049414,21,275.0,0.3228836598673438,14,217.0,0.2938671685105249,7,51.0,0.5280419153458988,10,141.0,0.40917217608992457,12,107.0,0.410220750598513,-3.733,112,112,1388.0
60.0,109,1493.0,5.550185873605948,4.4963612010768275,13,259.0,0.2188668682597027,11,153.0,0.3518865533423181,10,134.0,0.3909276629650842,9,141.0,0.28408451622894765,19,326.0,0.26197740515488416,17,293.0,0.2165024187901145,9,91.0,0.39763750833697414,9,183.0,0.34487516719197836,12,142.0,0.361712614188691,-3.633,109,109,1722.0
65.0,143,2052.0,7.174825174825175,3.578781314044956,14,327.0,0.25804591661169185,18,172.0,0.26986360046438945,12,185.0,0.3041308164575645,11,141.0,0.31786567265753846,23,366.0,0.14324856576834488,23,399.0,0.21571201169294876,12,134.0,0.2661750824397534,13,241.0,0.232050746235745,17,201.0,0.2401580004025928,-4.767,143,143,2166.0
70.0,165,2474.0,7.8789808917197455,3.207920430103126,17,404.0,0.23031748367294938,20,234.0,0.24805634057648662,13,246.0,0.33269351444771317,13,125.0,0.27044628597791365,25,452.0,0.11508594083540812,23,478.0,0.19633545784160492,16,197.0,0.16203417565746894,19,329.0,0.16018230269554917,19,274.0,0.27260640735472613,-5.5,165,165,2739.0
75.0,183,2902.0,8.510263929618768,3.4058870735735085,20,408.0,0.2328030076621587,21,291.0,0.271694877508605,12,248.0,0.2807334677083504,16,157.0,0.32678461974834405,23,518.0,0.22682462417761423,23,566.0,0.20720608917555258,22,291.0,0.12879491113950464,24,438.0,0.1517257617454584,22,359.0,0.22930862203205374,-6.1,183,183,3276.0
80.0,194,3515.0,9.474393530997304,3.311010767591882,19,401.0,0.23708071944001718,20,352.0,0.19758881434105524,12,258.0,0.303736228238599,15,211.0,0.27794553558889606,25,604.0,0.2336364318391885,28,697.0,0.18710711462270777,22,390.0,0.192939800813469,26,562.0,0.20357423320633833,27,478.0,0.25079518265885703,-6.467,194,194,3953.0
85.0,231,4488.0,11.362025316455696,3.038450488197332,22,431.0,0.2489350349957225,25,440.0,0.1718232887830469,15,285.0,0.33617603727725,22,305.0,0.20120217584663022,33,738.0,0.1524115635442939,34,854.0,0.14672164620353376,26,506.0,0.24010216400561568,28,693.0,0.18322867778161714,26,604.0,0.206703512474267,-7.7,231,231,4856.0
90.0,254,5122.0,12.371980676328503,2.4102066130483366,26,488.0,0.22652546266202275,30,556.0,0.16979667439300608,18,366.0,0.2722133489616647,25,370.0,0.1159774706279511,34,854.0,0.08475198913264621,38,1010.0,0.10297118008168102,27,640.0,0.16551540472363274,29,777.0,0.13047273466309833,27,685.0,0.18754559565196832,-8.467,254,254,5746.0
95.0,269,5922.0,13.772093023255813,2.6381885925537776,25,583.0,0.28152461355850666,34,642.0,0.20174108223779855,21,470.0,0.268876468259792,31,480.0,0.12402154631442038,31,946.0,0.14269129015999737,37,1145.0,0.09544652481573254,28,747.0,0.18070413180555095,35,906.0,0.11173292169758595,27,724.0,0.1684780537570809,-8.967,269,269,6643.0
100.0,266,6354.0,14.088691796008868,2.5916864151151966,25,651.0,0.2560205168101548,39,789.0,0.16756571299577452,25,585.0,0.16966337610164645,30,630.0,0.20076186839045415,34,1100.0,0.17265311854988333,38,1297.0,0.09521194187068768,27,825.0,0.15439994228190232,30,962.0,0.15203521101054696,18,708.0,0.18161072390198776,-8.867,266,266,7547.0
105.0,284,6814.0,15.008810572687224,2.384593110267981,28,724.0,0.24209166082181707,46,975.0,0.0976355295347689,28,719.0,0.16680849099768513,35,778.0,0.1460818958547455,44,1304.0,0.11883675420432313,32,1406.0,0.10458215406333349,27,944.0,0.1650410220880162,28,943.0,0.17964507809628882,16,706.0,0.227592288350019,-9.467,284,284,8499.0
110.0,291,7331.0,16.183222958057396,2.018836615978927,29,860.0,0.13514871514748023,49,1079.0,0.0645477002751968,30,833.0,0.13641633958173982,36,925.0,0.1392377540503674,46,1532.0,0.05040463066618592,29,1494.0,0.14110095922335736,28,1066.0,0.10574523851591196,24,952.0,0.23671830332267443,20,687.0,0.25323757541457637,-9.7,291,291,9428.0
115.0,326,8103.0,17.848017621145374,1.4159991295101697,41,1039.0,0.07144108345821325,54,1331.0,0.03297781733396084,31,921.0,0.12905850803405922,38,1051.0,0.08521931733474974,46,1687.0,0.06418860487480041,33,1630.0,0.07004119604906332,35,1231.0,0.037691682971840106,24,978.0,0.1594367104343796,24,789.0,0.14414043058865197,-10.867,326,326,10657.0
120.0,350,9099.0,20.22,0.8852243615475623,52,1273.0,0.00904050040713613,55,1603.0,0.03778099872343845,29,1008.0,0.08435705578098737,41,1253.0,0.04380023505303132,43,1814.0,0.0990754852391651,43,1830.0,0.053443927663403765,39,1418.0,0.014816371746238344,23,1007.0,0.08175659009554198,25,844.0,0.054860594349901856,-11.667,350,350,12050.0
125.0,372,9818.0,21.76940133037694,0.7631295756301336,60,1563.0,0.0003841774031541416,59,1886.0,0.02239920901452042,30,1111.0,0.07143957675434158,42,1462.0,0.03698621323588376,44,2035.0,0.0697575121816342,43,1863.0,0.06366430674122882,40,1599.0,0.00652614931137512,24,1016.0,0.08188553530214654,30,948.0,0.0383655559930114,-12.4,372,372,13483.0
130.0,372,10711.0,23.961968680089484,0.8349786746703921,57,1767.0,0.0036996973304261336,63,2192.0,0.013179302190627117,32,1169.0,0.03461672385868061,45,1676.0,0.03425322877149977,49,2272.0,0.09568685426723378,38,1736.0,0.05171504476196474,41,1782.0,1.5145093096389828e-05,19,1017.0,0.13758554045062202,28,1066.0,0.05735400298971978,-12.4,372,372,14677.0
135.0,360,11725.0,26.40765765765766,0.994803648709769,52,1960.0,0.015396344362855932,67,2523.0,0.02715926889009503,31,1232.0,0.007966759831719178,42,1785.0,0.04754468252101095,46,2469.0,0.09709401676401812,35,1597.0,0.05094700856320503,40,1974.0,2.8227255853198827e-07,19,972.0,0.14045627382082387,28,1112.0,0.10677820649733516,-12.0,360,360,15624.0
140.0,343,12448.0,28.036036036036037,1.1636655076820202,53,2221.0,0.013377920321307803,63,2759.0,0.03511010452676288,27,1375.0,0.013726791864354602,39,1787.0,0.06809067432098788,46,2664.0,0.12079274325368818,31,1591.0,0.10668151261968108,40,2176.0,0.0445638790654154,20,983.0,0.07331342821134565,24,1171.0,0.0841855091384869,-11.433,343,343,16727.0
145.0,347,12865.0,29.10633484162896,1.0518568252705298,56,2497.0,0.018201397379573124,60,2852.0,0.03371076733838533,31,1521.0,0.0021459675795479647,34,1920.0,0.048337358229163685,48,2900.0,0.12594647570486395,34,1668.0,0.11433378072846855,34,2174.0,0.04592341337843352,25,995.0,0.02018622100871055,25,1272.0,0.030978094421654074,-11.567,347,347,17799.0
150.0,360,13690.0,31.39908256880734,0.8627334361375387,59,2788.0,0.0316795241653898,56,3096.0,0.025028733726362426,33,1685.0,9.597154241479933e-06,35,2089.0,0.03242865782400397,55,3162.0,0.0547389618363558,38,1851.0,0.0633075988315465,35,1943.0,0.02950583585536852,21,1007.0,0.077570045242312,28,1381.0,0.03020871427723539,-12.0,360,360,19002.0
155.0,355,13638.0,31.42396313364055,0.7076780929058072,60,3085.0,0.00039471534848175465,55,3374.0,0.02729771603047053,33,1850.0,0.0,37,2269.0,0.01681542644984797,54,3208.0,0.017277288704183675,37,1939.0,0.02456536934722412,34,2057.0,0.011960868720283188,19,974.0,0.09480328137453652,26,1378.0,0.0653850354400569,-11.833,355,355,20134.0
160.0,337,12856.0,29.967365967365968,0.9670450604155076,61,3390.0,2.073986140646087e-07,59,3661.0,0.01746350075154581,30,1955.0,0.0601930326733543,36,2343.0,0.027393772909527617,46,3010.0,0.04053333171995853,30,1906.0,0.11433277946548032,31,2215.0,0.01645948393478191,20,1034.0,0.13296020586574664,24,1318.0,0.08742398165034936,-11.233,337,337,20832.0
165.0,332,12940.0,30.163170163170165,1.2254822805171182,55,3534.0,0.0266434224136397,61,3965.0,0.012119631325014502,26,2009.0,0.09541982700764129,41,2400.0,0.03260328604949591,39,2725.0,0.1534061365379983,29,1955.0,0.10472966699661981,33,2372.0,0.007559192828666341,21,1029.0,0.11959412757898431,27,1446.0,0.08118777605467718,-11.067,332,332,21435.0
170.0,332,13805.0,32.71327014218009,1.0708406518263354,51,3529.0,0.03977204509163562,63,4224.0,0.034182789871002345,26,2076.0,0.06879405699623033,38,2510.0,0.06959257328799884,33,2788.0,0.17647741049843033,32,1925.0,0.10096200885738325,29,2528.0,0.028107489704395156,29,1113.0,0.05757718075312171,31,1596.0,0.04735112248289389,-11.067,332,332,22289.0
175.0,336,14927.0,35.54047619047619,0.7141472310498529,56,3796.0,0.00039307507794901394,60,4526.0,0.046978122098941845,26,2174.0,0.020422479402904845,37,2700.0,0.07121736502938669,36,2798.0,0.08189776267049505,30,1876.0,0.09313567854114155,29,2672.0,0.033453916585883654,29,1265.0,0.027973389687795225,33,1740.0,0.039543837668346786,-11.2,336,336,23547.0
180.0,337,15640.0,37.326968973747015,0.6982684074720337,57,4080.0,2.081666757673422e-06,58,4713.0,0.03528826033663565,29,2317.0,0.06913075630968685,37,2883.0,0.051934761338304825,37,2935.0,0.05346188610590433,25,1798.0,0.09538973085227052,30,2798.0,0.042621478249899,30,1418.0,0.017007951285815687,34,1908.0,0.039408675191463564,-11.233,337,337,24850.0
185.0,338,16371.0,39.44819277108434,0.8368049611080091,57,4365.0,0.0,54,4792.0,0.021363855746280205,26,2350.0,0.11106624418199997,39,3072.0,0.008855188228701747,43,3103.0,0.018524863861418748,27,1778.0,0.15089004702542835,26,2680.0,0.055339904527346676,33,1578.0,0.08352104166700428,33,1993.0,0.03152313463738321,-11.267,338,338,25711.0
190.0,340,16766.0,40.595641646489106,0.9113884229068412,57,4650.0,0.0,54,4885.0,0.03468340574741333,22,2277.0,0.15115478045678013,43,3280.0,0.0006899881065121919,44,3266.0,0.023497794606059507,23,1724.0,0.20409767795232936,28,2812.0,0.03235621069769201,36,1750.0,0.06028309033321207,33,2071.0,0.018513699779117865,-11.333,340,340,26715.0
195.0,342,16895.0,41.207317073170735,0.8062566764090584,57,4935.0,0.0,50,4964.0,0.05402924407670327,20,2138.0,0.15716607675915167,45,3504.0,0.016809933816747176,45,3474.0,0.035138019358582434,21,1462.0,0.17299197703060237,29,2951.0,0.0229525338396661,39,1942.0,0.00022430997581633503,36,2245.0,0.0006410385945774289,-11.4,342,342,27615.0
200.0,331,16099.0,39.55528255528255,0.8701330153394192,51,5025.0,0.011335431243346974,51,4939.0,0.05086988176260002,20,1941.0,0.17958027358853768,42,3599.0,0.009247547366132288,46,3702.0,0.050329011164521945,21,1379.0,0.12988552146661195,26,2940.0,0.029289912449503495,36,1944.0,0.01170668206853704,38,2432.0,2.37594020186758e-05,-11.033,331,331,27901.0
205.0,323,15973.0,39.3423645320197,1.0862081140141924,45,4846.0,0.0501604698783795,51,5192.0,0.0233156975785035,18,1769.0,0.16251748778941805,38,3682.0,0.0682748957097994,51,3947.0,0.07522587863674664,23,1491.0,0.09964440710108621,23,2850.0,0.06623045040439515,36,1961.0,0.04737985732616448,38,2622.0,0.0,-10.767,323,323,28360.0
