step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,4,0.0,0.0,2.6807393406183113,0,0.0,0.10818553968490248,1,0.0,0.1597228086899149,1,0.0,0.23461667648517182,0,0.0,0.13108553493383598,0,0.0,0.3538408099051644,0,0.0,1.0,0,0.0,0.2902414180561373,1,0.0,0.047279856835550534,1,0.0,0.20500455466884782,-0.133,4,4,0.0
10.0,7,0.0,0.0,6.61217653779834,1,0.0,0.36617159534950594,2,0.0,0.5297273510827578,0,0.0,0.7643913646899235,1,0.0,0.3430560728220039,0,0.0,0.6889543038600086,2,0.0,0.2024104588983768,0,0.0,0.7371086267336223,0,0.0,0.45033671649884927,1,0.0,0.45100386054580516,-0.233,7,7,0.0
15.0,7,0.0,0.0,8.986994893951332,1,0.0,0.5919233671106159,1,0.0,0.6460055068766661,0,0.0,0.8068692240397528,1,0.0,0.5098121179128178,1,0.0,0.6500912261243552,2,0.0,0.5593022360853072,0,0.0,0.877586708579073,0,0.0,0.9084030410236024,1,0.0,0.7136815273647276,-0.233,7,7,0.0
20.0,12,10.0,0.10989010989010989,7.703506013614411,1,0.0,0.6972166645769918,2,2.0,0.568308608086835,2,0.0,0.5149264165298019,0,0.0,0.6522232953381949,4,4.0,0.3396278187071542,0,0.0,0.6271855633227316,1,2.0,0.22259699940538055,1,2.0,0.6173507939556951,1,0.0,0.5973159637472815,-0.4,12,12,10.0
25.0,24,95.0,0.8636363636363636,6.829755047474283,1,3.0,0.5864293705398919,4,20.0,0.4509669890038369,1,4.0,0.575941722261301,4,12.0,0.47658673795964057,6,23.0,0.3742951341672881,2,5.0,0.5107214520270191,2,10.0,0.3203670935661413,2,11.0,0.42023724767535225,2,7.0,0.6108798398415176,-0.8,24,24,95.0
30.0,51,276.0,1.9714285714285715,5.612593828234526,3,11.0,0.6035341429533776,8,56.0,0.27282542684669053,6,14.0,0.4711201005961482,6,39.0,0.3201198697281578,7,54.0,0.4043390253406282,8,29.0,0.4644326363657281,2,20.0,0.2639603638517494,5,28.0,0.23587473755597724,6,25.0,0.39755163955010797,-1.7,51,51,276.0
35.0,67,551.0,3.4012345679012346,5.363517712803589,3,26.0,0.5207333561759556,12,109.0,0.29289612722971486,3,24.0,0.628338651823732,9,80.0,0.3413593084146952,11,93.0,0.24903014738188317,12,78.0,0.3267752572468259,3,38.0,0.4307411355184706,7,54.0,0.39823564797286537,7,53.0,0.36882873898248025,-2.233,67,67,555.0
40.0,86,916.0,4.898395721925134,5.014106876749493,8,56.0,0.4253719957723099,14,175.0,0.28610878674926493,4,39.0,0.6115770912501735,12,131.0,0.3198255031935001,11,147.0,0.23826273795864505,18,152.0,0.19901585062306015,5,54.0,0.4026182350618485,7,84.0,0.46131080786175477,7,85.0,0.45522835628183955,-2.867,86,86,923.0
45.0,107,1354.0,6.509615384615385,4.203932626393069,10,102.0,0.29946440147388553,17,252.0,0.30287899189383577,7,63.0,0.34748536294882915,16,200.0,0.22658531157696118,11,191.0,0.32341813942335607,21,249.0,0.18467106667179045,8,78.0,0.37805423061685606,8,116.0,0.3659600304377197,9,122.0,0.35387375704290003,-3.567,107,107,1373.0
