step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,6,0.0,0.0,2.5555982187465656,1,0.0,0.0,0,0.0,0.20870278419346727,2,0.0,0.1331844045467751,0,0.0,1.0,0,0.0,0.1891115058621211,0,0.0,0.11386057288764032,0,0.0,1.0,0,0.0,0.2300954714153264,0,0.0,0.18466360273536792,1,0.0,0.08713804566289692,0,0.0,0.21757635880970005,1,0.0,0.05622783262773007,1,0.0,0.1516876764383065,0,0.0,0.21768015158171256,0,0.0,0.26613065110700573,0,0.0,0.3292596537065833,-0.113,6,6,0.0
10.0,9,0.0,0.0,6.775668028888938,0,0.0,0.4087808635784461,0,0.0,0.6495338305299482,2,0.0,0.47987658570319375,1,0.0,0.37699684303127845,1,0.0,0.385471551592722,0,0.0,0.44919018485386086,1,0.0,0.19898000630868007,0,0.0,0.6561489304636173,0,0.0,0.7124011577780057,0,0.0,0.5286417559407715,0,0.0,0.590256469266879,0,0.0,0.4579831624799482,1,0.0,0.40808205899547856,1,0.0,0.3901399305096816,0,0.0,0.557329948621073,2,0.0,0.5262797582689634,-0.169,9,9,0.0
15.0,9,0.0,0.0,9.004550354560529,0,0.0,0.8056521170199634,1,0.0,0.6623298146988731,0,0.0,0.7412547384397808,1,0.0,0.44948935575009813,0,0.0,0.7334964017476686,1,0.0,0.6177308677115435,1,0.0,0.4711880814623131,1,0.0,0.604060389156659,0,0.0,0.7832103496136293,1,0.0,0.729931590041563,0,0.0,0.6858655322993764,0,0.0,0.7587220784352484,0,0.0,0.6476426747953403,1,0.0,0.611116566061724,1,0.0,0.5299380706858404,1,0.0,0.5906541417841222,-0.169,9,9,0.0
20.0,31,33.0,0.17647058823529413,7.95885846102295,1,0.0,0.5449651678142742,2,3.0,0.5947866587930764,1,1.0,0.6138563198106549,1,0.0,0.6490758398810986,1,2.0,0.6611748969634256,2,2.0,0.5599492095305573,0,0.0,0.7727053646440831,4,1.0,0.42919645574434323,3,4.0,0.41064828484530735,2,1.0,0.5099334901140349,4,5.0,0.4576541828711075,2,0.0,0.5788276405566675,1,4.0,0.7101121430507572,2,3.0,0.6150958227607312,2,3.0,0.6399829290302239,3,4.0,0.5857065728801495,-0.581,31,31,33.0
25.0,57,209.0,0.8893617021276595,6.904321339990521,5,11.0,0.446996592154406,3,16.0,0.5102924723232096,5,17.0,0.33466979441596667,0,0.0,0.7111489631196605,4,13.0,0.4918613467694352,4,14.0,0.35748062487853527,3,6.0,0.5974972374467012,3,10.0,0.5604199790176623,3,14.0,0.5417378403417851,6,21.0,0.40847198114027294,6,28.0,0.47481521452118614,3,7.0,0.46281289947968385,3,16.0,0.5577146031220545,4,11.0,0.48225175862984027,3,16.0,0.5461440304672487,2,9.0,0.5044492991425987,-1.069,57,57,209.0
30.0,100,561.0,1.9081632653061225,5.8974801749533325,6,31.0,0.434790531146281,9,46.0,0.32893149328416177,9,55.0,0.2259058846448716,3,6.0,0.5031580903303846,4,28.0,0.540428396217803,6,40.0,0.34498613468921646,4,19.0,0.5214805824691822,7,31.0,0.39847967638254594,3,29.0,0.5871470086370542,11,59.0,0.36861842408918716,10,68.0,0.3523617176255942,5,23.0,0.5571326305740342,5,34.0,0.4525419269233978,6,31.0,0.34137769134469387,8,39.0,0.4328396574964967,4,24.0,0.4736783309697594,-1.875,100,100,563.0
35.0,132,1069.0,3.1441176470588235,5.4059665480787125,5,52.0,0.5211322163781688,9,81.0,0.2941657559475211,10,105.0,0.12988333268016433,9,35.0,0.4184422453383456,6,51.0,0.4902960483602044,7,73.0,0.4095934470935822,7,44.0,0.4387905186136391,9,66.0,0.3141146662205756,6,55.0,0.48513416557523636,15,112.0,0.29803840507242196,12,122.0,0.3279090572490451,5,40.0,0.4246259007691065,8,66.0,0.36562652097489345,10,66.0,0.3275333806479902,10,75.0,0.45407204684040264,4,37.0,0.5647411720968998,-2.475,132,132,1080.0
40.0,173,1789.0,4.634715025906735,4.536470009047983,6,79.0,0.5015445816796238,14,137.0,0.2647622532660543,14,166.0,0.2674444836243349,10,79.0,0.35684172722321456,8,70.0,0.34123975237128346,9,110.0,0.31540082558663435,11,86.0,0.33189766138479093,10,114.0,0.3576764721221692,10,96.0,0.19478484874261368,17,187.0,0.2731195680022726,16,195.0,0.2498041582469474,9,72.0,0.30131497397812035,11,113.0,0.3302789428185527,13,121.0,0.22152898124548567,10,121.0,0.41035571310684765,5,57.0,0.5101280091454288,-3.244,173,173,1803.0
45.0,222,2624.0,6.174117647058823,4.0277803619153865,7,90.0,0.4034412590371967,14,172.0,0.13186997453093768,12,226.0,0.37946149322718514,13,137.0,0.3230567080138162,12,115.0,0.2675797319414615,13,163.0,0.28126105926192113,17,139.0,0.33135034796780016,13,168.0,0.31650239438351396,14,159.0,0.13108191252314577,23,291.0,0.20401546798046657,21,287.0,0.29282418264732846,10,122.0,0.21800146742914187,13,173.0,0.10166466000304826,18,187.0,0.25281789179501607,16,184.0,0.36494904915907816,6,79.0,0.42739387373957904,-4.162,222,222,2692.0
