step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,6,0.0,0.0,2.8600679102470163,1,0.0,0.0,0,0.0,0.20790708705739638,2,0.0,0.1827458704458766,0,0.0,1.0,0,0.0,0.25544645879789546,0,0.0,0.10824766882297743,0,0.0,1.0,0,0.0,0.2874271869999387,0,0.0,0.18799627147883496,1,0.0,0.06614392065063346,0,0.0,0.2511864448425977,1,0.0,0.062264343852377106,1,0.0,0.1800118792288438,0,0.0,0.24413291413583016,0,0.0,0.2861867464603785,0,0.0,0.41940158113590437,-0.113,6,6,0.0
10.0,11,0.0,0.0,7.376519673906414,0,0.0,0.450076780735469,0,0.0,0.6897764556619715,3,0.0,0.530470154810036,1,0.0,0.3868426084188666,1,0.0,0.4388644606592755,1,0.0,0.4944146098561336,1,0.0,0.24491942511515732,0,0.0,0.7789016920777344,0,0.0,0.8280336413302297,0,0.0,0.5350567763759055,0,0.0,0.6429990978641738,0,0.0,0.44941099824539055,1,0.0,0.4214024818093454,1,0.0,0.4955615290657002,0,0.0,0.5836572101343007,2,0.0,0.5613892662732375,-0.206,11,11,0.0
15.0,6,0.0,0.0,8.984392115943553,0,0.0,0.7847962027273547,1,0.0,0.6182267427680054,0,0.0,0.7441102447368634,1,0.0,0.42090235390529157,0,0.0,0.7422514484505988,1,0.0,0.641344547474109,0,0.0,0.5541639690789737,1,0.0,0.6023947911905889,0,0.0,0.6515864728162362,0,0.0,0.76775183569791,0,0.0,0.631253975963088,0,0.0,0.8615424734069276,0,0.0,0.6880503990487161,0,0.0,0.7583468164045986,1,0.0,0.4798476311657454,1,0.0,0.5676641418829832,-0.113,6,6,0.0
20.0,33,48.0,0.25263157894736843,7.253469494180485,2,2.0,0.4821259350650074,2,5.0,0.5996079870348632,2,4.0,0.5313254899985919,1,0.0,0.6412072202181682,1,1.0,0.5915184507267054,1,3.0,0.4708560485729828,0,0.0,0.6213339286400089,3,3.0,0.4499129292252913,3,4.0,0.45276803193790477,4,5.0,0.38220986932352324,2,5.0,0.413961172423492,4,1.0,0.48980378031608923,1,1.0,0.7055412646737165,1,0.0,0.5739748232823616,2,7.0,0.6124036735323168,4,7.0,0.5341546029526316,-0.619,33,33,48.0
25.0,53,203.0,0.8601694915254238,6.462422190331299,4,11.0,0.45974871519826466,2,16.0,0.5062938515471652,5,24.0,0.3237121768095588,0,0.0,0.666179521246092,2,1.0,0.5262038006880525,4,16.0,0.4081763189248608,4,9.0,0.41945187238699566,2,12.0,0.5614722746586781,2,7.0,0.5591763383592567,5,27.0,0.393984286946533,7,25.0,0.43777028420139186,3,1.0,0.4217685613404714,3,11.0,0.5318990630833735,4,12.0,0.4211943253433381,3,20.0,0.5028159613103146,3,17.0,0.47652060481300307,-0.994,53,53,209.0
30.0,98,540.0,1.8493150684931507,6.2860399402077665,5,26.0,0.511720676120625,9,41.0,0.4517510226363308,8,61.0,0.31197786846058584,2,5.0,0.6808336226141243,4,14.0,0.5347592175281732,8,41.0,0.4210561834990442,6,32.0,0.4503201811868279,6,32.0,0.4686729656508002,3,13.0,0.6052422907106882,7,56.0,0.4605629212381145,11,66.0,0.27665283681334657,4,15.0,0.6148291213334135,6,32.0,0.4323416656940566,7,30.0,0.32774993836076555,7,44.0,0.3165269108448014,5,35.0,0.5135175163843766,-1.838,98,98,543.0
35.0,125,1021.0,3.0117994100294987,5.940287450184874,4,45.0,0.4911285107646059,7,72.0,0.39423814572541976,10,109.0,0.25196400621607085,6,19.0,0.5492154742385068,6,34.0,0.5237609216694605,7,70.0,0.41181493765347915,7,63.0,0.492790214326635,8,65.0,0.38793611338844114,4,26.0,0.5002915985060709,12,92.0,0.36378783275402954,13,123.0,0.29057760798259025,5,34.0,0.4796912532216111,8,66.0,0.36964776728385607,10,67.0,0.280444472778219,10,83.0,0.43455035705555295,8,63.0,0.5005288909930597,-2.344,125,125,1031.0
40.0,173,1717.0,4.368956743002545,4.573977124023147,9,78.0,0.42941001346692026,14,125.0,0.29557974224141875,13,164.0,0.2348254258555678,7,45.0,0.41470513336001075,8,67.0,0.2703046989137182,12,114.0,0.310831765356821,10,106.0,0.3358819412559057,12,114.0,0.32137856334396386,8,55.0,0.39245594988223304,14,147.0,0.30231373139728496,17,191.0,0.23586903686643676,8,68.0,0.31816848903057676,10,106.0,0.2994954596916858,13,123.0,0.1820373162134133,8,123.0,0.393812155238387,10,103.0,0.42442325209852266,-3.244,173,173,1729.0
45.0,224,2279.0,5.215102974828375,3.329133870685905,12,121.0,0.33035751706458705,19,170.0,0.1391572162215251,10,168.0,0.2669327742657965,12,78.0,0.31704098305682465,12,102.0,0.1601176698970041,14,168.0,0.20917779594723304,20,177.0,0.23257900237240492,13,128.0,0.28341916596243677,10,78.0,0.20416840176488998,18,194.0,0.28747032606660644,17,236.0,0.28445515881148276,12,106.0,0.16245859553175104,12,139.0,0.09455542293548631,16,159.0,0.20906086407783328,14,136.0,0.321134485838117,13,135.0,0.26782943864600717,-4.2,224,224,2295.0
