step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,average_rewards,total_queued,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0.0,0,0,0.0
5.0,6,0.0,0.0,2.708179758388467,1,0.0,0.0,0,0.0,0.20871776949451354,2,0.0,0.13955669618861685,0,0.0,1.0,0,0.0,0.2279689539399555,0,0.0,0.10653769514064487,0,0.0,1.0,0,0.0,0.3025391110767519,0,0.0,0.1722933589354244,1,0.0,0.07512839062267182,0,0.0,0.22789854200105236,1,0.0,0.08644852978636634,1,0.0,0.18041637231439436,0,0.0,0.2336106823814162,0,0.0,0.2652621363694418,0,0.0,0.3609148357998569,-0.113,6,6,0.0
10.0,9,0.0,0.0,7.0368142746219595,0,0.0,0.41764522246145114,0,0.0,0.6571211434249448,2,0.0,0.4947448964618427,1,0.0,0.35863459616873566,1,0.0,0.3872489950604275,0,0.0,0.5250004025968409,1,0.0,0.2210351008722294,0,0.0,0.7119349155475115,0,0.0,0.7712707369300468,0,0.0,0.5681777741580019,0,0.0,0.6214725657409276,0,0.0,0.44272431954380254,1,0.0,0.40923160793494257,1,0.0,0.42028581968968554,0,0.0,0.5390685700258767,2,0.0,0.5708527708432155,-0.169,9,9,0.0
15.0,7,0.0,0.0,8.865053035366255,0,0.0,0.8026938353366389,1,0.0,0.6481655652154179,0,0.0,0.7153822022593614,0,0.0,0.5112556923037096,0,0.0,0.7088542177050698,1,0.0,0.5953437970801924,0,0.0,0.5571104567330794,1,0.0,0.5781659161626963,0,0.0,0.7590962619251858,1,0.0,0.7490171232599087,0,0.0,0.6364145353013525,0,0.0,0.7751172005559407,0,0.0,0.6271312816148786,1,0.0,0.5798106421857299,1,0.0,0.462286721458993,1,0.0,0.5832621456369363,-0.131,7,7,0.0
20.0,38,43.0,0.225130890052356,7.588559292034913,1,0.0,0.5599081677998312,3,6.0,0.5999230854678498,3,7.0,0.5521871020622374,2,0.0,0.590938643896139,1,2.0,0.6268367268391793,1,1.0,0.558538207611989,0,0.0,0.6695556366051323,2,0.0,0.43491123463567133,4,3.0,0.42456771051950176,4,2.0,0.4542863867868307,3,6.0,0.4882959673833054,3,0.0,0.6106881093873241,2,4.0,0.6576046663504591,3,3.0,0.5155979697763944,2,4.0,0.6219731959025933,4,5.0,0.5473010059440445,-0.712,38,38,43.0
25.0,47,174.0,0.7404255319148936,6.936923558878962,4,6.0,0.4693242536408519,4,18.0,0.5040904180861331,6,26.0,0.29841221882354757,0,0.0,0.7448010576261022,4,15.0,0.5119906453915671,2,6.0,0.41580974470959753,4,6.0,0.3904249011772086,0,0.0,0.6288043985840412,3,15.0,0.5123202738125394,6,22.0,0.4402431970513718,4,21.0,0.4826796282829114,0,0.0,0.5729553038953554,0,6.0,0.6205859210967536,4,20.0,0.45718403820818493,2,7.0,0.5485590697767548,4,17.0,0.49482226521952377,-0.881,47,47,185.0
30.0,80,440.0,1.5120274914089347,6.28209404007854,5,21.0,0.4915131360889492,9,47.0,0.37445919360011387,10,63.0,0.2186137932949402,1,6.0,0.6385323731822106,6,37.0,0.49841052368860705,3,16.0,0.4819525175031726,6,29.0,0.37110870546593777,3,7.0,0.5561998221521214,3,30.0,0.5860208761948632,6,49.0,0.4206990099847174,7,39.0,0.26988383202803007,5,15.0,0.5934692059037536,1,0.0,0.5546468571774842,5,40.0,0.32978288954679247,6,26.0,0.3508824164945742,4,34.0,0.48204123103564633,-1.5,80,80,459.0
35.0,105,765.0,2.2972972972972974,5.903659460531166,2,23.0,0.5247732108856131,12,99.0,0.3469751599675423,10,113.0,0.1783116560098966,5,24.0,0.4584032095783643,4,47.0,0.44236424579890826,2,18.0,0.5248167257123734,5,54.0,0.47085625014519944,6,20.0,0.4466065628697101,6,54.0,0.48196984940986204,11,77.0,0.3132138191320237,10,79.0,0.264889360948821,5,40.0,0.4476190917603104,3,12.0,0.46300027401950766,10,75.0,0.2821511616215168,9,66.0,0.4637023952224916,5,44.0,0.5788516869240836,-1.969,105,105,845.0
40.0,142,1231.0,3.1891191709844557,5.301464948848825,4,23.0,0.5283022458569664,16,174.0,0.21772975820988194,7,119.0,0.32448299687335463,10,61.0,0.40352432222721446,8,63.0,0.35394582522421303,5,30.0,0.44739551700682917,9,86.0,0.39939506951248016,9,58.0,0.42571958871431975,8,74.0,0.27562568989701575,14,141.0,0.3166938395993701,11,124.0,0.3456082699426162,5,53.0,0.2788752732883082,6,34.0,0.45589338943512847,15,129.0,0.20823037587486912,8,96.0,0.5027641254856463,7,55.0,0.5135222759031668,-2.662,142,142,1320.0
45.0,179,1772.0,4.111368909512761,4.436439266623192,4,39.0,0.46438323171695495,21,267.0,0.22351083910093655,6,115.0,0.41579790238377073,13,104.0,0.29811520644155914,9,84.0,0.2974087937473901,7,40.0,0.3866236686929268,8,105.0,0.35035446747706683,8,82.0,0.443562055683783,8,92.0,0.10658404047218412,22,239.0,0.23342736018540547,15,182.0,0.3856022613737227,13,93.0,0.26757317481718135,7,53.0,0.1395935482194278,18,207.0,0.2611074275950077,13,145.0,0.3785018215436145,7,78.0,0.35058989789381156,-3.356,179,179,1925.0
